player_id,team_id,opponent_team_id,was_home,player_name,player_number,nation,pos,age,minutes,touches,touches_in_def_pen,touches_in_def_3rd,touches_in_mid_3rd,touches_in_att_3rd,touches_in_att_pen,live_touches,attempted_takeons,successful_takeons,successful_takeon_percent,times_tackled_during_takeon,tackled_during_takeon_percentage,carries,total_carry_distance,progressive_carry_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessions,passes_received,progressive_passes_received,gw
375.0,14,2,True,Rasmus Højlund,9,dk DEN,FW,22-110,80,18,0,0,6,12,7,18,1,0,0.0,0,0.0,9,32,7,1,0,0,2,0,12,3,38
776.0,14,2,True,Chidozie Obi-Martin,56,dk DEN,FW,17-177,10,3,0,0,2,1,1,3,0,0,,0,,0,0,0,0,0,0,0,0,0,0,38
382.0,14,2,True,Mason Mount,7,eng ENG,AM,26-135,65,49,2,4,18,27,7,49,1,0,0.0,1,100.0,35,148,67,1,1,0,4,0,41,8,38
370.0,14,2,True,Christian Eriksen,14,dk DEN,AM,33-100,25,22,2,5,6,11,2,21,0,0,,0,,14,66,54,1,1,0,1,0,15,0,38
364.0,14,2,True,Amad Diallo,16,ci CIV,"WB,AM",22-318,90,63,1,11,17,35,7,63,1,0,0.0,1,100.0,43,209,131,4,3,2,1,0,48,16,38
368.0,14,2,True,Casemiro,18,br BRA,CM,33-091,90,103,4,25,49,29,5,103,0,0,,0,,65,199,93,0,0,0,1,0,69,2,38
366.0,14,2,True,Bruno Fernandes,8,pt POR,CM,30-259,90,104,0,10,48,48,6,104,0,0,,0,,78,377,209,9,3,3,2,3,78,7,38
766.0,14,2,True,Patrick Dorgu,13,dk DEN,WB,20-211,90,86,1,14,30,42,7,86,3,0,0.0,3,100.0,65,339,198,7,3,1,1,0,71,20,38
594.0,14,2,True,Noussair Mazraoui,3,ma MAR,WB,27-192,19,15,1,2,2,11,2,15,0,0,,0,,8,37,20,0,0,0,0,0,9,4,38
369.0,14,2,True,Diogo Dalot,20,pt POR,WB,26-068,26,18,0,3,6,9,2,18,0,0,,0,,15,41,15,0,0,0,1,0,14,4,38
378.0,14,2,True,Kobbie Mainoo,37,eng ENG,AM,20-036,45,20,0,1,7,12,1,20,0,0,,0,,17,39,16,0,1,0,0,0,17,2,38
658.0,14,2,True,Ayden Heaven,26,eng ENG,CB,18-245,65,59,5,18,35,7,1,59,1,0,0.0,1,100.0,46,195,104,0,0,0,1,0,45,0,38
371.0,14,2,True,Jonny Evans,35,nir NIR,CB,37-142,25,27,6,14,9,4,1,27,0,0,,0,,15,76,59,2,2,0,0,0,14,1,38
377.0,14,2,True,Harry Maguire,5,eng ENG,CB,32-081,90,71,2,22,45,4,2,71,0,0,,0,,41,222,163,0,1,0,1,0,44,0,38
376.0,14,2,True,Victor Lindelöf,2,se SWE,CB,30-312,90,71,3,19,43,10,0,71,0,0,,0,,51,239,151,3,2,0,0,0,54,1,38
367.0,14,2,True,Altay Bayındır,1,tr TUR,GK,27-041,90,27,26,27,0,0,0,27,0,0,,0,,13,49,33,0,0,0,0,0,12,0,38
58.0,2,14,False,Ollie Watkins,11,eng ENG,FW,29-146,90,18,0,0,8,10,2,18,2,1,50.0,1,50.0,13,77,35,1,0,1,1,1,17,4,38
48.0,2,14,False,John McGinn,7,sct SCO,LW,30-219,61,24,2,4,8,12,2,24,0,0,,0,,9,41,20,0,0,0,2,1,12,3,38
57.0,2,14,False,Youri Tielemans,8,be BEL,DM,28-018,29,24,3,7,9,8,3,24,1,0,0.0,1,100.0,13,39,10,0,0,0,1,0,13,0,38
54.0,2,14,False,Morgan Rogers,27,eng ENG,RW,22-303,83,28,1,5,11,12,1,28,4,1,25.0,3,75.0,14,30,3,0,0,0,3,3,18,1,38
725.0,2,14,False,Donyell Malen,17,nl NED,RW,26-136,7,6,0,1,1,5,1,6,1,1,100.0,0,0.0,5,68,58,1,1,0,0,0,5,4,38
762.0,2,14,False,Marco Asensio,21,es ESP,AM,29-124,44,12,0,3,4,6,0,12,0,0,,0,,9,59,27,1,0,0,0,0,8,1,38
51.0,2,14,False,Robin Olsen,25,se SWE,GK,35-137,46,27,21,27,0,0,0,27,0,0,,0,,6,44,23,0,0,0,0,0,5,0,38
233.0,2,14,False,Amadou Onana,24,be BEL,DM,23-282,62,32,1,11,15,6,1,32,1,1,100.0,0,0.0,19,156,117,3,1,0,0,0,21,0,38
