player_id,team_id,opponent_team_id,was_home,player_name,player_number,nation,pos,age,minutes,touches,touches_in_def_pen,touches_in_def_3rd,touches_in_mid_3rd,touches_in_att_3rd,touches_in_att_pen,live_touches,attempted_takeons,successful_takeons,successful_takeon_percent,times_tackled_during_takeon,tackled_during_takeon_percentage,carries,total_carry_distance,progressive_carry_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessions,passes_received,progressive_passes_received,gw
398.0,15,13,True,Anthony Gordon,10,eng ENG,FW,23-217,90,29,1,4,9,17,3,28,3,1,33.3,0,0.0,20,108,60,2,1,1,1,3,20,4,6
392.0,15,13,True,Harvey Barnes,11,eng ENG,LW,26-294,75,21,0,1,9,11,4,21,0,0,,0,,18,70,25,1,0,1,1,0,18,4,6
420.0,15,13,True,Joe Willock,28,eng ENG,LW,25-039,15,4,0,1,1,2,0,4,0,0,,0,,3,5,1,0,0,0,1,0,4,0,6
402.0,15,13,True,Jacob Murphy,23,eng ENG,RW,29-217,90,28,0,2,9,18,2,28,2,2,100.0,0,0.0,21,204,154,4,3,1,0,1,24,6,6
403.0,15,13,True,Joelinton,7,br BRA,LM,28-045,90,46,8,16,20,10,4,46,0,0,,0,,23,84,16,0,0,0,3,5,28,5,6
394.0,15,13,True,Bruno Guimarães,39,br BRA,CM,26-317,90,57,2,13,28,16,0,57,4,4,100.0,0,0.0,42,238,80,1,1,0,1,4,44,2,6
417.0,15,13,True,Sandro Tonali,8,it ITA,RM,24-143,76,28,3,4,14,10,2,28,2,0,0.0,2,100.0,19,138,29,0,0,0,2,0,18,2,6
410.0,15,13,True,Sean Longstaff,36,eng ENG,RM,26-334,14,7,2,5,1,1,1,7,0,0,,0,,2,3,1,0,0,0,0,0,4,1,6
399.0,15,13,True,Lewis Hall,20,eng ENG,LB,20-020,90,53,7,27,21,7,1,53,1,1,100.0,0,0.0,27,119,55,2,0,1,0,0,26,2,6
395.0,15,13,True,Dan Burn,33,eng ENG,CB,32-142,90,32,8,14,14,4,2,32,0,0,,0,,13,59,6,0,0,0,0,0,15,0,6
415.0,15,13,True,Fabian Schär,5,ch SUI,CB,32-283,90,58,12,41,13,5,2,58,0,0,,0,,33,138,79,0,0,0,0,0,36,0,6
418.0,15,13,True,Kieran Trippier,2,eng ENG,RB,34-009,77,61,4,17,24,20,3,61,0,0,,0,,33,137,73,4,0,3,0,0,34,4,6
409.0,15,13,True,Valentino Livramento,21,eng ENG,RB,21-321,13,10,3,5,4,1,0,10,0,0,,0,,3,21,0,0,0,0,0,0,5,0,6
413.0,15,13,True,Nick Pope,22,eng ENG,GK,32-162,90,29,27,29,0,0,0,29,0,0,,0,,14,84,63,0,0,0,0,0,8,0,6
351.0,13,15,False,Erling Haaland,9,no NOR,FW,24-069,90,31,4,4,12,15,8,31,2,1,50.0,1,50.0,16,66,16,0,0,0,5,0,22,6,6
349.0,13,15,False,Jack Grealish,10,eng ENG,LW,29-018,80,45,3,6,14,25,6,45,6,3,50.0,1,16.7,37,323,180,7,0,4,2,1,38,8,6
346.0,13,15,False,Jeremy Doku,11,be BEL,LW,22-124,10,10,0,0,2,8,0,10,1,1,100.0,0,0.0,8,76,46,2,1,0,0,2,9,4,6
342.0,13,15,False,Bernardo Silva,20,pt POR,"RW,DM",30-049,90,57,0,4,20,34,9,57,3,0,0.0,3,100.0,44,222,117,7,4,4,2,0,42,8,6
625.0,13,15,False,İlkay Gündoğan,19,de GER,AM,33-340,65,38,0,7,15,18,1,38,3,2,66.7,0,0.0,24,85,46,2,2,0,2,0,22,4,6
348.0,13,15,False,Phil Foden,47,eng ENG,AM,24-123,25,24,0,0,4,20,3,24,2,2,100.0,0,0.0,18,67,40,0,0,0,0,1,17,4,6
354.0,13,15,False,Mateo Kovačić,8,hr CRO,DM,30-145,90,94,3,13,57,25,1,94,2,1,50.0,1,50.0,61,366,157,4,3,0,1,0,69,1,6
355.0,13,15,False,Rico Lewis,82,eng ENG,DM,19-312,80,31,1,3,16,12,2,31,0,0,,0,,18,54,24,0,0,0,1,0,20,3,6
571.0,13,15,False,Sávio,26,br BRA,RW,20-171,10,11,0,1,1,9,3,11,1,1,100.0,0,0.0,8,80,54,4,0,3,1,0,7,0,6
350.0,13,15,False,Joško Gvardiol,24,hr CRO,LB,22-249,90,68,2,29,24,16,3,68,3,1,33.3,1,33.3,49,211,94,2,3,1,1,3,48,1,6
340.0,13,15,False,Manuel Akanji,25,ch SUI,CB,29-071,90,78,5,20,33,25,1,78,0,0,,0,,58,254,168,1,2,0,0,1,61,1,6
361.0,13,15,False,Rúben Dias,3,pt POR,CB,27-137,90,93,12,39,39,15,1,93,0,0,,0,,68,405,236,1,5,0,0,0,70,0,6
363.0,13,15,False,Kyle Walker,2,eng ENG,RB,34-123,90,73,5,22,35,18,0,73,1,1,100.0,0,0.0,44,213,118,1,2,0,0,0,46,0,6
347.0,13,15,False,Ederson,31,br BRA,GK,31-042,90,52,35,52,0,0,0,52,0,0,,0,,40,183,99,0,0,0,0,0,35,0,6
99.0,4,19,True,Bryan Mbeumo,19,cm CMR,FW,25-052,90,59,1,8,15,36,8,59,3,1,33.3,1,33.3,39,261,145,6,1,1,0,2,37,7,6
314.0,4,19,True,Fabio Carvalho,14,pt POR,FW,22-029,84,48,2,6,15,27,4,48,3,0,0.0,3,100.0,20,90,15,0,0,0,3,0,23,2,6
97.0,4,19,True,Yunus Emre Konak,26,tr TUR,FW,18-262,6,5,0,0,3,2,0,5,0,0,,0,,3,12,0,0,0,0,0,2,4,0,6
98.0,4,19,True,Keane Lewis-Potter,23,eng ENG,LM,23-219,90,45,0,5,16,25,3,45,3,2,66.7,1,33.3,20,157,93,1,2,1,4,1,24,6,6
94.0,4,19,True,Vitaly Janelt,27,de GER,CM,26-141,90,56,9,19,23,14,1,56,0,0,,0,,27,124,55,1,0,0,3,2,33,0,6
89.0,4,19,True,Mikkel Damsgaard,24,dk DEN,"CM,RM",24-087,90,77,1,15,37,25,1,77,1,0,0.0,1,100.0,48,205,106,1,2,0,2,0,54,1,6
106.0,4,19,True,Kevin Schade,7,de GER,RM,22-306,59,24,2,3,5,17,2,24,3,0,0.0,1,33.3,19,156,58,4,3,1,2,0,20,7,6
111.0,4,19,True,Yehor Yarmoliuk,18,ua UKR,CM,20-211,31,35,0,3,22,12,0,35,1,0,0.0,1,100.0,21,135,41,1,1,0,2,1,21,1,6
86.0,4,19,True,Kristoffer Ajer,20,no NOR,LB,26-164,90,65,4,23,35,7,0,65,2,1,50.0,1,50.0,36,217,111,4,0,0,0,0,38,2,6
104.0,4,19,True,Ethan Pinnock,5,jm JAM,CB,31-122,90,87,14,46,34,7,0,87,0,0,,0,,47,298,166,0,0,0,0,0,54,1,6
88.0,4,19,True,Nathan Collins,22,ie IRL,CB,23-151,90,80,8,37,40,3,1,80,0,0,,0,,52,220,102,0,0,0,0,0,57,2,6
338.0,4,19,True,Sepp van den Berg,4,nl NED,RB,22-283,90,66,8,18,31,17,2,66,0,0,,0,,30,93,31,0,1,0,1,0,37,7,6
91.0,4,19,True,Mark Flekken,1,nl NED,GK,31-107,90,53,40,50,3,0,0,53,0,0,,0,,40,213,139,0,0,0,0,0,38,0,6
512.0,19,4,False,Michail Antonio,9,jm JAM,FW,34-184,74,28,0,2,12,14,2,28,1,0,0.0,1,100.0,21,120,66,1,2,0,2,1,28,7,6
523.0,19,4,False,Danny Ings,18,eng ENG,FW,32-067,16,7,0,0,3,4,1,7,0,0,,0,,3,13,0,0,0,0,0,0,7,1,6
525.0,19,4,False,Mohammed Kudus,14,gh GHA,LM,24-057,45,27,1,3,5,19,7,27,2,1,50.0,1,50.0,21,106,46,3,1,3,1,4,24,7,6
654.0,19,4,False,Carlos Soler,4,es ESP,"LM,CM",27-270,45,21,2,9,7,5,1,21,2,1,50.0,1,50.0,13,39,15,0,2,0,0,0,13,0,6
527.0,19,4,False,Lucas Paquetá,10,br BRA,CM,27-032,75,55,2,9,25,22,1,55,1,1,100.0,0,0.0,27,92,41,2,3,0,2,4,38,3,6
587.0,19,4,False,Crysencio Summerville,7,nl NED,LM,22-334,15,14,0,1,8,5,1,14,0,0,,0,,5,16,7,0,0,0,2,0,5,2,6
530.0,19,4,False,Tomáš Souček,28,cz CZE,CM,29-214,90,44,5,15,16,13,7,44,0,0,,0,,12,31,20,1,1,0,1,1,20,3,6
514.0,19,4,False,Jarrod Bowen,20,eng ENG,RM,27-283,89,47,1,8,14,30,9,47,6,4,66.7,2,33.3,23,193,93,5,1,5,3,4,21,3,6
576.0,19,4,False,Andy Irving,39,sct SCO,RM,24-138,1,1,0,1,0,0,0,1,0,0,,0,,1,0,0,0,0,0,0,0,1,0,6
588.0,19,4,False,Guido Rodríguez,24,ar ARG,DM,30-169,90,57,7,15,33,9,0,57,0,0,,0,,21,47,9,0,0,0,0,1,31,0,6
520.0,19,4,False,Emerson Palmieri,33,it ITA,LB,30-056,45,35,2,6,9,21,0,35,0,0,,0,,14,46,9,0,1,0,0,0,20,7,6
528.0,19,4,False,Konstantinos Mavropanos,15,gr GRE,RB,26-292,45,38,6,15,15,8,2,38,3,2,66.7,1,33.3,12,75,50,2,0,1,1,0,10,1,6
524.0,19,4,False,Max Kilman,26,eng ENG,CB,27-128,90,47,6,20,24,3,0,47,0,0,,0,,21,87,47,0,0,0,0,0,28,0,6
591.0,19,4,False,Jean-Clair Todibo,25,fr FRA,CB,24-273,90,63,9,32,27,4,2,63,0,0,,0,,34,121,45,0,1,0,0,2,36,1,6
388.0,19,4,False,Aaron Wan-Bissaka,29,eng ENG,"LB,RB",26-307,90,55,3,15,15,26,2,55,3,1,33.3,2,66.7,25,251,130,4,2,2,3,0,30,4,6
513.0,19,4,False,Alphonse Areola,23,fr FRA,GK,31-214,90,39,30,39,0,0,0,39,0,0,,0,,28,106,53,0,0,0,0,0,23,0,6
220.0,8,7,True,Dominic Calvert-Lewin,9,eng ENG,FW,27-196,90,29,1,1,10,18,6,29,2,0,0.0,2,100.0,16,62,4,0,1,0,3,2,25,9,6
232.0,8,7,True,Iliman Ndiaye,10,sn SEN,LW,24-206,90,46,4,11,18,21,2,46,4,3,75.0,1,25.0,27,293,159,4,4,0,1,3,26,7,6
577.0,8,7,True,Jesper Lindstrøm,29,dk DEN,RW,24-212,45,22,1,2,10,10,0,22,2,0,0.0,2,100.0,7,14,2,0,0,0,0,2,11,3,6
224.0,8,7,True,Jack Harrison,11,eng ENG,RW,27-313,45,18,0,3,3,12,0,18,1,0,0.0,1,100.0,14,35,15,0,0,0,2,3,16,2,6
230.0,8,7,True,Dwight McNeil,7,eng ENG,AM,24-311,82,45,0,3,22,20,3,45,3,1,33.3,2,66.7,25,94,31,1,2,0,5,3,32,7,6
222.0,8,7,True,Idrissa Gana Gueye,27,sn SEN,"DM,AM",35-002,8,5,0,0,2,3,0,5,0,0,,0,,2,5,2,0,0,0,0,0,3,0,6
651.0,8,7,True,Orel Mangala,8,be BEL,DM,26-194,82,44,0,4,34,7,0,44,2,2,100.0,0,0.0,23,178,49,0,1,0,0,2,24,0,6
223.0,8,7,True,James Garner,37,eng ENG,AM,23-199,8,2,0,0,0,2,0,2,0,0,,0,,0,0,0,0,0,0,0,0,1,1,6
217.0,8,7,True,Abdoulaye Doucouré,16,ml MLI,DM,31-271,90,43,1,9,19,15,0,43,0,0,,0,,19,110,48,1,0,0,0,1,22,2,6
231.0,8,7,True,Vitaliy Mykolenko,19,ua UKR,LB,25-122,90,40,2,12,16,12,1,40,0,0,,0,,16,68,41,1,0,0,0,0,25,4,6
219.0,8,7,True,Jarrad Branthwaite,32,eng ENG,CB,22-093,90,43,8,25,15,3,0,43,1,1,100.0,0,0.0,24,73,38,0,0,0,0,0,21,0,6
236.0,8,7,True,James Tarkowski,6,eng ENG,CB,31-314,90,54,13,27,21,7,4,54,0,0,,0,,17,65,48,0,0,0,0,0,22,0,6
238.0,8,7,True,Ashley Young,18,eng ENG,RB,39-081,90,74,4,19,32,24,0,74,2,1,50.0,1,50.0,30,106,69,0,1,0,0,0,40,2,6
235.0,8,7,True,Jordan Pickford,1,eng ENG,GK,30-205,90,44,31,39,5,0,0,44,0,0,,0,,28,169,104,0,0,0,0,0,18,0,6
207.0,7,8,False,Jean-Philippe Mateta,14,fr FRA,FW,27-092,90,23,0,3,9,11,5,23,0,0,,0,,11,55,7,1,0,2,1,0,19,7,6
199.0,7,8,False,Eberechi Eze,10,eng ENG,LW,26-091,90,57,1,12,25,21,1,57,2,0,0.0,2,100.0,33,178,85,2,3,0,3,2,40,3,6
11.0,7,8,False,Eddie Nketiah,9,eng ENG,"RW,AM",25-121,72,27,1,2,14,11,3,27,1,1,100.0,0,0.0,22,104,40,1,1,0,1,3,23,5,6
214.0,7,8,False,Jeffrey Schlupp,15,gh GHA,AM,31-280,18,8,0,0,3,5,1,8,0,0,,0,,5,13,3,0,0,0,1,0,6,2,6
210.0,7,8,False,Tyrick Mitchell,3,eng ENG,"LM,LB",25-027,90,66,2,28,27,11,2,66,0,0,,0,,30,102,56,4,1,1,1,1,36,12,6
205.0,7,8,False,Daichi Kamada,18,jp JPN,CM,28-054,61,47,0,12,24,11,2,47,0,0,,0,,25,120,73,1,2,0,0,1,33,1,6
585.0,7,8,False,Ismaila Sarr,7,sn SEN,RW,26-216,29,9,0,0,4,5,0,9,0,0,,0,,9,40,1,0,0,0,1,2,10,5,6
216.0,7,8,False,Adam Wharton,20,eng ENG,"CM,DM",20-118,88,82,2,17,43,22,1,82,1,1,100.0,0,0.0,44,209,141,2,2,0,1,2,53,1,6
203.0,7,8,False,Will Hughes,19,eng ENG,DM,29-164,2,6,0,0,2,4,0,6,0,0,,0,,2,24,23,1,0,0,1,0,2,0,6
211.0,7,8,False,Daniel Muñoz,12,co COL,"RM,RB",28-125,90,70,3,14,35,21,8,70,1,1,100.0,0,0.0,33,172,100,3,1,1,1,0,41,11,6
206.0,7,8,False,Jefferson Lerma,8,co COL,"CB,DM",29-339,90,85,6,35,40,11,1,85,0,0,,0,,52,156,85,0,0,0,1,1,61,4,6
200.0,7,8,False,Marc Guéhi,6,eng ENG,CB,24-077,90,99,21,59,39,3,1,99,1,1,100.0,0,0.0,53,250,141,1,2,0,0,0,62,0,6
650.0,7,8,False,Maxence Lacroix,5,fr FRA,CB,24-175,90,84,6,44,37,3,2,84,1,1,100.0,0,0.0,50,207,126,1,0,0,2,0,58,0,6
201.0,7,8,False,Dean Henderson,1,eng ENG,GK,27-200,90,21,17,20,0,1,1,21,0,0,,0,,14,83,46,0,0,0,0,0,11,0,6
23.0,1,11,True,Leandro Trossard,19,be BEL,FW,29-299,89,54,0,1,15,39,12,54,5,2,40.0,2,40.0,27,186,70,2,2,0,3,2,44,10,6
2.0,1,11,True,Gabriel Jesus,9,br BRA,FW,27-178,1,1,0,0,0,1,1,1,0,0,,0,,1,31,29,1,1,1,0,0,1,1,6
