player_id,team_id,opponent_team_id,was_home,player_name,player_number,nation,pos,age,minutes,touches,touches_in_def_pen,touches_in_def_3rd,touches_in_mid_3rd,touches_in_att_3rd,touches_in_att_pen,live_touches,attempted_takeons,successful_takeons,successful_takeon_percent,times_tackled_during_takeon,tackled_during_takeon_percentage,carries,total_carry_distance,progressive_carry_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessions,passes_received,progressive_passes_received,gw
306,11,6,True,Jamie Vardy,9,eng ENG,FW,37-317,78,13,2,3,7,3,1,13,0,0,,0,,4,6,1,0,0,0,2,0,4,1,12
289,11,6,True,Patson Daka,20,zm ZAM,FW,26-045,12,3,0,0,1,2,1,3,0,0,,0,,3,9,3,0,1,0,0,0,3,0,12
300,11,6,True,Wilfred Ndidi,6,ng NGA,FW,27-343,70,21,3,7,10,4,1,21,1,1,100.0,0,0.0,12,37,17,0,0,0,0,0,11,1,12
192,11,6,True,Jordan Ayew,18,gh GHA,FW,33-073,20,13,0,2,9,3,1,12,3,0,0.0,3,100.0,8,35,20,0,0,0,1,0,9,2,12
635,11,6,True,Bilal El Khannouss,11,ma MAR,LM,20-197,78,42,0,5,30,8,0,42,6,3,50.0,3,50.0,25,157,84,3,2,0,2,1,30,2,12
290,11,6,True,Bobby De Cordova-Reid,14,jm JAM,RM,31-295,12,7,0,0,5,2,0,7,0,0,,0,,5,33,16,1,0,0,0,0,6,1,12
309,11,6,True,Harry Winks,8,eng ENG,CM,28-295,10,5,0,4,1,0,0,5,0,0,,0,,4,15,0,0,0,0,1,2,2,0,12
501,11,6,True,Oliver Skipp,22,eng ENG,CM,24-068,80,36,2,8,21,7,0,36,0,0,,0,,26,118,71,2,1,0,0,1,29,1,12
285,11,6,True,Boubakary Soumaré,24,fr FRA,CM,25-270,90,62,6,25,33,5,0,62,4,0,0.0,2,50.0,41,157,63,0,0,0,0,1,39,0,12
299,11,6,True,Kasey McAteer,35,ie IRL,RM,23-001,70,21,1,2,11,8,1,21,2,1,50.0,1,50.0,14,85,29,2,1,1,3,0,15,5,12
298,11,6,True,Stephy Mavididi,10,eng ENG,"LM,RM",26-176,20,13,0,1,5,7,1,13,2,1,50.0,1,50.0,9,64,28,2,0,1,2,1,9,1,12
