player_id,team_id,opponent_team_id,was_home,player_name,player_number,nation,pos,age,minutes,touches,touches_in_def_pen,touches_in_def_3rd,touches_in_mid_3rd,touches_in_att_3rd,touches_in_att_pen,live_touches,attempted_takeons,successful_takeons,successful_takeon_percent,times_tackled_during_takeon,tackled_during_takeon_percentage,carries,total_carry_distance,progressive_carry_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessions,passes_received,progressive_passes_received,gw
306,11,16,True,Jamie Vardy,9,eng ENG,FW,37-288,90,25,3,4,8,13,5,25,0,0,,0,,15,52,14,0,0,0,0,0,18,3,9
298,11,16,True,Stephy Mavididi,10,eng ENG,LW,26-147,67,40,2,5,16,19,1,40,2,0,0.0,2,100.0,32,226,120,6,1,0,1,0,32,5,9
192,11,16,True,Jordan Ayew,18,gh GHA,LW,33-044,23,14,0,1,6,8,1,14,0,0,,0,,12,61,14,0,0,0,2,2,15,5,9
570,11,16,True,Abdul Fatawu Issahaku,7,gh GHA,"RW,RM",20-231,90,66,3,8,19,40,6,66,10,3,30.0,4,40.0,45,433,256,12,6,3,3,2,46,15,9
117,11,16,True,Facundo Buonanotte,40,ar ARG,"AM,CM",19-307,90,79,4,10,40,32,3,79,5,2,40.0,3,60.0,44,292,158,7,4,2,3,2,45,9,9
309,11,16,True,Harry Winks,8,eng ENG,"DM,LM",28-266,90,87,3,14,56,18,1,87,0,0,,0,,70,269,108,2,0,0,0,0,68,3,9
300,11,16,True,Wilfred Ndidi,6,ng NGA,"DM,CM",27-314,73,45,4,14,23,8,3,45,0,0,,0,,27,113,63,2,0,0,1,0,28,5,9
285,11,16,True,Boubakary Soumaré,24,fr FRA,CM,25-241,17,13,0,4,5,4,0,13,1,1,100.0,0,0.0,8,43,34,1,1,0,0,0,8,0,9
295,11,16,True,James Justin,2,eng ENG,"LB,CB",26-245,90,95,5,26,49,20,1,95,1,0,0.0,1,100.0,61,214,105,2,1,0,2,1,63,5,9
301,11,16,True,Caleb Okoli,5,it ITA,CB,23-104,90,86,10,29,55,4,1,86,0,0,,0,,60,338,158,1,1,0,2,0,57,1,9
291,11,16,True,Wout Faes,3,be BEL,CB,26-205,90,81,5,19,59,3,1,81,0,0,,0,,64,297,227,0,1,0,1,0,65,0,9
302,11,16,True,Ricardo Pereira,21,pt POR,RB,31-019,67,54,2,14,33,7,0,54,0,0,,0,,33,58,6,0,0,0,1,0,29,2,9
635,11,16,True,Bilal El Khannouss,11,ma MAR,RW,20-168,23,14,0,1,5,8,1,14,1,0,0.0,1,100.0,15,48,19,2,0,1,0,1,14,2,9
293,11,16,True,Mads Hermansen,30,dk DEN,GK,24-106,90,41,28,39,2,0,0,41,0,0,,0,,25,118,57,0,0,0,0,0,21,0,9
447,16,11,False,Chris Wood,11,nz NZL,FW,32-323,80,22,0,0,14,8,4,22,0,0,,0,,13,39,20,1,0,0,2,1,19,1,9
