player_id,team_id,opponent_team_id,was_home,player_name,player_number,nation,pos,age,minutes,touches,touches_in_def_pen,touches_in_def_3rd,touches_in_mid_3rd,touches_in_att_3rd,touches_in_att_pen,live_touches,attempted_takeons,successful_takeons,successful_takeon_percent,times_tackled_during_takeon,tackled_during_takeon_percentage,carries,total_carry_distance,progressive_carry_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessions,passes_received,progressive_passes_received,gw
306.0,11,4,True,Jamie Vardy,9,eng ENG,FW,38-041,90,16,1,4,6,6,3,16,2,2,100.0,0,0.0,9,72,45,2,1,1,0,0,10,2,26
192.0,11,4,True,Jordan Ayew,18,gh GHA,"LW,RW",33-163,54,27,1,2,12,16,0,27,2,0,0.0,1,50.0,19,161,95,6,2,0,4,0,18,3,26
117.0,11,4,True,Facundo Buonanotte,40,ar ARG,RW,20-060,36,27,0,2,16,9,1,27,1,1,100.0,0,0.0,21,213,143,4,1,1,0,0,22,2,26
290.0,11,4,True,Bobby De Cordova-Reid,14,jm JAM,RW,32-019,45,20,2,3,8,9,0,20,0,0,,0,,13,77,31,2,0,0,0,0,13,6,26
298.0,11,4,True,Stephy Mavididi,10,eng ENG,LW,26-266,45,16,1,4,7,5,1,16,1,0,0.0,0,0.0,10,93,21,1,1,0,1,2,11,3,26
635.0,11,4,True,Bilal El Khannouss,11,ma MAR,AM,20-287,90,57,1,7,18,32,2,57,6,2,33.3,3,50.0,41,229,140,6,3,0,1,2,40,7,26
285.0,11,4,True,Boubakary Soumaré,24,fr FRA,DM,25-360,90,55,2,12,29,15,2,55,1,0,0.0,1,100.0,39,182,92,3,3,0,0,1,41,3,26
300.0,11,4,True,Wilfred Ndidi,6,ng NGA,DM,28-067,76,40,3,11,14,16,4,40,0,0,,0,,20,79,28,1,1,0,2,0,22,2,26
501.0,11,4,True,Oliver Skipp,22,eng ENG,DM,24-158,14,8,0,1,5,2,1,8,0,0,,0,,8,20,11,1,0,1,0,0,7,1,26
296.0,11,4,True,Victor Bernth Kristiansen,16,dk DEN,LB,22-067,90,44,3,10,16,18,1,44,0,0,,0,,25,165,68,1,2,0,0,0,22,2,26
301.0,11,4,True,Caleb Okoli,5,it ITA,"CB,RB",23-223,82,49,10,26,20,3,1,49,0,0,,0,,25,100,38,0,1,0,2,0,25,0,26
288.0,11,4,True,Conor Coady,4,eng ENG,CB,31-362,8,4,0,3,1,0,0,4,0,0,,0,,3,27,24,0,0,0,0,0,3,0,26
291.0,11,4,True,Wout Faes,3,be BEL,"CB,RB",26-324,90,59,9,34,21,5,2,59,0,0,,0,,39,106,54,0,1,0,1,0,36,0,26
726.0,11,4,True,Woyo Coulibaly,25,ml MLI,RB,25-277,45,33,3,7,10,16,3,33,0,0,,0,,22,87,27,0,0,0,1,0,20,1,26
307.0,11,4,True,Jannik Vestergaard,23,dk DEN,CB,32-202,45,29,8,18,11,0,0,29,0,0,,0,,18,99,43,0,0,0,0,0,15,0,26
293.0,11,4,True,Mads Hermansen,30,dk DEN,GK,24-225,90,41,26,39,2,0,0,41,0,0,,0,,26,121,55,0,0,0,0,0,22,0,26
110.0,4,11,False,Yoane Wissa,11,cd COD,FW,28-171,90,29,2,5,8,16,9,29,1,1,100.0,0,0.0,21,87,29,1,0,2,3,1,25,7,26
106.0,4,11,False,Kevin Schade,7,de GER,LW,23-086,86,33,1,4,9,20,6,33,3,2,66.7,1,33.3,16,96,46,2,1,2,3,1,19,6,26
