player_id,team_id,opponent_team_id,was_home,player_name,player_number,nation,pos,age,minutes,touches,touches_in_def_pen,touches_in_def_3rd,touches_in_mid_3rd,touches_in_att_3rd,touches_in_att_pen,live_touches,attempted_takeons,successful_takeons,successful_takeon_percent,times_tackled_during_takeon,tackled_during_takeon_percentage,carries,total_carry_distance,progressive_carry_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessions,passes_received,progressive_passes_received,gw
180.0,6,8,True,Nicolas Jackson,15,sn SEN,FW,23-310,89,36,0,2,20,15,2,36,4,1,25.0,2,50.0,28,119,52,2,0,1,6,3,34,11,34
696.0,6,8,True,Tyrique George,32,eng ENG,FW,19-081,1,1,0,0,1,0,0,1,0,0,,0,,0,0,0,0,0,0,0,0,1,1,34
177.0,6,8,True,Noni Madueke,11,eng ENG,"LW,WB",23-047,77,44,1,5,18,22,6,44,8,4,50.0,2,25.0,28,227,144,9,1,5,1,1,32,10,34
386.0,6,8,True,Jadon Sancho,19,eng ENG,WB,25-032,13,2,0,1,0,1,0,2,1,1,100.0,0,0.0,2,20,8,1,0,0,0,0,1,0,34
560.0,6,8,True,Pedro Neto,7,pt POR,"RW,WB",25-048,90,47,3,8,18,25,1,47,4,3,75.0,1,25.0,23,233,189,4,2,1,3,0,27,4,34
182.0,6,8,True,Cole Palmer,20,eng ENG,AM,22-355,89,44,0,6,26,13,1,44,3,3,100.0,0,0.0,32,174,75,2,0,0,3,2,35,4,34
166.0,6,8,True,Kiernan Dewsbury-Hall,22,eng ENG,AM,26-232,1,1,0,0,1,0,0,1,0,0,,0,,0,0,0,0,0,0,0,0,1,0,34
168.0,6,8,True,Enzo Fernández,8,ar ARG,"DM,AM",24-099,90,58,0,9,30,19,0,58,3,0,0.0,3,100.0,41,149,40,1,1,0,1,1,45,8,34
174.0,6,8,True,Roméo Lavia,45,be BEL,DM,21-110,66,43,1,5,33,5,0,43,1,1,100.0,0,0.0,26,114,59,0,0,0,0,1,28,0,34
172.0,6,8,True,Reece James,24,eng ENG,CM,25-139,24,15,0,4,8,3,0,15,0,0,,0,,7,33,11,0,0,0,0,0,12,0,34
163.0,6,8,True,Marc Cucurella,3,es ESP,"LB,CB",26-278,90,96,3,26,56,14,3,96,0,0,,0,,34,166,96,0,0,0,1,0,61,2,34
162.0,6,8,True,Levi Colwill,6,eng ENG,CB,22-059,90,78,12,40,35,3,2,78,2,1,50.0,1,50.0,43,227,130,0,0,0,0,0,62,0,34
