player_id,team_id,opponent_team_id,was_home,player_name,player_number,nation,pos,age,minutes,touches,touches_in_def_pen,touches_in_def_3rd,touches_in_mid_3rd,touches_in_att_3rd,touches_in_att_pen,live_touches,attempted_takeons,successful_takeons,successful_takeon_percent,times_tackled_during_takeon,tackled_during_takeon_percentage,carries,total_carry_distance,progressive_carry_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessions,passes_received,progressive_passes_received,gw
117.0,11,16,False,Facundo Buonanotte,40,ar ARG,"LW,RW,AM",20-139,30,15,0,1,8,6,3,15,3,2,66.7,0,0.0,9,51,26,1,0,1,1,0,9,3,36
501.0,11,16,False,Oliver Skipp,22,eng ENG,DM,24-237,59,25,3,12,12,1,1,25,1,1,100.0,0,0.0,15,49,8,0,0,0,0,2,16,0,36
285.0,11,16,False,Boubakary Soumaré,24,fr FRA,"DM,CM",26-073,31,21,0,4,12,5,1,21,0,0,,0,,12,43,26,1,0,1,2,0,12,1,36
300.0,11,16,False,Wilfred Ndidi,6,ng NGA,"DM,CM",28-146,90,52,4,19,32,2,1,52,1,0,0.0,1,100.0,22,102,53,1,0,0,1,0,26,0,36
305.0,11,16,False,Luke Thomas,33,eng ENG,LB,23-335,76,37,1,13,15,9,1,37,0,0,,0,,15,44,16,1,0,0,0,0,17,2,36
296.0,11,16,False,Victor Bernth Kristiansen,16,dk DEN,"LB,WB",22-146,14,5,0,1,2,2,0,5,0,0,,0,,2,4,2,0,0,0,0,0,2,0,36
291.0,11,16,False,Wout Faes,3,be BEL,CB,27-038,90,60,17,44,15,1,1,60,0,0,,0,,34,163,85,0,0,0,0,0,38,0,36
288.0,11,16,False,Conor Coady,4,eng ENG,CB,32-075,90,52,6,38,12,2,2,52,0,0,,0,,38,164,95,0,0,0,0,0,38,0,36
295.0,11,16,False,James Justin,2,eng ENG,"RB,WB",27-077,90,57,2,22,28,8,1,57,0,0,,0,,29,102,54,0,1,0,0,2,35,2,36
304.0,11,16,False,Jakub Stolarczyk,41,pl POL,GK,24-143,90,41,29,41,0,0,0,41,0,0,,0,,24,97,53,0,0,0,0,0,21,0,36
492.0,18,7,True,Dejan Kulusevski,21,se SWE,FW,25-016,18,4,0,0,2,2,1,4,0,0,,0,,2,9,2,0,0,0,0,1,1,0,36
610.0,18,7,True,Mikey Moore,47,eng ENG,"LW,RW",17-273,72,18,1,1,7,10,1,18,2,1,50.0,1,50.0,17,135,68,2,3,1,3,2,15,6,36
768.0,18,7,True,Mathys Tel,11,fr FRA,"LW,FW",20-014,90,40,2,10,14,18,1,40,5,3,60.0,1,20.0,26,174,96,4,3,1,4,1,20,3,36
612.0,18,7,True,Wilson Odobert,28,fr FRA,"RW,AM",20-164,90,38,0,3,13,22,2,38,2,0,0.0,2,100.0,26,131,57,3,2,1,1,2,29,9,36
499.0,18,7,True,Pape Matar Sarr,29,sn SEN,"LM,DM",22-239,90,27,3,6,15,6,2,27,0,0,,0,,11,55,23,0,1,0,2,0,16,2,36
480.0,18,7,True,Rodrigo Bentancur,30,uy URU,CM,27-320,45,17,2,8,9,0,0,17,0,0,,0,,9,54,3,0,0,0,0,0,7,0,36
482.0,18,7,True,Yves Bissouma,8,ml MLI,"DM,CM",28-254,45,26,3,9,16,3,0,26,1,0,0.0,1,100.0,15,77,35,0,0,0,0,0,17,0,36
489.0,18,7,True,Archie Gray,14,eng ENG,"RM,RB",19-060,90,40,1,10,21,9,0,40,0,0,,0,,29,114,63,0,0,0,1,0,26,2,36
504.0,18,7,True,Djed Spence,24,eng ENG,LB,24-275,90,61,5,29,24,10,0,61,3,3,100.0,0,0.0,29,137,73,2,1,0,0,2,33,0,36
484.0,18,7,True,Ben Davies,33,wls WAL,CB,32-017,90,80,20,53,24,3,1,80,0,0,,0,,41,146,66,0,0,0,1,0,44,0,36
767.0,18,7,True,Kevin Danso,4,at AUT,CB,26-234,90,61,15,41,19,2,1,61,0,0,,0,,41,186,76,0,0,0,0,1,46,0,36
495.0,18,7,True,Pedro Porro,23,es ESP,RB,25-240,57,49,2,16,23,10,2,49,0,0,,0,,28,158,78,1,2,0,2,1,33,1,36
503.0,18,7,True,Son Heung-min,7,kr KOR,FW,32-307,33,9,0,0,4,5,2,9,0,0,,0,,6,65,48,2,0,1,0,2,7,3,36
716.0,18,7,True,Antonín Kinský,31,cz CZE,GK,22-059,90,42,36,41,1,0,0,42,0,0,,0,,26,163,96,0,0,0,0,0,15,0,36
207.0,7,18,False,Jean-Philippe Mateta,14,fr FRA,FW,27-317,60,22,1,1,7,15,4,22,2,1,50.0,1,50.0,12,77,52,3,1,1,0,0,12,6,36
11.0,7,18,False,Eddie Nketiah,9,eng ENG,FW,25-346,30,11,0,1,6,4,3,11,2,0,0.0,2,100.0,9,15,5,1,0,1,2,0,11,5,36
199.0,7,18,False,Eberechi Eze,10,eng ENG,AM,26-316,90,45,0,6,19,22,3,45,4,0,0.0,3,75.0,25,162,60,1,3,0,2,0,27,7,36
585.0,7,18,False,Ismaila Sarr,7,sn SEN,AM,27-075,77,26,1,4,9,13,6,26,1,0,0.0,1,100.0,14,49,31,1,1,1,2,0,17,6,36
730.0,7,18,False,Romain Esse,21,eng ENG,AM,19-363,13,8,0,0,4,4,1,8,0,0,,0,,4,30,17,0,1,0,0,1,5,2,36
206.0,7,18,False,Jefferson Lerma,8,co COL,CM,30-198,60,40,3,7,25,8,1,40,1,1,100.0,0,0.0,18,94,63,2,1,0,1,2,22,1,36
205.0,7,18,False,Daichi Kamada,18,jp JPN,CM,28-279,30,25,0,9,12,4,1,25,1,0,0.0,1,100.0,17,52,20,0,0,0,0,1,16,0,36
203.0,7,18,False,Will Hughes,19,eng ENG,CM,30-024,86,49,1,12,25,12,0,49,1,0,0.0,1,100.0,20,101,42,0,0,0,0,3,23,2,36
645.0,7,18,False,Justin Devenny,55,nir NIR,CM,21-212,4,8,0,0,8,0,0,8,0,0,,0,,4,11,3,0,0,0,1,0,7,1,36
210.0,7,18,False,Tyrick Mitchell,3,eng ENG,WB,25-252,60,36,0,12,19,5,1,36,1,1,100.0,0,0.0,21,88,49,1,0,0,0,2,24,3,36
160.0,7,18,False,Ben Chilwell,25,eng ENG,WB,28-141,30,23,1,7,11,5,1,23,0,0,,0,,10,38,35,0,0,0,0,0,12,2,36
211.0,7,18,False,Daniel Muñoz,12,co COL,WB,28-350,90,57,3,15,24,18,6,57,0,0,,0,,37,140,90,3,2,3,3,1,38,6,36
200.0,7,18,False,Marc Guéhi,6,eng ENG,CB,24-302,90,75,13,44,29,2,1,75,0,0,,0,,43,131,44,0,0,0,0,1,47,0,36
650.0,7,18,False,Maxence Lacroix,5,fr FRA,CB,25-035,90,47,3,26,17,4,3,47,0,0,,0,,27,129,59,0,1,0,0,1,31,0,36
194.0,7,18,False,Chris Richards,26,us USA,CB,25-044,90,58,4,28,24,6,1,58,0,0,,0,,36,135,27,1,0,0,0,0,37,1,36
201.0,7,18,False,Dean Henderson,1,eng ENG,GK,28-060,90,41,34,41,0,0,0,41,0,0,,0,,26,144,83,0,0,0,0,0,25,0,36
375.0,14,19,True,Rasmus Højlund,9,dk DEN,FW,22-096,90,27,0,2,9,17,9,27,2,0,0.0,2,100.0,15,70,23,1,0,1,1,3,24,11,36
382.0,14,19,True,Mason Mount,7,eng ENG,AM,26-121,58,31,3,5,13,13,2,31,3,1,33.3,2,66.7,15,83,28,1,0,0,1,0,20,5,36
372.0,14,19,True,Alejandro Garnacho,17,ar ARG,AM,20-314,32,21,0,0,2,19,5,21,2,0,0.0,2,100.0,17,136,61,1,0,0,0,0,19,9,36
378.0,14,19,True,Kobbie Mainoo,37,eng ENG,"AM,CM",20-022,90,54,1,8,24,23,2,54,1,0,0.0,1,100.0,29,133,65,1,1,0,2,1,42,3,36
366.0,14,19,True,Bruno Fernandes,8,pt POR,"CM,AM",30-245,90,97,3,11,53,34,1,97,1,0,0.0,1,100.0,58,258,159,2,2,0,1,1,75,2,36
652.0,14,19,True,Manuel Ugarte Ribeiro,25,uy URU,CM,24-030,58,34,2,7,19,8,0,34,0,0,,0,,15,61,30,0,0,0,2,0,23,0,36
766.0,14,19,True,Patrick Dorgu,13,dk DEN,WB,20-197,32,31,0,1,11,19,1,31,1,0,0.0,0,0.0,17,99,45,3,0,1,0,0,20,4,36
670.0,14,19,True,Harry Amass,41,eng ENG,WB,18-056,90,53,1,13,21,19,1,53,1,0,0.0,1,100.0,30,156,34,0,0,0,6,0,23,6,36
364.0,14,19,True,Amad Diallo,16,ci CIV,"WB,AM",22-304,82,62,1,6,26,31,8,62,5,1,20.0,4,80.0,34,250,156,6,1,6,3,0,42,12,36
370.0,14,19,True,Christian Eriksen,14,dk DEN,"CM,AM",33-086,8,17,0,5,3,9,0,17,1,0,0.0,1,100.0,9,50,36,0,0,0,1,0,10,0,36
387.0,14,19,True,Luke Shaw,23,eng ENG,CB,29-303,51,38,6,15,20,3,0,38,0,0,,0,,21,134,76,1,2,0,0,0,29,0,36
376.0,14,19,True,Victor Lindelöf,2,se SWE,CB,30-298,39,24,2,7,13,5,0,24,0,0,,0,,13,97,63,1,1,0,0,1,16,2,36
572.0,14,19,True,Leny Yoro,15,fr FRA,CB,19-179,51,47,4,18,29,0,0,47,0,0,,0,,37,220,119,0,0,0,0,0,41,0,36
377.0,14,19,True,Harry Maguire,5,eng ENG,CB,32-067,39,36,3,9,22,5,3,36,0,0,,0,,17,120,82,0,0,0,1,0,22,0,36
