web_name,gw,tpa,player_id
Ugochukwu,1,0.0,188
Rúben,1,0.0,361
Burgess,1,0.0,263
Murillo,1,0.0,436
Awoniyi,1,2.0,424
Longstaff,1,2.0,410
Bergvall,1,1.0,481
Branthwaite,1,0.0,219
McNeil,1,0.0,230
C.Soler,1,0.0,654
Dunk,1,2.0,120
Aina,1,0.0,422
Brereton Díaz,1,4.0,584
Konsa,1,1.0,44
Manning,1,0.0,467
Onana,1,1.0,233
Cook,1,0.0,64
Roerslev,1,0.0,105
McAtee,1,0.0,357
Andersen,1,0.0,191
Saliba,1,0.0,18
Burns,1,1.0,264
Mario Jr.,1,0.0,557
McAteer,1,1.0,299
Broja,1,0.0,156
Mount,1,5.0,382
Martinez,1,0.0,47
Broadhead,1,0.0,262
Gana,1,1.0,222
Barkley,1,0.0,29
O'Brien,1,0.0,582
Malen,1,0.0,725
White,1,0.0,24
Zinchenko,1,2.0,25
Downes,1,2.0,518
Adams,1,0.0,60
Scott,1,0.0,77
Ferguson,1,0.0,123
Bassey,1,2.0,241
B.Soumaré,1,0.0,285
Alcaraz,1,2.0,450
Kovačić,1,0.0,354
Sosa,1,0.0,620
Elliott,1,0.0,319
Greaves,1,2.0,270
Toti,1,1.0,567
Pau,1,0.0,52
Wilson,1,0.0,259
Yarmoliuk,1,0.0,111
Kristiansen,1,0.0,296
De Cordova-Reid,1,1.0,290
Bednarek,1,1.0,455
Lewis-Skelly,1,0.0,597
O’Reilly,1,0.0,607
Smallbone,1,9.0,471
Dawson,1,0.0,542
Hughes,1,2.0,203
Keane,1,1.0,228
Lukić,1,0.0,249
Forbs,1,0.0,655
Mings,1,0.0,49
Ugarte,1,0.0,652
Davies,1,0.0,669
Álvarez,1,0.0,511
Caicedo,1,0.0,157
Eriksen,1,0.0,370
Mangala,1,0.0,651
Diop,1,0.0,245
C.Richards,1,0.0,194
Edouard,1,2.0,198
Yoro,1,0.0,572
Wieffer,1,0.0,149
Tosin,1,0.0,187
Zabarnyi,1,0.0,85
Berge,1,0.0,622
Philip,1,1.0,76
Dragusin,1,0.0,486
Trippier,1,0.0,418
Moore,1,0.0,610
Johnson,1,0.0,275
Cairney,1,2.0,243
Iroegbunam,1,3.0,226
Chaplin,1,1.0,265
Stephens,1,2.0,472
Tsimikas,1,0.0,337
Baleba,1,0.0,115
Cajuste,1,0.0,619
Vestergaard,1,0.0,307
W.Fofana,1,1.0,189
Akanji,1,0.0,340
Senesi,1,0.0,79
Bree,1,0.0,457
Okoli,1,0.0,301
Wharton,1,0.0,216
Jensen,1,0.0,95
Jebbison,1,1.0,69
F.Kadıoğlu,1,0.0,628
Coufal,1,0.0,516
Van de Ven,1,0.0,506
Al-Hamadi,1,1.0,260
Edozie,1,7.0,459
Todibo,1,0.0,591
Almirón,1,0.0,391
Young,1,0.0,656
Garner,1,0.0,223
Veltman,1,0.0,145
Lamptey,1,0.0,131
George,1,0.0,696
Taylor,1,0.0,281
Alex Moreno,1,0.0,26
Webster,1,1.0,147
N.Gonzalez,1,0.0,765
Hill,1,0.0,68
Antony,1,0.0,365
Scarles,1,0.0,677
Dewsbury-Hall,1,0.0,166
Kamara,1,0.0,42
Devenny,1,0.0,645
Danso,1,0.0,767
King,1,0.0,604
Lallana,1,0.0,463
Sangaré,1,2.0,442
Kayode,1,0.0,757
Ogbene,1,0.0,632
Disasi,1,0.0,167
Mosquera,1,0.0,558
Mudryk,1,0.0,179
Coady,1,0.0,288
S.Bueno,1,0.0,564
Diego Carlos,1,0.0,35
Ward-Prowse,1,0.0,531
Smith,1,0.0,81
Willian,1,0.0,772
Skipp,1,0.0,501
Tuanzebe,1,1.0,282
Esse,1,0.0,730
Gómez,1,0.0,714
Schlupp,1,0.0,214
Botman,1,0.0,393
Miley,1,0.0,411
Obi,1,0.0,776
Bissouma,1,0.0,482
March,1,0.0,132
Walker,1,0.0,363
Phillips,1,0.0,359
Thomas,1,0.0,20
Stewart,1,0.0,473
Townsend,1,0.0,583
Gomez,1,0.0,714
Aké,1,0.0,341
Quansah,1,0.0,333
Patterson,1,0.0,234
Krafth,1,2.0,405
Shaw,1,0.0,387
Kelly,1,0.0,404
M.França,1,0.0,208
Tierney,1,0.0,21
C.Doucouré,1,0.0,193
Doyle,1,0.0,544
Maghoma,1,0.0,674
Morsy,1,1.0,278
James,1,0.0,172
Reed,1,0.0,254
Renato Veiga,1,0.0,184
L.Guilherme,1,0.0,526
Coulibaly,1,0.0,726
Agbadou,1,0.0,720
André,1,0.0,642
Milner,1,2.0,134
Ricardo,1,0.0,302
Osula,1,0.0,590
Chiesa,1,0.0,636
Bogarde,1,0.0,598
Stones,1,0.0,362
Kiwior,1,0.0,8
Fraser,1,0.0,397
Lindelof,1,0.0,376
Acheampong,1,0.0,697
Harness,1,2.0,271
Woolfenden,1,1.0,284
Reguilón,1,0.0,496
Collyer,1,0.0,613
Choudhury,1,0.0,287
Y. Chermiti,1,0.0,237
Marc Guiu,1,0.0,178
Pedro Lima,1,0.0,561
Mee,1,0.0,100
Buendia,1,0.0,31
Godo,1,0.0,605
Clyne,1,0.0,196
Jorginho,1,0.0,7
Orford,1,0.0,701
Vinicius,1,0.0,258
H.Clarke,1,0.0,266
Morato,1,0.0,653
Gray,1,0.0,489
Endo,1,0.0,320
Evans,1,0.0,371
J.Araujo,1,0.0,592
Wood,1,0.0,447
G.Rodríguez,1,0.0,588
Coleman,1,0.0,221
Toffolo,1,2.0,444
Welington,1,0.0,718
Amass,1,0.0,670
Taylor,1,0.0,281
Cornet,1,0.0,515
Thiago,1,0.0,107
A. Garcia,1,0.0,731
Armstrong,1,0.0,603
Bella-Kotchap,1,0.0,456
McTominay,1,0.0,381
Mubama,1,0.0,698
Winterburn,1,0.0,687
Amo-Ameyaw,1,1.0,451
Boly,1,1.0,425
Chilwell,1,0.0,160
Luongo,1,0.0,277
Winks,1,0.0,309
Heaven,1,0.0,658
Simpson-Pusey,1,0.0,672
Monga,1,0.0,792
Henderson,1,0.0,201
Butler-Oyedeji,1,0.0,665
Chiquinho,1,1.0,537
Cresswell,1,0.0,517
Arrizabalaga,1,0.0,152
Igor,1,0.0,128
Lavia,1,0.0,174
Mheuka,1,0.0,781
Moder,1,0.0,137
Scarlett,1,0.0,500
Khusanov,1,0.0,732
Fredricson,1,0.0,777
Grønbæk,1,0.0,734
Tomiyasu,1,0.0,22
Godfrey,1,0.0,715
J.Cuenca,1,0.0,586
Toney,1,0.0,108
Peart-Harris,1,0.0,103
Onyeka,1,0.0,102
Vitor Reis,1,0.0,733
G.Nunes,1,0.0,634
Arteta,1,0.0,735
Guardiola,1,0.0,736
Yang,1,0.0,717
I.Osman,1,0.0,127
Meupiyou,1,0.0,637
Gross,1,0.0,125
Kayi Sanda,1,0.0,719
Gilmour,1,0.0,124
Dahoud,1,0.0,119
Cozier-Duberry,1,0.0,118
Lankshear,1,0.0,609
Kabia,1,0.0,659
Gauci,1,0.0,39
Kacurri,1,0.0,657
Hause,1,0.0,40
Iling Jr,1,0.0,41
Wright,1,0.0,671
Kesler-Hayden,1,0.0,43
Kuol,1,0.0,406
Hennessey,1,0.0,721
Cahill,1,0.0,668
Fletcher,1,0.0,667
Kporha,1,0.0,666
Silcott-Duberry,1,0.0,728
Barco,1,0.0,116
Baker-Boaitey,1,0.0,114
Ajayi,1,0.0,729
Zanka,1,0.0,112
Valdimarsson,1,0.0,109
Davies,1,0.0,669
Mazilu,1,0.0,133
McKenna,1,0.0,727
Kozlowski,1,0.0,130
Ahamada,1,0.0,190
Wilson-Brown,1,0.0,708
Sánchez,1,0.0,185
B.Badiashile,1,0.0,153
Danns,1,0.0,709
Jaros,1,0.0,660
Andrey Santos,1,0.0,150
Jimoh,1,0.0,710
Verbruggen,1,0.0,146
Undav,1,0.0,143
Okoduwa,1,0.0,711
Steele,1,0.0,142
Sarmiento,1,0.0,141
Akinmboni,1,0.0,712
Soler,1,0.0,713
Ângelo,1,0.0,151
Dixon,1,0.0,627
Adu-Adjei,1,0.0,722
Kaboré,1,0.0,626
Begovic,1,0.0,624
Nelson,1,0.0,10
Rushworth,1,0.0,615
Metcalfe,1,0.0,614
Paulsen,1,0.0,75
Neto,1,0.0,73
Sherif,1,0.0,724
H.Traorè,1,0.0,67
Faivre,1,0.0,66
Swinkels,1,0.0,640
Setford,1,0.0,639
Oulad M'hand,1,0.0,638
Peupion,1,0.0,140
Offiah,1,0.0,139
O’Mahony,1,0.0,138
Sadi,1,0.0,723
Mepham,1,0.0,72
Fitzgerald,1,0.0,673
Amissah,1,0.0,690
Williams-Barnett,1,0.0,689
Nyoni,1,0.0,688
Jake Evans,1,0.0,797
Mayers,1,0.0,686
Slater,1,0.0,685
