web_name,gw,npg,player_id
Cairney,1,0.0,243
Broadhead,1,0.0,262
Okoli,1,0.0,301
Nelson,1,0.0,10
Taylor,1,0.0,281
Greaves,1,0.0,270
Davis,1,0.0,267
Johnson,1,0.0,275
Morsy,1,0.0,278
Chaplin,1,0.0,265
Kiwior,1,0.0,8
J.Timber,1,0.0,6
Ødegaard,1,0.0,13
Nketiah,1,0.0,11
Bailey,1,0.0,28
Cash,1,0.0,32
Tel,1,,768
Obi,1,,776
Harrison,1,,224
Cashin,1,,763
Marschall,1,0.0,46
Martinez,1,0.0,47
Dendoncker,1,0.0,33
Diaby,1,0.0,34
Diego Carlos,1,0.0,35
Digne,1,0.0,36
Dobbin,1,0.0,37
Gauci,1,0.0,39
Nedeljkovic,1,0.0,50
Olsen,1,0.0,51
Pau,1,0.0,52
Sinisalo,1,0.0,55
Sousa,1,0.0,56
Iling Jr,1,0.0,41
Kamara,1,0.0,42
Kesler-Hayden,1,0.0,43
Danns,1,,709
Jimoh,1,,710
Okoduwa,1,,711
Akinmboni,1,,712
Aarons,1,0.0,59
Adams,1,0.0,60
Anthony,1,0.0,61
Mings,1,0.0,49
Yang,1,,717
Welington,1,,718
Kayi Sanda,1,,719
Agbadou,1,,720
Arthur,1,,705
Abbott,1,,706
Rees-Dottin,1,,707
Wilson-Brown,1,,708
Baggott,1,0.0,261
Burgess,1,0.0,263
Burns,1,0.0,264
Bradley,1,0.0,313
Clark,1,0.0,315
Doak,1,0.0,318
Elliott,1,0.0,319
Endo,1,0.0,320
Ndaba,1,0.0,279
Slicker,1,0.0,280
H.Clarke,1,0.0,266
Edmundson,1,0.0,269
Harness,1,0.0,271
Tete,1,0.0,257
Vinicius,1,0.0,258
Al-Hamadi,1,0.0,260
Woolfenden,1,0.0,284
B.Soumaré,1,0.0,285
Cannon,1,0.0,286
Choudhury,1,0.0,287
Coady,1,0.0,288
Humphreys,1,0.0,273
Ladapo,1,0.0,276
Luongo,1,0.0,277
White,1,0.0,24
Ramsdale,1,0.0,14
Raya,1,0.0,15
Fábio Vieira,1,0.0,1
Hein,1,0.0,5
Jorginho,1,0.0,7
Tuanzebe,1,0.0,282
Walton,1,0.0,283
Diop,1,0.0,245
Harris,1,0.0,702
Leno,1,0.0,248
Patterson,1,0.0,234
Pickford,1,0.0,235
Y. Chermiti,1,0.0,237
Holgate,1,0.0,225
Iroegbunam,1,0.0,226
Lukić,1,0.0,249
Mbabu,1,0.0,250
Ream,1,0.0,253
Reed,1,0.0,254
Robinson,1,0.0,255
Stansfield,1,0.0,256
Benda,1,0.0,242
Castagne,1,0.0,244
Ndidi,1,0.0,300
Ricardo,1,0.0,302
Souttar,1,0.0,303
Stolarczyk,1,0.0,304
Golding,1,0.0,292
Hermansen,1,0.0,293
Iversen,1,0.0,294
Kristiansen,1,0.0,296
Thomas,1,0.0,20
Vestergaard,1,0.0,307
Ward,1,0.0,215
Winks,1,0.0,309
A.Becker,1,0.0,310
Bajcetic,1,0.0,312
Marcal,1,0.0,297
McAteer,1,0.0,299
Matthews,1,0.0,209
Mitchell,1,0.0,210
Ozoh,1,0.0,212
Rak-Sakyi,1,0.0,695
Schlupp,1,0.0,214
Ward,1,0.0,215
Wharton,1,0.0,216
Henderson,1,0.0,201
Robertson,1,0.0,335
Gomez,1,0.0,714
Gravenberch,1,0.0,323
Kelleher,1,0.0,325
Branthwaite,1,0.0,219
Coleman,1,0.0,221
Gana,1,0.0,222
Garner,1,0.0,223
Aké,1,0.0,341
Bobb,1,0.0,343
Carson,1,0.0,344
McConnell,1,0.0,330
Morton,1,0.0,331
N.Phillips,1,0.0,332
Quansah,1,0.0,333
R.Williams,1,0.0,334
J.Virginia,1,0.0,227
Maupay,1,0.0,229
Mykolenko,1,0.0,231
Ederson M.,1,0.0,347
J.Alvarez,1,0.0,352
Tsimikas,1,0.0,337
Van den Berg,1,0.0,338
Akanji,1,0.0,340
Antony,1,0.0,365
Bayindir,1,0.0,367
João Cancelo,1,0.0,353
Ortega Moreno,1,0.0,358
Phillips,1,0.0,359
Rodrigo,1,0.0,360
Livramento,1,0.0,409
Longstaff,1,0.0,410
Dalot,1,0.0,369
Eriksen,1,0.0,370
Evans,1,0.0,371
Hannibal,1,0.0,373
Heaton,1,0.0,374
Lindelof,1,0.0,376
Rúben,1,0.0,361
Walker,1,0.0,363
Ebiowei,1,0.0,197
Edouard,1,0.0,198
Mainoo,1,0.0,378
Malacia,1,0.0,379
McTominay,1,0.0,381
Mount,1,0.0,382
Onana,1,0.0,233
Pellistri,1,0.0,384
Holding,1,0.0,202
Hughes,1,0.0,203
Johnstone,1,0.0,204
Kamada,1,0.0,205
