web_name,gw,SoT
George,1,
Sangaré,1,0
Mings,1,0
Manning,1,0
Dragusin,1,0
Bogarde,1,0
Butler-Oyedeji,1,
Jensen,1,0
Gray,1,0
Livramento,1,0
Diego Carlos,1,0
Agbadou,1,
Smallbone,1,0
Lewis-Skelly,1,0
Philip,1,0
G.Rodríguez,1,0
Esse,1,
Yoro,1,0
Jebbison,1,0
Coleman,1,0
Pedro Lima,1,0
Brereton Díaz,1,0
Álvarez,1,0
H.Clarke,1,0
Obi,1,
Ugochukwu,1,0
Mheuka,1,
Dawson,1,0
L.Guilherme,1,0
Kiwior,1,0
Burgess,1,0
Burns,1,0
Coady,1,0
Renato Veiga,1,0
Hall,1,0
Fraser,1,0
Osula,1,0
Morato,1,
Coulibaly,1,
Coufal,1,0
Mudryk,1,0
Alves,1,0
Dixon,1,
Ream,1,0
Ogbene,1,
Kaboré,1,
Stansfield,1,0
Benda,1,0
J.Araujo,1,0
Harris,1,0
Godo,1,0
Leno,1,0
King,1,0
Berge,1,
Todibo,1,0
Lankshear,1,0
Swinkels,1,
Jørgensen,1,0
Moore,1,0
Meupiyou,1,
Collyer,1,0
Metcalfe,1,0
Rushworth,1,0
G.Nunes,1,
Setford,1,
Nelson,1,0
Mbabu,1,0
Townsend,1,0
Oulad M'hand,1,
Begovic,1,
Dewsbury-Hall,1,0
Deivid,1,0
D.D.Fofana,1,0
Chukwuemeka,1,0
B.Traore,1,0
Zouma,1,0
N.Aguerd,1,0
Humphreys,1,0
Choudhury,1,0
Cannon,1,0
B.Soumaré,1,0
Cresswell,1,0
Sterling,1,0
Areola,1,0
Foderingham,1,0
Fabianski,1,0
Bentley,1,0
Clyne,1,0
Chadi Riad,1,0
Podence,1,0
Wiley,1,0
Pivas,1,0
Earthy,1,0
Paulsen,1,0
Brierley,1,0
Cornet,1,0
Ebiowei,1,0
Mykolenko,1,0
Maupay,1,0
J.Virginia,1,0
Iroegbunam,1,0
Holgate,1,0
Pickford,1,0
Patterson,1,0
Fábio Silva,1,0
Mosquera,1,0
King,1,0
Kalajdžić,1,0
Tuanzebe,1,0
Muric,1,0
Sánchez,1,0
Armstrong,1,0
Trevitt,1,0
Moran,1,0
Hoever,1,0
Hodge,1,0
H.Bueno,1,0
Gonzalez,1,0
Fraser,1,0
Woolfenden,1,0
Walton,1,0
José Sá,1,0
Frank,1,
Jorginho,1,0
Hein,1,0
Fábio Vieira,1,0
Raya,1,0
Ramsdale,1,0
Johnstone,1,0
Holding,1,0
Henderson,1,0
Ward,1,0
Rak-Sakyi,1,0
Ozoh,1,0
Matthews,1,0
Neto,1,0
Sousa,1,0
Sinisalo,1,0
Olsen,1,0
Nedeljkovic,1,0
C.Doucouré,1,0
Dobbin,1,0
Diaby,1,0
Dendoncker,1,0
Martinez,1,0
Marschall,1,0
Kesler-Hayden,1,0
