player_id,team_id,opponent_team_id,was_home,player_name,player_number,nation,pos,age,minutes,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribblers_tackled,dribblers_challenged,percentage_of_dribblers_tackled,challenges_lost,blocks,shots_blocked,passes_blocked,interceptions,players_tackled_plus_interceptions,clearances,errors,gw
366.0,14,9,True,Bruno Fernandes,8,pt POR,"FW,AM",29-343,90,2,1,0,2,0,1,3,33.3,2,0,0,0,0,2,0,0,1
385.0,14,9,True,Marcus Rashford,10,eng ENG,LW,26-290,90,0,0,0,0,0,0,0,,0,1,0,1,1,1,1,0,1
364.0,14,9,True,Amad Diallo,16,ci CIV,RW,22-036,60,1,1,0,1,0,1,1,100.0,0,0,0,0,2,3,0,0,1
372.0,14,9,True,Alejandro Garnacho,17,ar ARG,RW,20-046,30,1,1,0,1,0,0,1,0.0,1,0,0,0,0,1,1,0,1
382.0,14,9,True,Mason Mount,7,eng ENG,AM,25-219,60,3,1,0,3,0,2,2,100.0,0,0,0,0,0,3,0,0,1
389.0,14,9,True,Joshua Zirkzee,11,nl NED,FW,23-086,30,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,1
378.0,14,9,True,Kobbie Mainoo,37,eng ENG,DM,19-119,83,3,3,1,1,1,3,4,75.0,1,0,0,0,5,8,0,0,1
381.0,14,9,True,Scott McTominay,39,sct SCO,DM,27-252,7,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1
368.0,14,9,True,Casemiro,18,br BRA,DM,32-175,90,4,2,4,0,0,2,4,50.0,2,5,1,4,1,5,5,0,1
369.0,14,9,True,Diogo Dalot,20,pt POR,"LB,RB",25-151,90,2,1,1,1,0,1,1,100.0,0,1,1,0,1,3,3,0,1
380.0,14,9,True,Lisandro Martínez,6,ar ARG,"CB,LB",26-211,90,3,2,2,0,1,1,3,33.3,2,0,0,0,3,6,2,0,1
377.0,14,9,True,Harry Maguire,5,eng ENG,CB,31-164,80,0,0,0,0,0,0,0,,0,1,1,0,3,3,6,0,1
371.0,14,9,True,Jonny Evans,35,nir NIR,CB,36-226,10,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0,1
594.0,14,9,True,Noussair Mazraoui,3,ma MAR,RB,26-276,80,2,2,1,0,1,1,1,100.0,0,1,0,1,3,5,2,0,1
593.0,14,9,True,Matthijs de Ligt,4,nl NED,CB,25-004,10,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1
383.0,14,9,True,André Onana,24,cm CMR,GK,28-136,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,1
251.0,9,14,False,Rodrigo Muniz,9,br BRA,FW,23-104,77,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,1
252.0,9,14,False,Raúl Jiménez,7,mx MEX,FW,33-103,13,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1
247.0,9,14,False,Alex Iwobi,17,ng NGA,LW,28-105,90,4,3,1,2,1,1,1,100.0,0,0,0,0,0,4,1,0,1
239.0,9,14,False,Adama Traoré,11,es ESP,RW,28-204,77,1,0,1,0,0,0,1,0.0,1,1,0,1,0,1,0,0,1
259.0,9,14,False,Harry Wilson,8,wls WAL,RW,27-147,13,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1
19.0,9,14,False,Emile Smith Rowe,32,eng ENG,AM,24-019,63,1,1,1,0,0,1,1,100.0,0,1,0,1,2,3,0,0,1
243.0,9,14,False,Tom Cairney,10,sct SCO,"DM,AM",33-209,27,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1
249.0,9,14,False,Saša Lukić,20,rs SRB,DM,28-003,89,3,2,2,1,0,0,2,0.0,2,1,0,1,1,4,1,0,1
256.0,9,14,False,Jay Stansfield,28,eng ENG,"AM,DM",21-266,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,1
240.0,9,14,False,Andreas Pereira,18,br BRA,"DM,AM",28-228,89,0,0,0,0,0,0,2,0.0,2,1,0,1,0,0,0,0,1
254.0,9,14,False,Harrison Reed,6,eng ENG,DM,29-202,1,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0,1
255.0,9,14,False,Antonee Robinson,33,us USA,LB,27-008,90,8,6,4,4,0,4,5,80.0,1,0,0,0,2,10,6,0,1
241.0,9,14,False,Calvin Bassey,3,ng NGA,CB,24-229,90,1,1,0,1,0,1,1,100.0,0,2,1,1,0,1,3,1,1
245.0,9,14,False,Issa Diop,31,fr FRA,CB,27-220,90,4,3,2,2,0,3,3,100.0,0,1,1,0,0,4,5,0,1
257.0,9,14,False,Kenny Tete,2,nl NED,RB,28-312,90,1,0,1,0,0,1,3,33.3,2,2,0,2,3,4,1,0,1
248.0,9,14,False,Bernd Leno,1,de GER,GK,32-165,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,1
268.0,10,12,True,Liam Delap,19,eng ENG,FW,21-191,73,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,1
260.0,10,12,True,Ali Al Hamadi,16,iq IRQ,FW,22-169,17,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,1
274.0,10,12,True,Omari Hutchinson,20,eng ENG,"LW,RW",20-292,90,0,0,0,0,0,0,1,0.0,1,1,1,0,0,0,0,0,1
264.0,10,12,True,Wes Burns,7,wls WAL,RW,29-268,56,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,1
275.0,10,12,True,Ben Johnson,18,eng ENG,"RB,RW",24-206,34,4,2,4,0,0,2,3,66.7,1,0,0,0,1,5,1,0,1
265.0,10,12,True,Conor Chaplin,10,eng ENG,AM,27-183,64,2,2,2,0,0,1,1,100.0,0,2,0,2,0,2,0,0,1
271.0,10,12,True,Marcus Harness,11,eng ENG,AM,28-175,26,0,0,0,0,0,0,3,0.0,3,1,1,0,0,0,0,0,1
