player_id,team_id,opponent_team_id,was_home,player_name,player_number,nation,pos,age,minutes,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribblers_tackled,dribblers_challenged,percentage_of_dribblers_tackled,challenges_lost,blocks,shots_blocked,passes_blocked,interceptions,players_tackled_plus_interceptions,clearances,errors,gw
27.0,17,14,True,Cameron Archer,19,eng ENG,FW,23-055,61,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,4
473.0,17,14,True,Ross Stewart,11,sct SCO,FW,28-065,29,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0,4
584.0,17,14,True,Ben Brereton,17,cl CHI,LW,25-149,63,1,1,0,1,0,0,4,0.0,4,2,1,1,0,1,0,0,4
397.0,17,14,True,Ryan Fraser,24,sct SCO,LW,30-203,27,1,1,0,1,0,1,2,50.0,1,0,0,0,0,1,0,0,4
608.0,17,14,True,Tyler Dibling,33,eng ENG,RW,18-186,62,0,0,0,0,0,0,1,0.0,1,3,0,3,0,0,0,0,4
463.0,17,14,True,Adam Lallana,10,eng ENG,DM,36-127,28,2,2,1,1,0,1,2,50.0,1,0,0,0,0,2,1,0,4
623.0,17,14,True,Mateus Fernandes,18,pt POR,AM,20-066,80,2,0,1,1,0,0,0,,0,0,0,0,2,4,0,0,4
461.0,17,14,True,Taylor Harwood-Bellis,6,eng ENG,CB,22-228,10,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0,4
188.0,17,14,True,Lesley Ugochukwu,26,fr FRA,DM,20-172,63,2,1,0,2,0,0,3,0.0,3,2,1,1,0,2,0,0,4
515.0,17,14,True,Maxwel Cornet,22,ci CIV,RW,27-353,27,2,2,0,2,0,0,1,0.0,1,0,0,0,0,2,1,0,4
518.0,17,14,True,Flynn Downes,4,eng ENG,DM,25-238,90,2,1,0,1,1,1,2,50.0,1,1,0,1,3,5,2,0,4
476.0,17,14,True,Kyle Walker-Peters,2,eng ENG,LB,27-154,90,3,1,1,1,1,1,2,50.0,1,0,0,0,3,6,1,0,4
455.0,17,14,True,Jan Bednarek,35,pl POL,CB,28-155,90,0,0,0,0,0,0,0,,0,4,3,1,2,2,6,0,4
472.0,17,14,True,Jack Stephens,5,eng ENG,CB,30-231,78,4,3,3,1,0,2,2,100.0,0,1,1,0,0,4,1,0,4
474.0,17,14,True,Yukinari Sugawara,16,jp JPN,RB,24-078,90,2,2,1,1,0,1,1,100.0,0,0,0,0,1,3,3,0,4
14.0,17,14,True,Aaron Ramsdale,30,eng ENG,GK,26-123,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,4
389.0,14,17,False,Joshua Zirkzee,11,nl NED,FW,23-115,90,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,4
385.0,14,17,False,Marcus Rashford,10,eng ENG,LW,26-319,72,1,0,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0,4
372.0,14,17,False,Alejandro Garnacho,17,ar ARG,LW,20-075,18,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,4
364.0,14,17,False,Amad Diallo,16,ci CIV,RW,22-065,90,4,3,0,2,2,3,3,100.0,0,0,0,0,0,4,0,0,4
366.0,14,17,False,Bruno Fernandes,8,pt POR,AM,30-006,90,4,3,1,2,1,1,3,33.3,2,2,0,2,0,4,0,0,4
378.0,14,17,False,Kobbie Mainoo,37,eng ENG,DM,19-148,90,4,1,3,1,0,2,2,100.0,0,0,0,0,2,6,0,0,4
370.0,14,17,False,Christian Eriksen,14,dk DEN,DM,32-213,72,1,0,0,1,0,1,1,100.0,0,2,1,1,0,1,0,0,4
652.0,14,17,False,Manuel Ugarte Ribeiro,25,uy URU,DM,23-156,18,2,2,0,1,1,0,0,,0,0,0,0,0,2,0,0,4
369.0,14,17,False,Diogo Dalot,20,pt POR,"LB,RB",25-180,90,1,1,0,1,0,1,2,50.0,1,0,0,0,2,3,2,0,4
380.0,14,17,False,Lisandro Martínez,6,ar ARG,"CB,LB",26-240,76,2,2,2,0,0,2,2,100.0,0,1,0,1,5,7,1,0,4
371.0,14,17,False,Jonny Evans,35,nir NIR,LB,36-255,14,1,0,0,1,0,1,1,100.0,0,0,0,0,1,2,0,0,4
593.0,14,17,False,Matthijs de Ligt,4,nl NED,CB,25-033,86,2,1,2,0,0,1,2,50.0,1,1,1,0,1,3,6,0,4
368.0,14,17,False,Casemiro,18,br BRA,CB,32-204,4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,4
594.0,14,17,False,Noussair Mazraoui,3,ma MAR,RB,26-305,73,0,0,0,0,0,0,0,,0,1,0,1,0,0,2,0,4
377.0,14,17,False,Harry Maguire,5,eng ENG,CB,31-193,17,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,4
383.0,14,17,False,André Onana,24,cm CMR,GK,28-165,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,4
351.0,13,4,True,Erling Haaland,9,no NOR,FW,24-055,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,4
349.0,13,4,True,Jack Grealish,10,eng ENG,LW,29-004,83,1,0,0,0,1,0,0,,0,2,0,2,0,1,2,0,4
342.0,13,4,True,Bernardo Silva,20,pt POR,LW,30-035,7,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,4
571.0,13,4,True,Sávio,26,br BRA,RW,20-157,89,1,1,0,0,1,1,1,100.0,0,1,0,1,0,1,1,1,4
356.0,13,4,True,Matheus Nunes,27,pt POR,RW,26-018,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,4
345.0,13,4,True,Kevin De Bruyne,17,be BEL,AM,33-078,90,1,0,1,0,0,0,0,,0,0,0,0,1,2,0,0,4
625.0,13,4,True,İlkay Gündoğan,19,de GER,DM,33-326,90,3,1,1,1,1,2,4,50.0,2,0,0,0,0,3,2,0,4
354.0,13,4,True,Mateo Kovačić,8,hr CRO,DM,30-131,45,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,4
360.0,13,4,True,Rodri,16,es ESP,DM,28-084,45,1,1,0,1,0,0,0,,0,1,0,1,0,1,0,0,4
355.0,13,4,True,Rico Lewis,82,eng ENG,LB,19-298,45,3,1,2,1,0,1,1,100.0,0,3,1,2,0,3,1,0,4
350.0,13,4,True,Joško Gvardiol,24,hr CRO,LB,22-235,45,0,0,0,0,0,0,0,,0,0,0,0,2,2,0,0,4
340.0,13,4,True,Manuel Akanji,25,ch SUI,CB,29-057,90,0,0,0,0,0,0,0,,0,1,0,1,1,1,3,0,4
362.0,13,4,True,John Stones,5,eng ENG,CB,30-109,83,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,1,4
361.0,13,4,True,Rúben Dias,3,pt POR,CB,27-123,7,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,4
363.0,13,4,True,Kyle Walker,2,eng ENG,RB,34-109,90,2,1,1,0,1,2,3,66.7,1,0,0,0,0,2,0,0,4
347.0,13,4,True,Ederson,31,br BRA,GK,31-028,90,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,1,4
99.0,4,13,False,Bryan Mbeumo,19,cm CMR,FW,25-038,90,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0,4
110.0,4,13,False,Yoane Wissa,11,cd COD,FW,28-011,44,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,4
106.0,4,13,False,Kevin Schade,7,de GER,FW,22-292,46,2,2,0,1,1,1,1,100.0,0,0,0,0,0,2,1,0,4
94.0,4,13,False,Vitaly Janelt,27,de GER,CM,26-127,71,0,0,0,0,0,0,0,,0,1,0,1,1,1,2,0,4
314.0,4,13,False,Fabio Carvalho,14,pt POR,CM,22-015,19,1,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,4
101.0,4,13,False,Christian Nørgaard,6,dk DEN,CM,30-188,90,4,3,3,1,0,3,3,100.0,0,2,0,2,3,7,3,0,4
89.0,4,13,False,Mikkel Damsgaard,24,dk DEN,CM,24-073,83,0,0,0,0,0,0,1,0.0,1,3,1,2,1,1,3,0,4
111.0,4,13,False,Yehor Yarmoliuk,18,ua UKR,CM,20-197,7,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,4
98.0,4,13,False,Keane Lewis-Potter,23,eng ENG,LB,23-205,90,0,0,0,0,0,0,1,0.0,1,1,0,1,1,1,1,0,4
88.0,4,13,False,Nathan Collins,22,ie IRL,CB,23-137,90,1,1,1,0,0,1,1,100.0,0,3,3,0,1,2,1,0,4
104.0,4,13,False,Ethan Pinnock,5,jm JAM,CB,31-108,90,6,4,3,2,1,2,2,100.0,0,0,0,0,1,7,5,1,4
338.0,4,13,False,Sepp van den Berg,4,nl NED,CB,22-269,90,3,3,3,0,0,1,1,100.0,0,2,0,2,0,3,4,0,4
86.0,4,13,False,Kristoffer Ajer,20,no NOR,RB,26-150,71,1,1,1,0,0,0,0,,0,1,0,1,0,1,4,0,4
105.0,4,13,False,Mads Roerslev,30,dk DEN,RB,25-082,19,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,4
91.0,4,13,False,Mark Flekken,1,nl NED,GK,31-093,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,4
317.0,12,16,True,Diogo Jota,20,pt POR,FW,27-285,59,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,4
316.0,12,16,True,Darwin Núñez,9,uy URU,FW,25-082,31,1,1,0,0,1,0,0,,0,0,0,0,0,1,0,0,4
327.0,12,16,True,Luis Díaz,7,co COL,LW,27-245,59,2,2,0,2,0,0,2,0.0,2,0,0,0,1,3,0,0,4
321.0,12,16,True,Cody Gakpo,18,nl NED,LW,25-130,31,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,4
328.0,12,16,True,Mohamed Salah,11,eg EGY,RW,32-091,90,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,4
336.0,12,16,True,Dominik Szoboszlai,8,hu HUN,AM,23-325,90,1,0,0,1,0,0,0,,0,1,0,1,0,1,0,0,4
