player_id,team_id,opponent_team_id,was_home,player_name,player_number,nation,pos,age,minutes,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribblers_tackled,dribblers_challenged,percentage_of_dribblers_tackled,challenges_lost,blocks,shots_blocked,passes_blocked,interceptions,players_tackled_plus_interceptions,clearances,errors,gw
148.0,5,6,True,Danny Welbeck,18,eng ENG,FW,34-080,83,1,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,25
629.0,5,6,True,Matt O'Riley,33,dk DEN,AM,24-085,7,1,0,0,0,1,0,0,,0,0,0,0,0,1,0,0,25
136.0,5,6,True,Kaoru Mitoma,22,jp JPN,"LM,LW",27-270,90,1,0,1,0,0,1,2,50.0,1,3,0,3,1,2,1,0,25
126.0,5,6,True,Jack Hinshelwood,41,eng ENG,"CM,DM",19-309,73,1,1,0,1,0,0,0,,0,0,0,0,1,2,3,0,25
714.0,5,6,True,Diego Gómez,25,py PAR,DM,21-324,17,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,25
115.0,5,6,True,Carlos Baleba,20,cm CMR,"CM,DM",21-042,83,5,3,1,4,0,3,3,100.0,0,0,0,0,3,8,5,0,25
600.0,5,6,True,Yasin Ayari,26,se SWE,DM,21-131,7,0,0,0,0,0,0,0,,0,0,0,0,2,2,0,0,25
618.0,5,6,True,Georginio Rutter,14,fr FRA,"RM,AM",22-300,72,1,0,0,1,0,0,1,0.0,1,1,0,1,1,2,0,0,25
129.0,5,6,True,João Pedro,9,br BRA,"FW,AM",23-141,18,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,25
131.0,5,6,True,Tariq Lamptey,2,gh GHA,LB,24-137,90,2,1,2,0,0,2,3,66.7,1,0,0,0,0,2,5,0,25
147.0,5,6,True,Adam Webster,4,eng ENG,CB,30-041,90,2,1,0,2,0,2,3,66.7,1,2,2,0,2,4,7,0,25
144.0,5,6,True,Jan Paul van Hecke,29,nl NED,CB,24-251,90,1,1,0,1,0,0,0,,0,0,0,0,1,2,2,0,25
145.0,5,6,True,Joël Veltman,34,nl NED,"CB,RB",33-030,90,0,0,0,0,0,0,0,,0,1,0,1,1,1,7,0,25
135.0,5,6,True,Yankuba Minteh,17,gm GAM,"RB,RW",20-207,88,5,4,4,1,0,3,7,42.9,4,0,0,0,1,6,1,0,25
113.0,5,6,True,Simon Adingra,11,ci CIV,RW,23-044,2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,25
146.0,5,6,True,Bart Verbruggen,1,nl NED,GK,22-180,90,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,25
181.0,6,5,False,Christopher Nkunku,18,fr FRA,FW,27-092,90,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,25
560.0,6,5,False,Pedro Neto,7,pt POR,"RW,LW",24-342,64,1,0,0,1,0,0,0,,0,1,1,0,0,1,0,0,25
696.0,6,5,False,Tyrique George,32,eng ENG,RW,19-010,26,2,0,2,0,0,2,3,66.7,1,0,0,0,0,2,0,0,25
177.0,6,5,False,Noni Madueke,11,eng ENG,RW,22-341,20,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,1,0,25
386.0,6,5,False,Jadon Sancho,19,eng ENG,LW,24-326,70,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,1,25
182.0,6,5,False,Cole Palmer,20,eng ENG,AM,22-284,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,25
168.0,6,5,False,Enzo Fernández,8,ar ARG,DM,24-028,90,3,1,0,2,1,1,2,50.0,1,0,0,0,1,4,1,0,25
157.0,6,5,False,Moisés Caicedo,25,ec ECU,DM,23-104,64,2,1,1,1,0,0,1,0.0,1,2,0,2,1,3,0,0,25
166.0,6,5,False,Kiernan Dewsbury-Hall,22,eng ENG,DM,26-161,26,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,25
163.0,6,5,False,Marc Cucurella,3,es ESP,LB,26-207,90,3,1,2,1,0,1,3,33.3,2,0,0,0,1,4,2,0,25
162.0,6,5,False,Levi Colwill,6,eng ENG,CB,21-354,90,3,1,0,3,0,0,0,,0,1,1,0,0,3,2,0,25
159.0,6,5,False,Trevoh Chalobah,23,eng ENG,CB,25-224,90,2,0,0,2,0,1,1,100.0,0,0,0,0,2,4,2,1,25
171.0,6,5,False,Malo Gusto,27,fr FRA,RB,21-271,64,1,0,1,0,0,1,2,50.0,1,2,0,2,1,2,0,0,25
172.0,6,5,False,Reece James,24,eng ENG,RB,25-068,26,0,0,0,0,0,0,0,,0,1,0,1,1,1,1,0,25
581.0,6,5,False,Filip Jørgensen,12,dk DEN,GK,22-304,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,25
306.0,11,1,True,Jamie Vardy,9,eng ENG,FW,38-035,90,2,2,1,0,1,0,1,0.0,1,0,0,0,0,2,1,0,25
192.0,11,1,True,Jordan Ayew,18,gh GHA,LW,33-157,74,2,1,0,1,1,1,3,33.3,2,1,0,1,0,2,4,0,25
298.0,11,1,True,Stephy Mavididi,10,eng ENG,"LW,LM",26-260,16,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,25
290.0,11,1,True,Bobby De Cordova-Reid,14,jm JAM,RW,32-013,84,1,0,1,0,0,0,3,0.0,3,0,0,0,0,1,1,0,25
117.0,11,1,True,Facundo Buonanotte,40,ar ARG,RM,20-054,6,1,1,0,0,1,0,0,,0,0,0,0,0,1,0,0,25
635.0,11,1,True,Bilal El Khannouss,11,ma MAR,"AM,CM",20-281,90,3,2,1,1,1,1,1,100.0,0,1,0,1,0,3,0,1,25
285.0,11,1,True,Boubakary Soumaré,24,fr FRA,"DM,CM",25-354,90,1,1,1,0,0,1,1,100.0,0,0,0,0,1,2,1,1,25
300.0,11,1,True,Wilfred Ndidi,6,ng NGA,DM,28-061,84,1,1,0,1,0,0,3,0.0,3,1,1,0,2,3,3,0,25
289.0,11,1,True,Patson Daka,20,zm ZAM,FW,26-129,6,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,25
296.0,11,1,True,Victor Bernth Kristiansen,16,dk DEN,LB,22-061,90,5,2,1,4,0,2,6,33.3,4,0,0,0,0,5,1,0,25
301.0,11,1,True,Caleb Okoli,5,it ITA,CB,23-217,90,2,0,1,1,0,0,1,0.0,1,0,0,0,0,2,5,0,25
291.0,11,1,True,Wout Faes,3,be BEL,CB,26-318,90,0,0,0,0,0,0,0,,0,3,2,1,0,0,5,0,25
295.0,11,1,True,James Justin,2,eng ENG,RB,26-358,42,2,1,2,0,0,1,1,100.0,0,1,0,1,0,2,3,0,25
726.0,11,1,True,Woyo Coulibaly,25,ml MLI,RB,25-271,48,3,2,3,0,0,2,2,100.0,0,0,0,0,3,6,1,0,25
293.0,11,1,True,Mads Hermansen,30,dk DEN,GK,24-219,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,25
23.0,1,11,False,Leandro Trossard,19,be BEL,"FW,LW",30-073,88,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,25
21.0,1,11,False,Kieran Tierney,3,sct SCO,LW,27-255,2,1,1,0,0,1,0,1,0.0,1,0,0,0,0,1,0,0,25
186.0,1,11,False,Raheem Sterling,30,eng ENG,LW,30-069,68,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,25
633.0,1,11,False,Mikel Merino,23,es ESP,FW,28-238,22,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0,25
