player_id,team_id,opponent_team_id,was_home,player_name,player_number,nation,pos,age,minutes,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribblers_tackled,dribblers_challenged,percentage_of_dribblers_tackled,challenges_lost,blocks,shots_blocked,passes_blocked,interceptions,players_tackled_plus_interceptions,clearances,errors,gw
4.0,1,5,True,Kai Havertz,29,de GER,FW,25-081,90,0,0,0,0,0,0,0,,0,1,1,0,0,0,2,1,3
23.0,1,5,True,Leandro Trossard,19,be BEL,"LW,LM",29-271,58,1,1,0,1,0,0,1,0.0,1,2,0,2,1,2,0,0,3
578.0,1,5,True,Riccardo Calafiori,33,it ITA,"LB,CB",22-104,32,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,3
17.0,1,5,True,Bukayo Saka,7,eng ENG,"RW,CM,RM",22-361,90,2,1,2,0,0,2,4,50.0,2,3,0,3,0,2,1,0,3
16.0,1,5,True,Declan Rice,41,eng ENG,LM,25-230,48,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,3
20.0,1,5,True,Thomas Partey,5,gh GHA,CM,31-079,90,1,1,0,0,1,1,3,33.3,2,3,2,1,5,6,0,0,3
13.0,1,5,True,Martin Ødegaard,8,no NOR,"RM,CM",25-258,73,2,1,1,1,0,0,1,0.0,1,0,0,0,0,2,0,0,3
9.0,1,5,True,Gabriel Martinelli,11,br BRA,CM,23-074,17,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,3
6.0,1,5,True,Jurriën Timber,12,nl NED,"LB,CB,RB",23-075,79,2,2,1,1,0,1,1,100.0,0,1,1,0,1,3,3,0,3
25.0,1,5,True,Oleksandr Zinchenko,17,ua UKR,LB,27-260,11,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,3
3.0,1,5,True,Gabriel Magalhães,6,br BRA,CB,26-256,90,1,1,0,1,0,1,2,50.0,1,2,2,0,1,2,4,0,3
18.0,1,5,True,William Saliba,2,fr FRA,CB,23-160,90,5,2,3,2,0,4,4,100.0,0,1,1,0,2,7,2,0,3
24.0,1,5,True,Ben White,4,eng ENG,"RB,CB",26-328,90,3,2,1,1,1,3,6,50.0,3,2,1,1,2,5,6,0,3
15.0,1,5,True,David Raya,22,es ESP,GK,28-351,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,3
148.0,5,1,False,Danny Welbeck,18,eng ENG,FW,33-279,84,2,1,1,0,1,0,0,,0,1,0,1,0,2,0,0,3
121.0,5,1,False,Julio Enciso,10,py PAR,AM,20-221,6,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,3
136.0,5,1,False,Kaoru Mitoma,22,jp JPN,LW,27-103,84,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,3
113.0,5,1,False,Simon Adingra,24,ci CIV,LW,22-243,6,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,3
135.0,5,1,False,Yankuba Minteh,17,gm GAM,RW,20-040,71,1,1,0,1,0,0,2,0.0,2,0,0,0,0,1,0,0,3
618.0,5,1,False,Georginio Rutter,14,fr FRA,RW,22-133,19,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,3
129.0,5,1,False,João Pedro,9,br BRA,"AM,FW",22-340,90,1,0,0,1,0,0,1,0.0,1,2,0,2,0,1,2,0,3
115.0,5,1,False,Carlos Baleba,20,cm CMR,DM,20-241,90,3,2,0,3,0,1,3,33.3,2,0,0,0,2,5,0,0,3
134.0,5,1,False,James Milner,6,eng ENG,DM,38-240,16,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,3
600.0,5,1,False,Yasin Ayari,26,se SWE,DM,20-330,74,3,1,0,3,0,0,0,,0,0,0,0,0,3,0,0,3
126.0,5,1,False,Jack Hinshelwood,41,eng ENG,"LB,RB",19-142,90,2,0,1,1,0,2,4,50.0,2,0,0,0,1,3,2,0,3
120.0,5,1,False,Lewis Dunk,5,eng ENG,CB,32-284,90,1,0,1,0,0,1,1,100.0,0,2,1,1,1,2,2,0,3
144.0,5,1,False,Jan Paul van Hecke,29,nl NED,CB,24-084,90,2,1,2,0,0,1,1,100.0,0,1,1,0,0,2,5,0,3
145.0,5,1,False,Joël Veltman,34,nl NED,RB,32-229,71,3,1,2,1,0,2,3,66.7,1,0,0,0,0,3,1,0,3
122.0,5,1,False,Pervis Estupiñán,30,ec ECU,LB,26-223,19,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,3
146.0,5,1,False,Bart Verbruggen,1,nl NED,GK,22-013,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,3
268.0,10,9,True,Liam Delap,19,eng ENG,FW,21-205,80,1,1,0,1,0,0,0,,0,0,0,0,0,1,2,0,3
260.0,10,9,True,Ali Al Hamadi,16,iq IRQ,FW,22-183,10,1,0,0,0,1,0,0,,0,0,0,0,0,1,0,0,3
611.0,10,9,True,Sammie Szmodics,23,ie IRL,LW,28-342,80,0,0,0,0,0,0,0,,0,2,0,2,1,1,1,0,3
631.0,10,9,True,Jack Clarke,47,eng ENG,LW,23-282,10,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,3
632.0,10,9,True,Chiedozie Ogbene,21,ie IRL,RW,27-122,87,4,1,1,0,3,1,3,33.3,2,0,0,0,0,4,2,0,3
265.0,10,9,True,Conor Chaplin,10,eng ENG,"AM,RW",27-197,3,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,3
274.0,10,9,True,Omari Hutchinson,20,eng ENG,"AM,RW",20-306,90,1,1,1,0,0,1,4,25.0,3,3,0,3,0,1,1,0,3
359.0,10,9,True,Kalvin Phillips,8,eng ENG,DM,28-273,70,0,0,0,0,0,0,3,0.0,3,2,1,1,0,0,0,0,3
619.0,10,9,True,Jens Cajuste,12,se SWE,DM,25-021,20,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,3
278.0,10,9,True,Sam Morsy,5,eg EGY,DM,32-356,90,1,1,1,0,0,1,2,50.0,1,1,0,1,0,1,3,0,3
267.0,10,9,True,Leif Davis,3,eng ENG,LB,24-232,90,2,2,1,0,1,1,3,33.3,2,1,0,1,0,2,2,0,3
270.0,10,9,True,Jacob Greaves,24,eng ENG,CB,23-354,90,0,0,0,0,0,0,0,,0,1,1,0,2,2,6,0,3
