player_id,team_id,opponent_team_id,was_home,player_name,player_number,nation,pos,age,minutes,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribblers_tackled,dribblers_challenged,percentage_of_dribblers_tackled,challenges_lost,blocks,shots_blocked,passes_blocked,interceptions,players_tackled_plus_interceptions,clearances,errors,gw
82,18,19,True,Dominic Solanke,19,eng ENG,FW,27-035,80,2,1,0,2,0,1,1,100.0,0,0,0,0,0,2,1,0,8
497,18,19,True,Richarlison,9,br BRA,FW,27-162,10,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,8
503,18,19,True,Son Heung-min,7,kr KOR,LW,32-103,70,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,1,0,8
509,18,19,True,Timo Werner,16,de GER,LW,28-227,20,0,0,0,0,0,0,2,0.0,2,1,0,1,0,0,0,0,8
491,18,19,True,Brennan Johnson,22,wls WAL,RW,23-149,90,1,0,0,0,1,0,1,0.0,1,0,0,0,0,1,0,0,8
494,18,19,True,James Maddison,10,eng ENG,LM,27-331,45,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,8
499,18,19,True,Pape Matar Sarr,29,sn SEN,LM,22-035,45,2,2,0,2,0,1,2,50.0,1,2,1,1,0,2,1,0,8
482,18,19,True,Yves Bissouma,8,ml MLI,CM,28-050,80,5,4,2,2,1,4,6,66.7,2,0,0,0,0,5,5,0,8
480,18,19,True,Rodrigo Bentancur,30,uy URU,CM,27-116,10,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,8
492,18,19,True,Dejan Kulusevski,21,se SWE,RM,24-177,90,3,3,0,1,2,2,2,100.0,0,0,0,0,0,3,0,0,8
505,18,19,True,Destiny Udogie,13,it ITA,LB,21-326,87,3,1,2,0,1,0,2,0.0,2,2,1,1,1,4,0,0,8
489,18,19,True,Archie Gray,14,eng ENG,LB,18-221,3,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,8
506,18,19,True,Micky van de Ven,37,nl NED,CB,23-183,90,2,2,1,1,0,2,5,40.0,3,2,2,0,1,3,4,0,8
498,18,19,True,Cristian Romero,17,ar ARG,CB,26-175,90,4,2,4,0,0,2,3,66.7,1,0,0,0,0,4,2,0,8
495,18,19,True,Pedro Porro,23,es ESP,RB,25-036,90,2,1,0,2,0,2,3,66.7,1,1,0,1,2,4,1,0,8
508,18,19,True,Guglielmo Vicario,1,it ITA,GK,28-012,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,8
512,19,18,False,Michail Antonio,9,jm JAM,FW,34-205,60,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,8
587,19,18,False,Crysencio Summerville,7,nl NED,"AM,LM",22-355,30,1,1,0,0,1,0,0,,0,0,0,0,0,1,0,0,8
525,19,18,False,Mohammed Kudus,14,gh GHA,"LM,AM,RM",24-078,85,2,2,1,1,0,0,0,,0,0,0,0,0,2,0,0,8
527,19,18,False,Lucas Paquetá,10,br BRA,CM,27-053,60,1,1,1,0,0,0,1,0.0,1,2,1,1,0,1,1,0,8
511,19,18,False,Edson Álvarez,19,mx MEX,CM,26-361,30,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,8
530,19,18,False,Tomáš Souček,28,cz CZE,CM,29-235,60,2,1,1,0,1,1,2,50.0,1,1,1,0,1,3,3,0,8
654,19,18,False,Carlos Soler,4,es ESP,CM,27-291,30,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,8
514,19,18,False,Jarrod Bowen,20,eng ENG,"RM,FW",27-304,90,4,3,2,0,2,2,3,66.7,1,0,0,0,0,4,1,0,8
588,19,18,False,Guido Rodríguez,24,ar ARG,DM,30-190,70,5,4,3,2,0,2,3,66.7,1,1,1,0,1,6,5,0,8
528,19,18,False,Konstantinos Mavropanos,15,gr GRE,CB,26-313,20,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,8
520,19,18,False,Emerson Palmieri,33,it ITA,"LB,WB",30-077,90,6,5,5,1,0,3,3,100.0,0,4,1,3,1,7,0,0,8
524,19,18,False,Max Kilman,26,eng ENG,CB,27-149,90,4,3,1,2,1,4,4,100.0,0,1,1,0,1,5,6,1,8
591,19,18,False,Jean-Clair Todibo,25,fr FRA,CB,24-294,90,3,0,2,1,0,2,3,66.7,1,1,1,0,2,5,5,0,8
388,19,18,False,Aaron Wan-Bissaka,29,eng ENG,"RB,WB",26-328,90,5,5,3,2,0,4,5,80.0,1,0,0,0,4,9,4,0,8
513,19,18,False,Alphonse Areola,23,fr FRA,GK,31-235,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,8
252,9,2,True,Raúl Jiménez,7,mx MEX,FW,33-167,90,2,2,0,1,1,0,0,,0,1,1,0,1,3,0,1,8
247,9,2,True,Alex Iwobi,17,ng NGA,"LW,DM,AM",28-169,90,3,2,0,2,1,1,2,50.0,1,1,0,1,0,3,1,0,8
239,9,2,True,Adama Traoré,11,es ESP,RW,28-268,67,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,8
10,9,2,True,Reiss Nelson,19,eng ENG,LW,24-314,23,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0,8
19,9,2,True,Emile Smith Rowe,32,eng ENG,"AM,RW",24-083,79,1,0,1,0,0,0,0,,0,0,0,0,1,2,2,0,8
243,9,2,True,Tom Cairney,10,sct SCO,DM,33-273,11,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,8
622,9,2,True,Sander Berge,16,no NOR,DM,26-248,79,2,1,2,0,0,2,4,50.0,2,2,1,1,4,6,0,0,8
259,9,2,True,Harry Wilson,8,wls WAL,RW,27-211,11,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,8
240,9,2,True,Andreas Pereira,18,br BRA,DM,28-292,67,2,0,0,2,0,0,2,0.0,2,0,0,0,0,2,0,0,8
245,9,2,True,Issa Diop,31,fr FRA,CB,27-284,23,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,8
255,9,2,True,Antonee Robinson,33,us USA,LB,27-072,90,5,3,3,2,0,2,3,66.7,1,0,0,0,2,7,4,0,8
241,9,2,True,Calvin Bassey,3,ng NGA,CB,24-293,90,1,1,1,0,0,0,0,,0,2,1,1,1,2,2,0,8
191,9,2,True,Joachim Andersen,5,dk DEN,CB,28-141,63,1,1,1,0,0,0,0,,0,0,0,0,3,4,5,0,8
257,9,2,True,Kenny Tete,2,nl NED,RB,29-010,90,1,1,1,0,0,1,2,50.0,1,1,1,0,2,3,4,0,8
248,9,2,True,Bernd Leno,1,de GER,GK,32-229,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,8
58,2,9,False,Ollie Watkins,11,eng ENG,FW,28-294,74,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,8
38,2,9,False,Jáder Durán,9,co COL,FW,20-311,16,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,8
53,2,9,False,Jacob Ramsey,41,eng ENG,LW,23-144,82,0,0,0,0,0,0,0,,0,2,0,2,0,0,0,0,8
31,2,9,False,Emi Buendía,10,ar ARG,"AM,RW",27-299,8,1,1,0,1,0,0,1,0.0,1,0,0,0,0,1,0,0,8
28,2,9,False,Leon Bailey,31,jm JAM,RW,27-071,60,0,0,0,0,0,0,1,0.0,1,1,0,1,1,1,2,0,8
569,2,9,False,Jaden Philogene Bidace,19,eng ENG,RW,22-254,29,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,8
54,2,9,False,Morgan Rogers,27,eng ENG,AM,22-085,82,0,0,0,0,0,0,0,,0,1,0,1,2,2,1,0,8
48,2,9,False,John McGinn,7,sct SCO,LW,30-001,8,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,8
57,2,9,False,Youri Tielemans,8,be BEL,DM,27-165,90,2,1,1,1,0,0,0,,0,1,0,1,1,3,3,0,8
233,2,9,False,Amadou Onana,24,be BEL,DM,23-064,74,2,1,2,0,0,1,2,50.0,1,1,0,1,3,5,0,0,8
29,2,9,False,Ross Barkley,6,eng ENG,DM,30-319,16,1,0,0,1,0,1,1,100.0,0,0,0,0,2,3,0,0,8
36,2,9,False,Lucas Digne,12,fr FRA,LB,31-091,90,0,0,0,0,0,0,0,,0,2,1,1,1,1,3,0,8
52,2,9,False,Pau Torres,14,es ESP,CB,27-277,90,1,1,1,0,0,0,0,,0,0,0,0,1,2,2,0,8
35,2,9,False,Diego Carlos,3,br BRA,CB,31-218,90,1,0,0,1,0,0,0,,0,0,0,0,2,3,4,0,8
32,2,9,False,Matty Cash,2,pl POL,RB,27-073,90,1,0,1,0,0,0,0,,0,1,0,1,1,2,7,0,8
47,2,9,False,Emiliano Martínez,23,ar ARG,GK,32-047,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,8
268,10,8,True,Liam Delap,19,eng ENG,FW,21-254,78,0,0,0,0,0,0,1,0.0,1,2,0,2,0,0,2,0,8
272,10,8,True,George Hirst,27,sct SCO,FW,25-247,12,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,8
