player_id,web_name,team_id,element_type,points_per_game,total_points,minutes,starts,goals_scored,assists,yellow_cards,red_cards,clean_sheets,goals_conceded,saves,bps,penalties_saved,penalties_missed,own_goals,goals_conceded_per_90,xG,xA,xGC,xGI,xG_per90,xA_per90,xGC_per90,xGI_per90
273,wharton,8,3,2.1,42,1314,16,0,2,2,0,4,21,0,244,0,0,0,1.44,0.38,2.17,19.34,2.55,0.03,0.15,1.32,0.18
274,agbinone,8,3,1.0,2,4,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.02,0.01,0.0,0.03,0.45,0.22,0.0,0.67
275,ahamada,8,3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
276,devenny,8,3,1.5,34,494,4,1,1,1,0,0,8,0,129,0,0,0,1.46,0.77,0.41,9.3,1.18,0.14,0.07,1.69,0.21
277,ebiowei,8,3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
278,jrak-sakyi,8,3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
279,mfranca,8,3,2.2,9,52,0,1,0,0,0,0,0,0,34,0,0,0,0.0,0.28,0.18,0.4,0.46,0.48,0.31,0.69,0.79
280,ozoh,8,3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
281,rodney,8,3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
282,umeh,8,3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
283,mateta,8,4,4.1,150,2642,33,14,2,2,0,9,37,0,576,0,0,0,1.26,13.77,2.28,37.94,16.05,0.47,0.08,1.29,0.55
284,nketiah,8,4,1.8,53,1018,9,3,2,4,1,2,17,0,186,0,0,0,1.5,5.94,0.83,14.29,6.77,0.53,0.07,1.26,0.6
285,edouard,8,4,1.2,7,141,1,0,0,0,0,0,3,0,14,0,0,0,1.91,0.39,0.07,3.72,0.46,0.25,0.04,2.37,0.29
286,marsh,8,4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
242,dewsbury-hall,9,3,1.4,18,257,2,0,1,0,0,0,3,0,71,0,0,0,1.05,0.22,0.22,3.88,0.44,0.08,0.08,1.36,0.16
287,pickford,9,1,4.2,158,3420,38,0,1,7,0,12,44,122,593,2,0,0,1.16,0.0,0.22,46.11,0.22,0.0,0.01,1.21,0.01
288,travers,9,1,3.8,19,450,5,0,0,0,0,1,5,20,76,0,0,0,1.0,0.0,0.01,7.36,0.01,0.0,0.0,1.47,0.0
289,tyrer,9,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
290,branthwaite,9,2,2.9,88,2509,28,0,1,4,0,9,28,0,420,0,0,0,1.0,1.2,0.61,29.83,1.81,0.04,0.02,1.07,0.06
