id,first_name,second_name,web_name,team,full_name
1,david,raya martin,raya,1,david raya martin
2,kepa,arrizabalaga revuelta,arrizabalaga,1,kepa arrizabalaga revuelta
3,karl,hein,hein,1,karl hein
4,tommy,setford,setford,1,tommy setford
5,gabriel,dos santos magalhaes,gabriel,1,gabriel dos santos magalhaes
6,william,saliba,saliba,1,william saliba
7,riccardo,calafiori,calafiori,1,riccardo calafiori
8,jurrien,timber,jtimber,1,jurrien timber
9,jakub,kiwior,kiwior,1,jakub kiwior
10,myles,lewis-skelly,lewis-skelly,1,myles lewis-skelly
11,benjamin,white,white,1,benjamin white
12,oleksandr,zinchenko,zinchenko,1,oleksandr zinchenko
13,brayden,clarke,clarke,1,brayden clarke
14,maldini,kacurri,kacurri,1,maldini kacurri
15,josh,nichols,nichols,1,josh nichols
16,bukayo,saka,saka,1,bukayo saka
17,martin,odegaard,odegaard,1,martin odegaard
18,noni,madueke,madueke,1,noni madueke
19,gabriel,martinelli silva,martinelli,1,gabriel martinelli silva
20,leandro,trossard,trossard,1,leandro trossard
21,declan,rice,rice,1,declan rice
22,mikel,merino zazon,merino,1,mikel merino zazon
23,fabio,ferreira vieira,fabio vieira,1,fabio ferreira vieira
24,christian,norgaard,norgaard,1,christian norgaard
25,ethan,nwaneri,nwaneri,1,ethan nwaneri
26,martin,zubimendi ibanez,zubimendi,1,martin zubimendi ibanez
27,reiss,nelson,nelson,1,reiss nelson
28,ismeal,kabia,kabia,1,ismeal kabia
29,albert,sambi lokonga,sambi,1,albert sambi lokonga
30,kai,havertz,havertz,1,kai havertz
31,gabriel,fernando de jesus,gjesus,1,gabriel fernando de jesus
662,cristhian,mosquera,mosquera,1,cristhian mosquera
666,viktor,gyokeres,gyokeres,1,viktor gyokeres
32,emiliano,martinez romero,martinez,2,emiliano martinez romero
33,marco,bizot,mbizot,2,marco bizot
34,joe,gauci,gauci,2,joe gauci
35,filip,marschall,marschall,2,filip marschall
36,matty,cash,cash,2,matty cash
37,lucas,digne,digne,2,lucas digne
38,ezri,konsa ngoyo,konsa,2,ezri konsa ngoyo
39,ian,maatsen,maatsen,2,ian maatsen
40,tyrone,mings,mings,2,tyrone mings
41,pau,torres,pau,2,pau torres
42,andres,garcia,agarcia,2,andres garcia
43,alex,moreno lopera,alex moreno,2,alex moreno lopera
44,lamare,bogarde,bogarde,2,lamare bogarde
45,lino,da cruz sousa,sousa,2,lino da cruz sousa
46,yasin,ozcan,yasin,2,yasin ozcan
47,morgan,rogers,rogers,2,morgan rogers
48,youri,tielemans,tielemans,2,youri tielemans
49,leon,bailey,bailey,2,leon bailey
50,emiliano,buendia stati,buendia,2,emiliano buendia stati
51,samuel,iling-junior,iling jr,2,samuel iling-junior
52,jacob,ramsey,jramsey,2,jacob ramsey
53,donyell,malen,malen,2,donyell malen
54,john,mcginn,mcginn,2,john mcginn
55,ross,barkley,barkley,2,ross barkley
56,enzo,barrenechea,barrenechea,2,enzo barrenechea
57,lewis,dobbin,dobbin,2,lewis dobbin
58,boubacar,kamara,kamara,2,boubacar kamara
59,amadou,onana,onana,2,amadou onana
60,ben,broggio,broggio,2,ben broggio
61,leander,dendoncker,dendoncker,2,leander dendoncker
62,jamaldeen,jimoh-aloba,jimoh-aloba,2,jamaldeen jimoh-aloba
63,kadan,young,young,2,kadan young
64,ollie,watkins,watkins,2,ollie watkins
65,zepiqueno,redmond,redmond,2,zepiqueno redmond
677,evann,guessand,guessand,2,evann guessand
183,max,weiss,weiss,3,max weiss
184,etienne,green,green,3,etienne green
185,vaclav,hladky,hladky,3,vaclav hladky
186,connor,roberts,roberts,3,connor roberts
187,kyle,walker,walker,3,kyle walker
188,hannes,delcroix,delcroix,3,hannes delcroix
189,owen,dodgson,dodgson,3,owen dodgson
190,hjalmar,ekdal,ekdal,3,hjalmar ekdal
191,maxime,esteve,esteve,3,maxime esteve
192,quilindschy,hartman,hartman,3,quilindschy hartman
193,bashir,humphreys,humphreys,3,bashir humphreys
194,jordan,beyer,jordan,3,jordan beyer
195,lucas,pires silva,lucas pires,3,lucas pires silva
196,shurandy,sambo,sambo,3,shurandy sambo
197,oliver,sonne,sonne,3,oliver sonne
198,axel,tuanzebe,tuanzebe,3,axel tuanzebe
199,joe,worrall,worrall,3,joe worrall
200,jaidon,anthony,anthony,3,jaidon anthony
201,manuel,benson hedilazio,benson,3,manuel benson hedilazio
202,jacob,bruun larsen,bruun larsen,3,jacob bruun larsen
203,enock,agyei,boateng,3,enock agyei
204,darko,churlinov,churlinov,3,darko churlinov
205,josh,cullen,cullen,3,josh cullen
206,marcus,edwards,edwards,3,marcus edwards
207,hannibal,mejbri,hannibal,3,hannibal mejbri
208,luca,koleosho,koleosho,3,luca koleosho
209,josh,laurent,laurent,3,josh laurent
210,loum,tchaouna,tchaouna,3,loum tchaouna
211,aaron,ramsey,aramsey,3,aaron ramsey
212,oluwaseun,adewumi,adewumi,3,oluwaseun adewumi
213,jaydon,banel,banel,3,jaydon banel
214,mike,tresor ndayishimiye,tresor,3,mike tresor ndayishimiye
215,zian,flemming,flemming,3,zian flemming
216,zeki,amdouni,amdouni,3,zeki amdouni
217,lyle,foster,foster,3,lyle foster
218,ashley,barnes,barnes,3,ashley barnes
219,michael,obafemi,obafemi,3,michael obafemi
470,martin,dubravka,dubravka,3,martin dubravka
676,lesley,ugochukwu,ugochukwu,3,lesley ugochukwu
680,armando,broja,broja,3,armando broja
