player_id,minutes,in_starting_xi,was_home,goals_scored,assists,goals_conceded,clean_sheets,xG,xA,xGC,xGI,total_points,gameweek,oppeonent_team_id,fixture,value
1,0,0,False,0,0,0,0,0.00,0.00,0.00,0.00,0,4,18,39,54
2,10,0,False,0,0,0,0,0.00,0.00,0.13,0.00,1,4,18,39,68
3,90,1,False,1,0,0,1,0.27,0.00,0.74,0.27,15,4,18,39,60
4,90,1,False,0,0,0,1,0.14,0.00,0.74,0.14,2,4,18,39,81
5,0,0,False,0,0,0,0,0.00,0.00,0.00,0.00,0,4,18,39,40
6,90,1,False,0,0,0,1,0.05,0.01,0.74,0.06,5,4,18,39,55
7,90,1,False,0,0,0,1,0.00,0.00,0.74,0.00,2,4,18,39,49
8,0,0,False,0,0,0,0,0.00,0.00,0.00,0.00,0,4,18,39,49
9,79,1,False,0,0,0,1,0.17,0.14,0.61,0.31,3,4,18,39,69
10,24,0,True,0,0,1,0,0.08,0.01,0.33,0.09,0,4,19,35,50
11,90,1,True,0,0,2,0,0.34,0.23,1.23,0.57,2,4,11,34,59
12,4,0,False,0,0,0,0,0.00,0.00,0.09,0.00,1,4,18,39,45
13,0,0,False,0,0,0,0,0.00,0.00,0.00,0.00,0,4,18,39,83
14,90,1,True,0,0,3,0,0.00,0.00,2.67,0.00,3,4,14,38,44
15,90,1,False,0,0,0,1,0.00,0.00,0.74,0.00,9,4,18,39,55
16,0,0,False,0,0,0,0,0.00,0.00,0.00,0.00,0,4,18,39,63
17,85,1,False,0,1,0,1,0.05,0.35,0.65,0.40,7,4,18,39,101
18,90,1,False,0,0,0,1,0.00,0.01,0.74,0.01,5,4,18,39,60
19,72,1,True,0,1,0,1,0.22,0.66,0.42,0.88,7,4,19,35,56
20,90,1,False,0,0,0,1,0.00,0.07,0.74,0.07,3,4,18,39,50
21,0,0,False,0,0,0,0,0.00,0.00,0.00,0.00,0,4,18,39,44
22,0,0,False,0,0,0,0,0.00,0.00,0.00,0.00,0,4,18,39,49
23,79,1,False,0,0,0,1,0.05,0.03,0.61,0.08,3,4,18,39,69
24,90,1,False,0,0,0,1,0.00,0.01,0.74,0.01,6,4,18,39,65
