player_id,minutes,in_starting_xi,was_home,goals_scored,assists,goals_conceded,clean_sheets,xG,xA,xGC,xGI,total_points,gameweek,opponent_team_id,fixture,value
1,0,0,True,0,0,0,0,0.00,0.00,0.00,0.00,0,32,4,311,54
2,0,0,True,0,0,0,0,0.00,0.00,0.00,0.00,0,32,4,311,65
3,0,0,True,0,0,0,0,0.00,0.00,0.00,0.00,0,32,4,311,62
4,0,0,True,0,0,0,0,0.00,0.00,0.00,0.00,0,32,4,311,77
5,0,0,True,0,0,0,0,0.00,0.00,0.00,0.00,0,32,4,311,40
6,21,0,True,0,0,1,0,0.00,0.00,0.12,0.00,1,32,4,311,56
7,90,1,True,0,0,1,0,0.02,0.06,0.24,0.08,2,32,4,311,46
8,90,1,True,0,0,1,0,0.07,0.03,0.24,0.10,2,32,4,311,48
9,90,1,True,0,0,1,0,0.22,0.11,0.24,0.33,2,32,4,311,65
10,0,0,False,0,0,0,0,0.00,0.00,0.00,0.00,0,32,3,312,50
11,0,0,False,0,0,0,0,0.00,0.00,0.00,0.00,0,32,13,316,59
11,34,0,False,0,0,1,0,0.23,0.01,0.17,0.24,1,32,15,289,59
12,62,1,True,0,0,0,1,0.03,0.03,0.12,0.06,3,32,4,311,45
13,28,0,True,0,0,1,0,0.00,0.12,0.12,0.12,0,32,4,311,82
14,90,1,True,0,0,3,0,0.00,0.00,3.03,0.00,16,32,2,319,44
15,90,1,True,0,0,1,0,0.00,0.00,0.24,0.00,2,32,4,311,55
16,74,1,True,0,1,1,0,0.03,0.09,0.24,0.12,5,32,4,311,62
17,27,0,True,0,0,1,0,0.12,0.02,0.12,0.14,1,32,4,311,104
18,90,1,True,0,0,1,0,0.00,0.28,0.24,0.28,2,32,4,311,65
19,21,0,False,0,0,0,0,0.00,0.02,0.00,0.02,1,32,3,312,51
20,68,1,True,1,0,0,1,0.26,0.03,0.12,0.29,10,32,4,311,49
21,61,1,True,0,0,0,1,0.00,0.01,0.12,0.01,6,32,4,311,43
22,0,0,True,0,0,0,0,0.00,0.00,0.00,0.00,0,32,4,311,48
23,90,1,True,0,0,1,0,0.14,0.10,0.24,0.24,2,32,4,311,67
24,0,0,True,0,0,0,0,0.00,0.00,0.00,0.00,0,32,4,311,61
25,61,1,True,0,0,0,1,0.02,0.03,0.12,0.05,6,32,4,311,48
26,90,1,True,0,0,1,0,0.00,0.22,1.36,0.22,2,32,8,318,42
27,60,1,True,0,0,0,1,0.14,0.01,0.81,0.15,2,32,2,319,49
28,0,0,False,0,0,0,0,0.00,0.00,0.00,0.00,0,32,17,319,62
29,0,0,False,0,0,0,0,0.00,0.00,0.00,0.00,0,32,17,319,52
30,0,0,False,0,0,0,0,0.00,0.00,0.00,0.00,0,32,17,319,49
31,0,0,False,0,0,0,0,0.00,0.00,0.00,0.00,0,32,17,319,51
32,84,1,False,0,0,0,1,0.06,0.07,0.25,0.13,6,32,17,319,44
33,0,0,False,0,0,0,0,0.00,0.00,0.00,0.00,0,32,17,319,45
34,0,0,False,0,0,0,0,0.00,0.00,0.00,0.00,0,32,17,319,65
35,0,0,False,0,0,0,0,0.00,0.00,0.00,0.00,0,32,17,319,45
36,0,0,False,0,0,0,0,0.00,0.00,0.00,0.00,0,32,17,319,45
37,0,0,False,0,0,0,0,0.00,0.00,0.00,0.00,0,32,17,319,50
38,0,0,False,0,0,0,0,0.00,0.00,0.00,0.00,0,32,17,319,57
39,0,0,False,0,0,0,0,0.00,0.00,0.00,0.00,0,32,17,319,40
40,0,0,False,0,0,0,0,0.00,0.00,0.00,0.00,0,32,17,319,39
41,0,0,False,0,0,0,0,0.00,0.00,0.00,0.00,0,32,17,319,54
42,1,0,False,0,0,0,0,0.00,0.00,0.04,0.00,1,32,17,319,50
43,0,0,False,0,0,0,0,0.00,0.00,0.00,0.00,0,32,17,319,40
44,90,1,False,0,0,0,1,0.15,0.05,0.31,0.20,7,32,17,319,44
45,90,1,False,0,0,0,1,0.08,0.03,0.31,0.11,6,32,17,319,45
46,0,0,False,0,0,0,0,0.00,0.00,0.00,0.00,0,32,17,319,40
47,90,1,False,0,0,0,1,0.00,0.00,0.31,0.00,6,32,17,319,50
48,5,0,False,1,0,0,0,0.31,0.00,0.06,0.31,5,32,17,319,52
49,90,1,False,0,0,0,1,0.04,0.01,0.31,0.05,6,32,17,319,44
50,0,0,False,0,0,0,0,0.00,0.00,0.00,0.00,0,32,17,319,39
51,0,0,False,0,0,0,0,0.00,0.00,0.00,0.00,0,32,17,319,45
52,0,0,False,0,0,0,0,0.00,0.00,0.00,0.00,0,32,17,319,42
53,65,1,False,0,0,0,1,0.06,0.04,0.25,0.10,3,32,17,319,54
54,84,1,False,0,1,0,1,0.00,0.08,0.25,0.08,6,32,17,319,56
55,0,0,False,0,0,0,0,0.00,0.00,0.00,0.00,0,32,17,319,40
56,0,0,False,0,0,0,0,0.00,0.00,0.00,0.00,0,32,17,319,40
57,90,1,False,0,1,0,1,0.28,0.39,0.31,0.67,6,32,17,319,55
58,24,0,False,1,0,0,0,0.28,0.00,0.06,0.28,7,32,17,319,89
59,0,0,True,0,0,0,0,0.00,0.00,0.00,0.00,0,32,9,312,43
60,90,1,True,0,0,0,1,0.40,0.05,1.07,0.45,2,32,9,312,49
61,0,0,True,0,0,0,0,0.00,0.00,0.00,0.00,0,32,9,312,45
62,0,0,True,0,0,0,0,0.00,0.00,0.00,0.00,0,32,9,312,49
63,0,0,True,0,0,0,0,0.00,0.00,0.00,0.00,0,32,9,312,49
64,90,1,True,0,0,0,1,0.07,0.02,1.07,0.09,2,32,9,312,50
65,0,0,True,0,0,0,0,0.00,0.00,0.00,0.00,0,32,9,312,54
66,0,0,True,0,0,0,0,0.00,0.00,0.00,0.00,0,32,9,312,50
67,0,0,True,0,0,0,0,0.00,0.00,0.00,0.00,0,32,9,312,45
68,0,0,True,0,0,0,0,0.00,0.00,0.00,0.00,0,32,9,312,39
69,0,0,True,0,0,0,0,0.00,0.00,0.00,0.00,0,32,9,312,45
70,90,1,True,0,0,0,1,0.00,0.04,1.07,0.04,6,32,9,312,53
71,0,0,True,0,0,0,0,0.00,0.00,0.00,0.00,0,32,9,312,61
72,0,0,True,0,0,0,0,0.00,0.00,0.00,0.00,0,32,9,312,44
73,0,0,True,0,0,0,0,0.00,0.00,0.00,0.00,0,32,4,311,41
74,90,1,True,0,0,0,1,0.18,0.30,1.07,0.48,3,32,9,312,48
75,0,0,True,0,0,0,0,0.00,0.00,0.00,0.00,0,32,9,312,40
76,0,0,True,0,0,0,0,0.00,0.00,0.00,0.00,0,32,9,312,48
77,64,1,True,0,0,0,1,0.16,0.30,0.86,0.46,3,32,9,312,47
78,88,1,True,1,0,0,1,0.12,0.06,1.07,0.18,10,32,9,312,57
79,45,1,True,0,0,0,0,0.00,0.00,0.86,0.00,0,32,9,312,46
80,0,0,True,0,0,0,0,0.00,0.00,0.00,0.00,0,32,9,312,48
81,90,1,True,0,0,0,1,0.00,0.01,1.07,0.01,6,32,9,312,44
82,74,1,False,0,0,3,0,0.46,0.02,1.80,0.48,2,32,20,320,73
83,25,0,True,0,0,0,0,0.00,0.00,0.21,0.00,1,32,9,312,54
84,0,0,True,0,0,0,0,0.00,0.00,0.00,0.00,0,32,9,312,44
85,45,0,True,0,0,0,0,0.00,0.00,0.21,0.00,1,32,9,312,44
86,68,1,False,0,0,1,0,0.11,0.01,0.71,0.12,2,32,1,311,44
87,0,0,False,0,0,0,0,0.00,0.00,0.00,0.00,0,32,1,311,44
88,90,1,False,0,1,1,0,0.00,0.10,0.96,0.10,6,32,1,311,45
89,79,1,False,0,0,1,0,0.02,0.02,0.72,0.04,2,32,1,311,50
90,0,0,False,0,0,0,0,0.00,0.00,0.00,0.00,0,32,1,311,48
91,90,1,False,0,0,1,0,0.00,0.01,0.96,0.01,2,32,1,311,44
92,0,0,False,0,0,0,0,0.00,0.00,0.00,0.00,0,32,1,311,43
93,0,0,False,0,0,0,0,0.00,0.00,0.00,0.00,0,32,1,311,43
94,68,1,False,0,0,1,0,0.00,0.03,0.71,0.03,2,32,1,311,48
95,10,0,False,0,0,0,0,0.00,0.00,0.24,0.00,1,32,1,311,53
96,0,0,False,0,0,0,0,0.00,0.00,0.00,0.00,0,32,1,311,39
97,0,0,False,0,0,0,0,0.00,0.00,0.00,0.00,0,32,1,311,44
98,90,1,False,0,0,1,0,0.00,0.00,0.96,0.00,2,32,1,311,50
99,90,1,False,0,0,1,0,0.00,0.26,0.96,0.26,2,32,1,311,80
100,0,0,False,0,0,0,0,0.00,0.00,0.00,0.00,0,32,1,311,42
101,90,1,False,0,0,1,0,0.00,0.02,0.87,0.02,1,32,1,311,48
102,0,0,False,0,0,0,0,0.00,0.00,0.00,0.00,0,32,1,311,49
103,0,0,False,0,0,0,0,0.00,0.00,0.00,0.00,0,32,1,311,45
104,0,0,False,0,0,0,0,0.00,0.00,0.00,0.00,0,32,1,311,44
105,0,0,False,0,0,0,0,0.00,0.00,0.00,0.00,0,32,1,311,43
106,90,1,False,0,0,1,0,0.00,0.01,0.96,0.01,1,32,1,311,51
107,0,0,False,0,0,0,0,0.00,0.00,0.00,0.00,0,32,1,311,59
108,0,0,False,0,0,0,0,0.00,0.00,0.00,0.00,0,32,1,311,73
109,0,0,False,0,0,0,0,0.00,0.00,0.00,0.00,0,32,1,311,39
110,90,1,False,1,0,1,0,0.12,0.02,0.96,0.14,9,32,1,311,65
111,21,0,False,0,0,0,0,0.00,0.00,0.26,0.00,0,32,1,311,43
112,0,0,False,0,0,0,0,0.00,0.00,0.00,0.00,0,32,1,311,45
113,81,1,True,0,1,2,0,0.56,0.42,1.00,0.98,5,32,11,313,51
114,0,0,True,0,0,0,0,0.00,0.00,0.00,0.00,0,32,11,313,45
115,90,1,True,0,0,2,0,0.00,0.03,1.50,0.03,2,32,11,313,50
116,0,0,True,0,0,0,0,0.00,0.00,0.00,0.00,0,32,11,313,40
117,0,0,False,0,0,0,0,0.00,0.00,0.00,0.00,0,32,5,313,45
118,0,0,True,0,0,0,0,0.00,0.00,0.00,0.00,0,32,11,313,45
119,0,0,True,0,0,0,0,0.00,0.00,0.00,0.00,0,32,11,313,49
120,90,1,True,0,0,2,0,0.00,0.28,1.50,0.28,0,32,11,313,42
121,75,1,False,1,1,1,0,0.47,0.33,1.40,0.80,13,32,6,314,54
122,90,1,True,0,0,2,0,0.00,0.08,1.50,0.08,0,32,11,313,49
123,0,0,False,0,0,0,0,0.00,0.00,0.00,0.00,0,32,12,315,55
124,0,0,True,0,0,0,0,0.00,0.00,0.00,0.00,0,32,11,313,50
125,0,0,True,0,0,0,0,0.00,0.00,0.00,0.00,0,32,11,313,65
126,90,1,True,0,0,2,0,0.00,0.03,1.50,0.03,2,32,11,313,49
127,0,0,True,0,0,0,0,0.00,0.00,0.00,0.00,0,32,11,313,50
128,0,0,True,0,0,0,0,0.00,0.00,0.00,0.00,0,32,11,313,43
129,90,1,True,2,0,2,0,1.72,0.24,1.50,1.96,13,32,11,313,56
130,0,0,True,0,0,0,0,0.00,0.00,0.00,0.00,0,32,11,313,45
