player_id,minutes,in_starting_xi,was_home,goals_scored,assists,goals_conceded,clean_sheets,xG,xA,xGC,xGI,total_points,gameweek,oppeonent_team_id,fixture,value
1,0,0,True,0,0,0,0,0.00,0.00,0.00,0.00,0,6,11,51,54
2,1,0,True,0,0,0,0,0.11,0.00,0.00,0.11,1,6,11,51,68
3,90,1,True,0,0,2,0,0.27,0.05,0.32,0.32,1,6,11,51,61
4,90,1,True,1,0,2,0,1.89,0.04,0.32,1.93,6,6,11,51,82
5,0,0,True,0,0,0,0,0.00,0.00,0.00,0.00,0,6,11,51,40
6,90,1,True,0,1,2,0,0.21,0.12,0.32,0.33,4,6,11,51,55
7,0,0,True,0,0,0,0,0.00,0.00,0.00,0.00,0,6,11,51,49
8,0,0,True,0,0,0,0,0.00,0.00,0.00,0.00,0,6,11,51,48
9,73,1,True,1,1,2,0,0.39,0.55,0.32,0.94,13,6,11,51,69
10,21,0,False,0,0,0,0,0.02,0.01,0.16,0.03,1,6,16,59,50
11,72,1,False,0,0,2,0,0.09,0.01,0.87,0.10,2,6,8,55,59
12,5,0,True,0,0,0,0,0.02,0.16,0.00,0.18,1,6,11,51,45
13,0,0,True,0,0,0,0,0.00,0.00,0.00,0.00,0,6,11,51,82
14,90,1,False,0,0,3,0,0.00,0.00,1.38,0.00,2,6,3,52,44
15,90,1,True,0,0,2,0,0.00,0.00,0.32,0.00,1,6,11,51,56
16,90,1,True,0,0,2,0,0.06,0.22,0.32,0.28,2,6,11,51,63
17,90,1,True,0,0,2,0,0.29,0.79,0.32,1.08,3,6,11,51,101
18,90,1,True,0,0,2,0,0.00,0.01,0.32,0.01,0,6,11,51,60
19,87,1,False,0,0,0,1,0.15,0.05,0.78,0.20,3,6,16,59,58
20,84,1,True,0,0,2,0,0.00,0.09,0.32,0.09,2,6,11,51,50
21,0,0,True,0,0,0,0,0.00,0.00,0.00,0.00,0,6,11,51,44
22,0,0,True,0,0,0,0,0.00,0.00,0.00,0.00,0,6,11,51,48
23,90,1,True,1,1,2,0,1.11,0.12,0.32,1.23,12,6,11,51,69
24,0,0,True,0,0,0,0,0.00,0.00,0.00,0.00,0,6,11,51,64
25,0,0,True,0,0,0,0,0.00,0.00,0.00,0.00,0,6,11,51,48
26,83,1,True,0,0,1,0,0.05,0.01,1.32,0.06,2,6,9,59,44
