player_id,minutes,in_starting_xi,was_home,goals_scored,assists,goals_conceded,clean_sheets,xG,xA,xGC,xGI,total_points,gameweek,oppeonent_team_id,fixture,value,shots,SoT,SiB,tpa,npxG,cc,npxgi,npg
1,0,0,False,0,0,0,0,0.0,0.0,0.0,0.0,0,8,3,71,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,10,0,False,0,0,0,0,0.0,0.0,0.0,0.0,1,8,3,71,68,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
3,90,1,False,0,0,2,0,0.02,0.0,1.82,0.02,1,8,3,71,62,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
4,90,1,False,0,0,2,0,0.04,0.02,1.82,0.06,2,8,3,71,83,1.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0
5,0,0,False,0,0,0,0,0.0,0.0,0.0,0.0,0,8,3,71,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0,0,False,0,0,0,0,0.0,0.0,0.0,0.0,0,8,3,71,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0,0,False,0,0,0,0,0.0,0.0,0.0,0.0,0,8,3,71,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,43,0,False,0,0,2,0,0.0,0.0,1.69,0.0,0,8,3,71,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,26,0,False,0,0,2,0,0.42,0.01,1.03,0.43,1,8,3,71,70,2.0,1.0,2.0,2.0,0.3,0.0,0.3,0.0
10,22,0,True,0,0,1,0,0.0,0.11,0.17,0.11,1,8,2,72,50,0.0,0.0,0.0,1.0,0.0,2.0,0.1,0.0
10,22,0,True,0,0,1,0,0.0,0.11,0.17,0.11,1,8,2,72,50,0.0,0.0,0.0,1.0,0.0,2.0,0.1,0.0
10,22,0,True,0,0,1,0,0.0,0.11,0.17,0.11,1,8,2,72,50,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0
10,22,0,True,0,0,1,0,0.0,0.11,0.17,0.11,1,8,2,72,50,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0
10,22,0,True,0,0,1,0,0.0,0.11,0.17,0.11,1,8,2,72,50,0.0,0.0,0.0,1.0,0.0,0.0,0.1,0.0
10,22,0,True,0,0,1,0,0.0,0.11,0.17,0.11,1,8,2,72,50,0.0,0.0,0.0,1.0,0.0,0.0,0.1,0.0
10,22,0,True,0,0,1,0,0.0,0.11,0.17,0.11,1,8,2,72,50,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
10,22,0,True,0,0,1,0,0.0,0.11,0.17,0.11,1,8,2,72,50,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
10,22,0,True,0,0,1,0,0.0,0.11,0.17,0.11,1,8,2,72,50,0.0,0.0,0.0,1.0,0.0,2.0,0.1,0.0
10,22,0,True,0,0,1,0,0.0,0.11,0.17,0.11,1,8,2,72,50,0.0,0.0,0.0,1.0,0.0,2.0,0.1,0.0
10,22,0,True,0,0,1,0,0.0,0.11,0.17,0.11,1,8,2,72,50,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0
10,22,0,True,0,0,1,0,0.0,0.11,0.17,0.11,1,8,2,72,50,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0
10,22,0,True,0,0,1,0,0.0,0.11,0.17,0.11,1,8,2,72,50,0.0,0.0,0.0,1.0,0.0,0.0,0.1,0.0
10,22,0,True,0,0,1,0,0.0,0.11,0.17,0.11,1,8,2,72,50,0.0,0.0,0.0,1.0,0.0,0.0,0.1,0.0
10,22,0,True,0,0,1,0,0.0,0.11,0.17,0.11,1,8,2,72,50,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
10,22,0,True,0,0,1,0,0.0,0.11,0.17,0.11,1,8,2,72,50,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
10,22,0,True,0,0,1,0,0.0,0.11,0.17,0.11,1,8,2,72,50,0.0,0.0,0.0,0.0,0.0,2.0,0.1,0.0
10,22,0,True,0,0,1,0,0.0,0.11,0.17,0.11,1,8,2,72,50,0.0,0.0,0.0,0.0,0.0,2.0,0.1,0.0
10,22,0,True,0,0,1,0,0.0,0.11,0.17,0.11,1,8,2,72,50,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
10,22,0,True,0,0,1,0,0.0,0.11,0.17,0.11,1,8,2,72,50,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
10,22,0,True,0,0,1,0,0.0,0.11,0.17,0.11,1,8,2,72,50,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
10,22,0,True,0,0,1,0,0.0,0.11,0.17,0.11,1,8,2,72,50,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
10,22,0,True,0,0,1,0,0.0,0.11,0.17,0.11,1,8,2,72,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
