player_id,minutes,in_starting_xi,was_home,goals_scored,assists,goals_conceded,clean_sheets,xG,xA,xGC,xGI,total_points,gameweek,oppeonent_team_id,fixture,value
1,0,0,False,0,0,0,0,0.00,0.00,0.00,0.00,0,33,10,326,54
1,0,0,True,0,0,0,0,0.00,0.00,0.00,0.00,0,33,7,331,54
2,0,0,False,0,0,0,0,0.00,0.00,0.00,0.00,0,33,10,326,65
2,0,0,True,0,0,0,0,0.00,0.00,0.00,0.00,0,33,7,331,65
3,0,0,False,0,0,0,0,0.00,0.00,0.00,0.00,0,33,10,326,62
3,0,0,True,0,0,0,0,0.00,0.00,0.00,0.00,0,33,7,331,62
4,0,0,False,0,0,0,0,0.00,0.00,0.00,0.00,0,33,10,326,77
4,0,0,True,0,0,0,0,0.00,0.00,0.00,0.00,0,33,7,331,77
5,0,0,False,0,0,0,0,0.00,0.00,0.00,0.00,0,33,10,326,40
5,0,0,True,0,0,0,0,0.00,0.00,0.00,0.00,0,33,7,331,40
6,0,0,False,0,0,0,0,0.00,0.00,0.00,0.00,0,33,10,326,57
6,90,1,True,0,1,2,0,0.00,0.07,1.75,0.07,4,33,7,331,57
7,0,0,False,0,0,0,0,0.00,0.00,0.00,0.00,0,33,10,326,46
7,0,0,True,0,0,0,0,0.00,0.00,0.00,0.00,0,33,7,331,46
8,90,1,False,0,0,0,1,0.00,0.02,0.17,0.02,6,33,10,326,48
8,90,1,True,1,0,2,0,0.04,0.06,1.75,0.10,7,33,7,331,48
9,72,1,False,1,0,0,1,0.67,0.02,0.13,0.69,8,33,10,326,65
9,90,1,True,0,0,2,0,0.04,0.21,1.75,0.25,2,33,7,331,65
10,0,0,True,0,0,0,0,0.00,0.00,0.00,0.00,0,33,6,325,50
11,15,0,True,0,0,0,0,0.00,0.00,0.05,0.00,1,33,3,323,59
11,79,1,False,0,0,2,0,0.77,0.00,1.12,0.77,2,33,1,331,59
12,33,0,False,1,0,0,0,0.16,0.06,0.08,0.22,6,33,10,326,45
12,4,0,True,0,0,0,0,0.00,0.01,0.10,0.01,1,33,7,331,45
13,90,1,False,0,1,0,1,0.09,0.48,0.17,0.57,6,33,10,326,82
13,85,1,True,0,1,2,0,0.12,0.20,1.65,0.32,5,33,7,331,82
14,90,1,False,0,0,1,0,0.00,0.01,0.91,0.01,3,33,19,330,44
15,90,1,False,0,0,0,1,0.00,0.00,0.17,0.00,6,33,10,326,56
15,90,1,True,0,0,2,0,0.00,0.00,1.75,0.00,1,33,7,331,56
16,72,1,False,0,1,0,1,0.00,0.16,0.13,0.16,7,33,10,326,62
16,90,1,True,0,0,2,0,0.09,0.07,1.75,0.16,1,33,7,331,62
17,56,1,False,0,0,0,0,0.52,0.87,0.09,1.39,1,33,10,326,105
17,30,0,True,0,0,1,0,0.16,0.02,0.56,0.18,1,33,7,331,105
18,90,1,False,0,0,0,1,0.00,0.04,0.17,0.04,6,33,10,326,66
18,90,1,True,0,0,2,0,0.27,0.02,1.75,0.29,1,33,7,331,66
19,0,0,True,0,0,0,0,0.00,0.00,0.00,0.00,0,33,6,325,51
20,0,0,False,0,0,0,0,0.00,0.00,0.00,0.00,0,33,10,326,49
