player_id,minutes,in_starting_xi,was_home,goals_scored,assists,goals_conceded,clean_sheets,xG,xA,xGC,xGI,total_points,gameweek,opponent_team_id,fixture,value
1,0,0,True,0,0,0,0,0.00,0.00,0.00,0.00,0,30,9,291,54
2,0,0,True,0,0,0,0,0.00,0.00,0.00,0.00,0,30,9,291,65
3,15,1,True,0,0,0,0,0.00,0.00,0.00,0.00,1,30,9,291,64
4,0,0,True,0,0,0,0,0.00,0.00,0.00,0.00,0,30,9,291,77
5,0,0,True,0,0,0,0,0.00,0.00,0.00,0.00,0,30,9,291,40
6,76,1,True,0,0,0,1,0.28,0.03,0.24,0.31,7,30,9,291,56
7,0,0,True,0,0,0,0,0.00,0.00,0.00,0.00,0,30,9,291,47
8,74,0,True,0,0,1,0,0.06,0.01,0.99,0.07,2,30,9,291,48
9,90,1,True,0,1,1,0,0.33,0.30,0.99,0.63,5,30,9,291,65
10,0,0,False,0,0,0,0,0.00,0.00,0.00,0.00,0,30,1,291,50
11,31,0,False,0,0,0,0,0.16,0.00,0.01,0.16,1,30,17,300,59
12,65,1,True,0,1,0,1,0.14,0.26,0.24,0.40,6,30,9,291,46
13,90,1,True,0,0,1,0,0.28,0.28,0.99,0.56,2,30,9,291,82
14,90,1,True,0,0,1,0,0.00,0.00,0.74,0.00,2,30,7,300,44
15,90,1,True,0,0,1,0,0.00,0.00,0.99,0.00,2,30,9,291,55
16,90,1,True,0,0,1,0,0.28,0.12,0.99,0.40,1,30,9,291,62
17,24,0,True,1,0,1,0,0.77,0.12,0.75,0.89,8,30,9,291,102
18,90,1,True,0,0,1,0,0.08,0.02,0.99,0.10,2,30,9,291,62
19,66,1,False,0,0,1,0,0.00,0.02,1.23,0.02,2,30,1,291,51
20,90,1,True,0,0,1,0,0.09,0.04,0.99,0.13,2,30,9,291,49
21,0,0,True,0,0,0,0,0.00,0.00,0.00,0.00,0,30,9,291,43
22,0,0,True,0,0,0,0,0.00,0.00,0.00,0.00,0,30,9,291,48
23,13,0,True,0,0,1,0,0.00,0.00,0.75,0.00,1,30,9,291,68
24,0,0,True,0,0,0,0,0.00,0.00,0.00,0.00,0,30,9,291,61
25,0,0,True,0,0,0,0,0.00,0.00,0.00,0.00,0,30,9,291,48
26,50,0,True,0,0,0,0,0.00,0.06,1.18,0.06,1,30,14,294,42
27,1,0,True,0,0,1,0,0.00,0.00,0.10,0.00,1,30,7,300,49
28,0,0,False,0,0,0,0,0.00,0.00,0.00,0.00,0,30,5,293,62
29,0,0,False,0,0,0,0,0.00,0.00,0.00,0.00,0,30,5,293,52
30,0,0,False,0,0,0,0,0.00,0.00,0.00,0.00,0,30,5,293,49
31,0,0,False,0,0,0,0,0.00,0.00,0.00,0.00,0,30,5,293,51
32,80,1,False,0,0,0,1,0.03,0.11,0.49,0.14,6,30,5,293,44
33,0,0,False,0,0,0,0,0.00,0.00,0.00,0.00,0,30,5,293,45
34,0,0,False,0,0,0,0,0.00,0.00,0.00,0.00,0,30,5,293,65
35,0,0,False,0,0,0,0,0.00,0.00,0.00,0.00,0,30,5,293,45
36,90,1,False,0,0,0,1,0.00,0.11,0.90,0.11,6,30,5,293,45
37,0,0,False,0,0,0,0,0.00,0.00,0.00,0.00,0,30,5,293,50
38,0,0,False,0,0,0,0,0.00,0.00,0.00,0.00,0,30,5,293,57
39,0,0,False,0,0,0,0,0.00,0.00,0.00,0.00,0,30,5,293,40
40,0,0,False,0,0,0,0,0.00,0.00,0.00,0.00,0,30,5,293,39
41,0,0,False,0,0,0,0,0.00,0.00,0.00,0.00,0,30,5,293,54
42,90,1,False,0,0,0,1,0.00,0.02,0.90,0.02,3,30,5,293,50
43,0,0,False,0,0,0,0,0.00,0.00,0.00,0.00,0,30,5,293,40
44,90,1,False,0,0,0,1,0.07,0.00,0.90,0.07,6,30,5,293,44
45,0,0,False,0,0,0,0,0.00,0.00,0.00,0.00,0,30,5,293,45
46,0,0,False,0,0,0,0,0.00,0.00,0.00,0.00,0,30,5,293,40
47,90,1,False,0,0,0,1,0.00,0.00,0.90,0.00,6,30,5,293,50
48,90,1,False,0,0,0,1,0.17,0.08,0.90,0.25,3,30,5,293,52
49,0,0,False,0,0,0,0,0.00,0.00,0.00,0.00,0,30,5,293,44
50,0,0,False,0,0,0,0,0.00,0.00,0.00,0.00,0,30,5,293,39
51,0,0,False,0,0,0,0,0.00,0.00,0.00,0.00,0,30,5,293,45
52,90,1,False,0,0,0,1,0.00,0.00,0.90,0.00,8,30,5,293,42
53,64,1,False,0,0,0,1,0.00,0.01,0.49,0.01,3,30,5,293,54
54,87,1,False,0,2,0,1,0.00,0.27,0.49,0.27,10,30,5,293,55
55,0,0,False,0,0,0,0,0.00,0.00,0.00,0.00,0,30,5,293,40
56,0,0,False,0,0,0,0,0.00,0.00,0.00,0.00,0,30,5,293,40
57,64,1,False,0,0,0,1,0.00,0.01,0.49,0.01,3,30,5,293,55
58,25,0,False,0,0,0,0,0.00,0.01,0.41,0.01,0,30,5,293,89
59,0,0,True,0,0,0,0,0.00,0.00,0.00,0.00,0,30,10,292,43
60,45,0,True,0,0,1,0,0.00,0.05,0.35,0.05,1,30,10,292,49
61,0,0,True,0,0,0,0,0.00,0.00,0.00,0.00,0,30,10,292,45
62,32,0,True,0,0,1,0,0.03,0.01,0.35,0.04,1,30,10,292,49
63,57,1,True,0,0,1,0,0.03,0.15,0.81,0.18,1,30,10,292,49
64,90,1,True,0,1,2,0,0.25,0.20,1.17,0.45,6,30,10,292,50
65,0,0,True,0,0,0,0,0.00,0.00,0.00,0.00,0,30,10,292,54
66,0,0,True,0,0,0,0,0.00,0.00,0.00,0.00,0,30,10,292,50
67,0,0,True,0,0,0,0,0.00,0.00,0.00,0.00,0,30,10,292,45
68,0,0,True,0,0,0,0,0.00,0.00,0.00,0.00,0,30,10,292,39
69,3,0,True,0,0,0,0,0.00,0.00,0.00,0.00,1,30,10,292,45
70,90,1,True,0,0,2,0,0.02,0.06,1.17,0.08,1,30,10,292,53
71,0,0,True,0,0,0,0,0.00,0.00,0.00,0.00,0,30,10,292,63
72,0,0,True,0,0,0,0,0.00,0.00,0.00,0.00,0,30,10,292,44
73,0,0,True,0,0,0,0,0.00,0.00,0.00,0.00,0,30,9,291,41
74,90,1,True,0,0,2,0,0.57,0.02,1.17,0.59,2,30,10,292,50
75,0,0,True,0,0,0,0,0.00,0.00,0.00,0.00,0,30,10,292,40
76,0,0,True,0,0,0,0,0.00,0.00,0.00,0.00,0,30,10,292,48
77,57,1,True,0,0,1,0,0.23,0.02,0.81,0.25,1,30,10,292,47
78,90,1,True,0,0,2,0,0.17,0.04,1.17,0.21,2,30,10,292,57
79,32,0,True,0,0,1,0,0.00,0.02,0.35,0.02,1,30,10,292,46
80,0,0,True,0,0,0,0,0.00,0.00,0.00,0.00,0,30,10,292,48
81,45,1,True,0,0,1,0,0.00,0.03,0.81,0.03,1,30,10,292,44
82,90,1,False,0,0,1,0,0.00,0.01,1.09,0.01,2,30,6,296,73
