player_id,team_id,opponent_team_id,was_home,player_name,player_number,nation,pos,age,minutes,total_completed_passes,total_attempted_passes,total_pass_completion_percentage,total_passing_distance,progressive_passing_distance,short_completed_passes,short_attempted_passes,short_pass_completion_percentage,medium_completed_passes,medium_attempted_passes,medium_pass_completion_percentage,long_completed_passes,long_attempted_passes,long_pass_completion_percentage,assists,xAG,xA,key_passes,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,gw
247,9,2,True,Alex Iwobi,17,ng NGA,"LW,DM,AM",28-169,90,45,56,80.4,708,224,24,27,88.9,21,22,95.5,0,4,0.0,0,0.1,0.2,1,6,1,1,9,8
239,9,2,True,Adama Traoré,11,es ESP,RW,28-268,67,8,12,66.7,104,15,5,5,100.0,3,5,60.0,0,0,,0,0.3,0.3,2,1,0,0,0,8
10,9,2,True,Reiss Nelson,19,eng ENG,LW,24-314,23,17,21,81.0,346,84,3,4,75.0,13,15,86.7,1,1,100.0,0,0.1,0.1,2,0,1,1,2,8
19,9,2,True,Emile Smith Rowe,32,eng ENG,"AM,RW",24-083,79,28,35,80.0,403,78,15,18,83.3,13,14,92.9,0,2,0.0,0,0.0,0.0,0,1,0,0,3,8
243,9,2,True,Tom Cairney,10,sct SCO,DM,33-273,11,20,21,95.2,368,81,9,9,100.0,8,8,100.0,3,4,75.0,0,0.2,0.3,1,2,1,1,3,8
622,9,2,True,Sander Berge,16,no NOR,DM,26-248,79,33,36,91.7,562,137,15,17,88.2,16,17,94.1,2,2,100.0,0,0.0,0.0,0,3,0,0,4,8
259,9,2,True,Harry Wilson,8,wls WAL,RW,27-211,11,8,11,72.7,124,32,3,3,100.0,5,7,71.4,0,1,0.0,0,0.0,0.0,0,0,0,0,1,8
240,9,2,True,Andreas Pereira,18,br BRA,DM,28-292,67,16,25,64.0,313,80,7,8,87.5,6,9,66.7,3,7,42.9,0,0.3,0.2,1,1,0,0,3,8
245,9,2,True,Issa Diop,31,fr FRA,CB,27-284,23,18,19,94.7,331,130,7,7,100.0,10,10,100.0,1,2,50.0,0,0.0,0.0,0,1,0,0,3,8
255,9,2,True,Antonee Robinson,33,us USA,LB,27-072,90,37,50,74.0,729,221,14,18,77.8,17,20,85.0,6,11,54.5,0,0.0,0.1,0,3,2,1,2,8
241,9,2,True,Calvin Bassey,3,ng NGA,CB,24-293,90,62,69,89.9,1156,548,26,26,100.0,26,29,89.7,8,11,72.7,0,0.0,0.0,0,2,0,0,3,8
191,9,2,True,Joachim Andersen,5,dk DEN,CB,28-141,63,36,42,85.7,813,253,11,11,100.0,17,17,100.0,8,14,57.1,0,0.0,0.0,0,7,1,0,3,8
257,9,2,True,Kenny Tete,2,nl NED,RB,29-010,90,33,38,86.8,655,218,15,15,100.0,11,13,84.6,6,7,85.7,0,0.0,0.0,0,5,2,1,1,8
248,9,2,True,Bernd Leno,1,de GER,GK,32-229,90,27,30,90.0,775,459,1,1,100.0,21,21,100.0,5,8,62.5,1,0.1,0.0,1,1,1,0,0,8
58,2,9,False,Ollie Watkins,11,eng ENG,FW,28-294,74,5,9,55.6,57,4,4,7,57.1,1,1,100.0,0,0,,0,0.0,0.0,0,1,0,0,0,8
38,2,9,False,Jáder Durán,9,co COL,FW,20-311,16,3,4,75.0,31,5,1,2,50.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,8
53,2,9,False,Jacob Ramsey,41,eng ENG,LW,23-144,82,21,27,77.8,259,57,16,17,94.1,4,6,66.7,0,1,0.0,1,0.6,0.2,2,2,2,0,5,8
