player_id,team_id,opponent_team_id,was_home,player_name,player_number,nation,pos,age,minutes,total_completed_passes,total_attempted_passes,total_pass_completion_percentage,total_passing_distance,progressive_passing_distance,short_completed_passes,short_attempted_passes,short_pass_completion_percentage,medium_completed_passes,medium_attempted_passes,medium_pass_completion_percentage,long_completed_passes,long_attempted_passes,long_pass_completion_percentage,assists,xAG,xA,key_passes,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,gw
401.0,15,3,True,Alexander Isak,14,se SWE,"FW,LW",25-119,90,18,24,75.0,249,96,13,15,86.7,4,6,66.7,1,1,100.0,0,0.1,0.1,1,3,1,0,3,22
398.0,15,3,True,Anthony Gordon,10,eng ENG,"LW,RW",23-329,90,22,39,56.4,256,111,15,18,83.3,7,14,50.0,0,4,0.0,0,0.0,0.2,1,2,0,0,0,22
402.0,15,3,True,Jacob Murphy,23,eng ENG,RW,29-329,65,18,25,72.0,210,98,13,15,86.7,3,4,75.0,1,3,33.3,0,0.0,0.0,0,2,0,0,1,22
420.0,15,3,True,Joe Willock,28,eng ENG,"LW,LM",25-151,25,5,6,83.3,78,26,3,3,100.0,2,3,66.7,0,0,,0,0.0,0.0,0,0,0,0,1,22
403.0,15,3,True,Joelinton,7,br BRA,"LM,RM",28-157,90,31,41,75.6,434,149,18,23,78.3,10,10,100.0,1,2,50.0,0,0.0,0.0,0,2,1,0,3,22
417.0,15,3,True,Sandro Tonali,8,it ITA,CM,24-255,90,43,55,78.2,595,149,20,25,80.0,19,22,86.4,0,2,0.0,0,0.0,0.0,0,1,0,0,4,22
394.0,15,3,True,Bruno Guimarães,39,br BRA,RM,27-063,89,40,49,81.6,530,191,25,26,96.2,13,15,86.7,1,4,25.0,0,0.2,0.1,3,2,4,0,8,22
590.0,15,3,True,William Osula,18,dk DEN,FW,21-167,1,1,2,50.0,9,0,1,2,50.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,22
399.0,15,3,True,Lewis Hall,20,eng ENG,LB,20-132,65,32,40,80.0,515,229,19,21,90.5,8,9,88.9,4,7,57.1,1,0.0,0.1,1,2,0,0,2,22
418.0,15,3,True,Kieran Trippier,2,eng ENG,RB,34-121,25,16,23,69.6,263,119,10,12,83.3,3,4,75.0,3,5,60.0,0,0.0,0.0,1,3,0,0,1,22
395.0,15,3,True,Dan Burn,33,eng ENG,CB,32-254,90,35,43,81.4,583,265,20,20,100.0,12,15,80.0,3,6,50.0,0,0.0,0.1,0,1,1,0,4,22
393.0,15,3,True,Sven Botman,4,nl NED,CB,25-006,45,14,17,82.4,196,59,10,12,83.3,4,4,100.0,0,0,,0,0.0,0.0,0,1,0,0,1,22
415.0,15,3,True,Fabian Schär,5,ch SUI,CB,33-029,45,13,20,65.0,195,73,7,7,100.0,6,7,85.7,0,4,0.0,0,0.0,0.0,0,0,0,0,2,22
409.0,15,3,True,Valentino Livramento,21,eng ENG,"RB,LB",22-067,90,36,44,81.8,464,214,24,26,92.3,11,13,84.6,0,1,0.0,0,0.0,0.0,0,4,2,0,7,22
396.0,15,3,True,Martin Dúbravka,1,sk SVK,GK,36-003,90,23,31,74.2,484,318,7,7,100.0,11,11,100.0,5,13,38.5,0,0.0,0.0,0,0,0,0,0,22
74.0,3,15,False,Dango Ouattara,11,bf BFA,"FW,RW",22-342,89,14,21,66.7,194,58,6,9,66.7,8,8,100.0,0,3,0.0,1,0.1,0.1,1,1,2,0,3,22
707.0,3,15,False,Remy Rees-Dottin,51,eng ENG,RW,18-318,1,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,22
78.0,3,15,False,Antoine Semenyo,24,gh GHA,LW,25-011,90,32,38,84.2,348,82,26,29,89.7,6,7,85.7,0,1,0.0,1,0.4,0.2,2,2,0,0,3,22
62.0,3,15,False,David Brooks,7,wls WAL,RW,27-194,81,21,31,67.7,335,175,13,16,81.3,5,8,62.5,2,4,50.0,0,0.5,0.4,4,1,1,1,1,22
69.0,3,15,False,Daniel Jebbison,21,eng ENG,FW,21-158,9,3,5,60.0,37,8,3,4,75.0,0,0,,0,0,,0,0.0,0.0,1,0,1,0,1,22
71.0,3,15,False,Justin Kluivert,19,nl NED,AM,25-258,89,25,35,71.4,381,124,15,20,75.0,7,8,87.5,3,7,42.9,1,0.2,0.1,3,2,1,0,4,22
687.0,3,15,False,Ben Winterburn,47,eng ENG,AM,20-136,1,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,22
63.0,3,15,False,Ryan Christie,10,sct SCO,DM,29-331,90,36,45,80.0,561,236,23,24,95.8,10,13,76.9,3,7,42.9,0,0.1,0.0,1,7,1,0,3,22
60.0,3,15,False,Tyler Adams,12,us USA,DM,25-339,90,27,30,90.0,353,98,19,20,95.0,8,9,88.9,0,0,,1,0.0,0.0,1,2,0,0,3,22
70.0,3,15,False,Milos Kerkez,3,hu HUN,LB,21-072,90,33,44,75.0,561,219,17,19,89.5,12,16,75.0,4,9,44.4,0,0.0,0.1,0,3,2,1,5,22
580.0,3,15,False,Dean Huijsen,2,es ESP,CB,19-279,90,22,27,81.5,530,270,5,5,100.0,13,13,100.0,4,7,57.1,0,0.0,0.0,0,4,0,0,2,22
85.0,3,15,False,Illia Zabarnyi,27,ua UKR,CB,22-139,90,21,31,67.7,445,198,6,6,100.0,12,14,85.7,2,9,22.2,0,0.0,0.0,0,2,0,0,3,22
64.0,3,15,False,Lewis Cook,4,eng ENG,RB,27-350,90,19,31,61.3,303,115,10,13,76.9,8,13,61.5,1,5,20.0,0,0.2,0.1,2,3,1,1,3,22
152.0,3,15,False,Kepa Arrizabalaga,13,es ESP,GK,30-107,90,9,25,36.0,343,281,1,1,100.0,2,2,100.0,6,22,27.3,0,0.0,0.0,0,0,0,0,0,22
306.0,11,9,True,Jamie Vardy,9,eng ENG,FW,38-007,90,7,10,70.0,86,7,5,5,100.0,2,3,66.7,0,1,0.0,0,0.1,0.0,1,0,0,0,0,22
298.0,11,9,True,Stephy Mavididi,10,eng ENG,LW,26-232,70,12,18,66.7,115,30,10,12,83.3,1,3,33.3,0,1,0.0,0,0.0,0.0,0,2,0,0,1,22
289.0,11,9,True,Patson Daka,20,zm ZAM,LW,26-101,20,5,6,83.3,72,11,3,4,75.0,2,2,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,22
192.0,11,9,True,Jordan Ayew,18,gh GHA,"RW,AM",33-129,70,14,21,66.7,186,50,7,10,70.0,5,9,55.6,1,1,100.0,0,0.0,0.0,0,2,1,0,2,22
117.0,11,9,True,Facundo Buonanotte,40,ar ARG,AM,20-026,20,4,8,50.0,118,37,1,2,50.0,1,1,100.0,2,3,66.7,0,0.0,0.1,0,0,0,0,0,22
635.0,11,9,True,Bilal El Khannouss,11,ma MAR,AM,20-253,63,20,32,62.5,394,85,9,14,64.3,7,10,70.0,4,8,50.0,0,0.1,0.0,2,1,0,0,0,22
299.0,11,9,True,Kasey McAteer,35,ie IRL,RW,23-057,27,5,6,83.3,81,34,2,2,100.0,3,3,100.0,0,0,,0,0.0,0.0,0,1,1,0,2,22
285.0,11,9,True,Boubakary Soumaré,24,fr FRA,DM,25-326,90,49,59,83.1,712,245,30,34,88.2,14,17,82.4,2,3,66.7,0,0.0,0.0,0,3,0,0,5,22
309.0,11,9,True,Harry Winks,8,eng ENG,DM,28-351,63,25,29,86.2,340,129,17,19,89.5,7,9,77.8,0,0,,0,0.0,0.0,0,3,0,0,3,22
501.0,11,9,True,Oliver Skipp,22,eng ENG,DM,24-124,27,8,13,61.5,110,13,4,7,57.1,3,4,75.0,0,0,,0,0.0,0.0,0,0,0,0,0,22
296.0,11,9,True,Victor Bernth Kristiansen,16,dk DEN,LB,22-033,90,38,45,84.4,506,244,25,27,92.6,12,15,80.0,1,2,50.0,0,0.0,0.1,0,5,1,0,4,22
307.0,11,9,True,Jannik Vestergaard,23,dk DEN,CB,32-168,90,42,46,91.3,645,303,23,24,95.8,17,18,94.4,2,4,50.0,0,0.0,0.0,0,0,0,0,0,22
291.0,11,9,True,Wout Faes,3,be BEL,CB,26-290,90,37,46,80.4,679,227,13,14,92.9,22,25,88.0,2,7,28.6,0,0.0,0.0,0,1,0,0,3,22
295.0,11,9,True,James Justin,2,eng ENG,RB,26-330,90,30,45,66.7,480,141,15,20,75.0,12,15,80.0,2,5,40.0,0,0.1,0.1,2,2,3,1,5,22
304.0,11,9,True,Jakub Stolarczyk,41,pl POL,GK,24-030,90,21,36,58.3,606,483,6,6,100.0,7,7,100.0,8,23,34.8,0,0.0,0.0,0,1,0,0,0,22
252.0,9,11,False,Raúl Jiménez,7,mx MEX,FW,33-258,70,19,24,79.2,369,91,8,9,88.9,7,9,77.8,3,3,100.0,0,0.0,0.1,0,1,3,3,2,22
251.0,9,11,False,Rodrigo Muniz,9,br BRA,FW,23-259,20,2,2,100.0,44,15,0,0,,2,2,100.0,0,0,,0,0.0,0.0,0,0,0,0,1,22
247.0,9,11,False,Alex Iwobi,17,ng NGA,LW,28-260,45,19,29,65.5,274,61,14,16,87.5,3,7,42.9,2,3,66.7,0,0.0,0.1,0,0,0,0,1,22
239.0,9,11,False,Adama Traoré,11,es ESP,"LW,RW,AM",28-359,45,19,24,79.2,254,45,14,17,82.4,5,6,83.3,0,1,0.0,0,0.0,0.0,1,2,0,0,2,22
259.0,9,11,False,Harry Wilson,8,wls WAL,"RW,LW",27-302,89,31,41,75.6,545,160,16,18,88.9,11,13,84.6,4,7,57.1,1,0.5,0.4,7,2,2,0,4,22
604.0,9,11,False,Joshua King,24,eng ENG,AM,18-015,1,1,1,100.0,18,7,0,0,,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,1,22
19.0,9,11,False,Emile Smith Rowe,32,eng ENG,AM,24-174,79,41,44,93.2,543,79,26,27,96.3,14,15,93.3,0,0,,0,0.1,0.1,1,2,1,0,7,22
243.0,9,11,False,Tom Cairney,10,sct SCO,"AM,CM",33-364,11,13,13,100.0,236,24,6,6,100.0,4,4,100.0,3,3,100.0,0,0.0,0.0,0,0,0,0,1,22
622.0,9,11,False,Sander Berge,16,no NOR,"DM,CM",26-339,90,60,63,95.2,1197,200,20,20,100.0,32,33,97.0,7,8,87.5,0,0.0,0.0,0,10,1,0,7,22
249.0,9,11,False,Saša Lukić,20,rs SRB,DM,28-158,89,36,41,87.8,592,128,18,18,100.0,16,17,94.1,2,5,40.0,1,1.2,0.1,2,3,1,1,0,22
245.0,9,11,False,Issa Diop,31,fr FRA,CB,28-009,1,1,1,100.0,29,12,0,0,,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,22
255.0,9,11,False,Antonee Robinson,33,us USA,"LB,WB",27-163,90,77,92,83.7,1260,382,43,47,91.5,24,28,85.7,9,10,90.0,0,0.0,0.1,1,6,4,3,3,22
241.0,9,11,False,Calvin Bassey,3,ng NGA,CB,25-018,90,68,74,91.9,1199,320,30,32,93.8,31,31,100.0,4,7,57.1,0,0.0,0.0,0,10,0,0,6,22
191.0,9,11,False,Joachim Andersen,5,dk DEN,CB,28-232,90,69,83,83.1,1787,783,10,11,90.9,42,44,95.5,17,27,63.0,0,0.0,0.0,0,12,1,0,4,22
244.0,9,11,False,Timothy Castagne,21,be BEL,"RB,WB",29-044,90,58,77,75.3,862,279,30,32,93.8,18,26,69.2,5,10,50.0,0,0.0,0.0,1,5,0,0,2,22
248.0,9,11,False,Bernd Leno,1,de GER,GK,32-320,90,26,30,86.7,674,319,1,1,100.0,18,18,100.0,7,11,63.6,0,0.0,0.0,0,0,0,0,0,22
525.0,19,7,True,Mohammed Kudus,14,gh GHA,"FW,RM",24-169,90,24,28,85.7,448,31,12,14,85.7,8,10,80.0,4,4,100.0,0,0.0,0.0,0,2,0,0,1,22
530.0,19,7,True,Tomáš Souček,28,cz CZE,"AM,CM,CB",29-326,90,36,46,78.3,664,239,13,18,72.2,19,21,90.5,3,4,75.0,0,0.0,0.0,0,1,1,0,2,22
527.0,19,7,True,Lucas Paquetá,10,br BRA,AM,27-144,55,13,22,59.1,196,73,8,10,80.0,5,10,50.0,0,2,0.0,0,0.0,0.1,0,1,1,0,3,22
523.0,19,7,True,Danny Ings,18,eng ENG,FW,32-179,35,6,8,75.0,75,5,4,4,100.0,2,3,66.7,0,0,,0,0.0,0.0,0,0,0,0,0,22
588.0,19,7,True,Guido Rodríguez,24,ar ARG,CM,30-281,45,18,23,78.3,288,81,12,14,85.7,5,7,71.4,1,2,50.0,0,0.0,0.0,0,1,0,0,2,22
654.0,19,7,True,Carlos Soler,4,es ESP,"LM,CM,AM",28-016,45,28,32,87.5,547,94,10,11,90.9,15,16,93.8,3,5,60.0,0,0.1,0.2,1,2,1,0,1,22
511.0,19,7,True,Edson Álvarez,19,mx MEX,CM,27-086,82,35,41,85.4,575,101,19,21,90.5,12,14,85.7,3,4,75.0,0,0.0,0.0,0,0,0,0,1,22
526.0,19,7,True,Luis Guilherme,17,br BRA,LM,18-344,8,4,5,80.0,52,15,4,4,100.0,0,1,0.0,0,0,,0,0.0,0.0,0,0,0,0,0,22
520.0,19,7,True,Emerson Palmieri,33,it ITA,WB,30-168,55,14,22,63.6,218,30,8,10,80.0,5,7,71.4,1,4,25.0,0,0.0,0.0,1,0,0,0,0,22
701.0,19,7,True,Lewis Orford,61,eng ENG,"DM,CM",18-335,35,29,33,87.9,496,50,11,13,84.6,16,17,94.1,1,2,50.0,0,0.0,0.0,1,1,0,0,0,22
388.0,19,7,True,Aaron Wan-Bissaka,29,eng ENG,"WB,RB",27-053,90,56,72,77.8,826,295,37,43,86.0,17,19,89.5,2,5,40.0,0,0.0,0.0,1,8,1,1,2,22
517.0,19,7,True,Aaron Cresswell,3,eng ENG,CB,35-034,55,31,43,72.1,570,163,11,14,78.6,18,20,90.0,2,7,28.6,0,0.0,0.0,0,2,0,0,2,22
677.0,19,7,True,Oliver Scarles,57,eng ENG,LB,19-037,35,22,25,88.0,364,53,10,12,83.3,12,12,100.0,0,0,,0,0.0,0.0,0,0,1,0,2,22
524.0,19,7,True,Max Kilman,26,eng ENG,CB,27-240,90,73,85,85.9,1428,466,17,22,77.3,51,53,96.2,4,9,44.4,0,0.0,0.0,0,6,0,0,8,22
528.0,19,7,True,Konstantinos Mavropanos,15,gr GRE,CB,27-038,79,45,55,81.8,869,281,12,13,92.3,28,32,87.5,4,7,57.1,0,0.0,0.0,1,2,0,0,1,22
521.0,19,7,True,Łukasz Fabiański,1,pl POL,GK,39-275,90,32,36,88.9,730,510,7,7,100.0,18,18,100.0,7,11,63.6,0,0.0,0.0,0,0,0,0,0,22
207.0,7,19,False,Jean-Philippe Mateta,14,fr FRA,FW,27-204,89,11,14,78.6,137,50,8,9,88.9,2,3,66.7,0,1,0.0,0,0.1,0.3,1,3,2,0,4,22
214.0,7,19,False,Jeffrey Schlupp,15,gh GHA,"AM,FW",32-026,1,1,1,100.0,23,7,0,0,,1,1,100.0,0,0,,0,0.1,0.1,1,0,1,0,1,22
199.0,7,19,False,Eberechi Eze,10,eng ENG,AM,26-203,77,32,38,84.2,505,144,17,19,89.5,14,14,100.0,1,5,20.0,1,0.3,0.4,4,3,2,1,4,22
11.0,7,19,False,Eddie Nketiah,9,eng ENG,"AM,FW",25-233,13,2,3,66.7,14,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,22
585.0,7,19,False,Ismaila Sarr,7,sn SEN,AM,26-328,67,8,21,38.1,116,16,5,13,38.5,3,8,37.5,0,0,,0,0.0,0.0,0,1,0,0,1,22
645.0,7,19,False,Justin Devenny,55,nir NIR,"AM,CM",21-099,23,7,9,77.8,102,38,5,6,83.3,1,2,50.0,1,1,100.0,0,0.0,0.0,0,0,0,0,1,22
205.0,7,19,False,Daichi Kamada,18,jp JPN,CM,28-166,90,49,56,87.5,744,140,29,32,90.6,18,19,94.7,2,3,66.7,0,0.0,0.0,0,6,1,0,9,22
203.0,7,19,False,Will Hughes,19,eng ENG,CM,29-276,89,35,47,74.5,538,125,21,23,91.3,11,13,84.6,2,8,25.0,0,0.0,0.0,1,3,0,0,4,22
196.0,7,19,False,Nathaniel Clyne,17,eng ENG,"WB,CM",33-288,1,1,1,100.0,19,0,0,0,,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,22
210.0,7,19,False,Tyrick Mitchell,3,eng ENG,WB,25-139,90,33,48,68.8,541,254,19,24,79.2,11,16,68.8,3,4,75.0,0,0.0,0.1,0,1,1,0,3,22
211.0,7,19,False,Daniel Muñoz,12,co COL,"WB,AM",28-237,90,35,43,81.4,518,134,20,23,87.0,15,17,88.2,0,1,0.0,0,0.1,0.1,2,2,2,0,4,22
200.0,7,19,False,Marc Guéhi,6,eng ENG,CB,24-189,90,55,67,82.1,919,206,28,32,87.5,24,30,80.0,3,5,60.0,0,0.0,0.0,0,5,0,0,3,22
650.0,7,19,False,Maxence Lacroix,5,fr FRA,CB,24-287,90,64,73,87.7,1266,408,14,17,82.4,45,46,97.8,5,9,55.6,0,0.0,0.0,0,1,0,0,1,22
194.0,7,19,False,Chris Richards,26,us USA,CB,24-296,90,52,58,89.7,898,327,19,20,95.0,33,36,91.7,0,2,0.0,0,0.0,0.0,1,5,0,0,7,22
201.0,7,19,False,Dean Henderson,1,eng ENG,GK,27-312,90,20,33,60.6,465,237,5,5,100.0,12,12,100.0,3,16,18.8,0,0.0,0.0,0,0,0,0,0,22
110.0,4,12,True,Yoane Wissa,11,cd COD,FW,28-137,90,14,15,93.3,204,42,7,7,100.0,5,5,100.0,1,2,50.0,0,0.2,0.2,3,0,0,0,3,22
111.0,4,12,True,Yehor Yarmoliuk,18,ua UKR,"LW,DM",20-323,90,18,27,66.7,409,150,6,9,66.7,6,9,66.7,6,6,100.0,0,0.0,0.0,0,1,1,0,3,22
99.0,4,12,True,Bryan Mbeumo,19,cm CMR,RW,25-164,90,7,20,35.0,118,55,3,7,42.9,4,11,36.4,0,1,0.0,0,0.1,0.1,1,0,0,0,1,22
89.0,4,12,True,Mikkel Damsgaard,24,dk DEN,AM,24-199,80,22,25,88.0,366,173,11,11,100.0,9,10,90.0,1,3,33.3,0,0.1,0.1,1,2,1,0,5,22
95.0,4,12,True,Mathias Jensen,8,dk DEN,AM,29-017,10,2,4,50.0,33,4,0,0,,1,1,100.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,22
94.0,4,12,True,Vitaly Janelt,27,de GER,DM,26-253,65,24,30,80.0,397,151,16,19,84.2,6,8,75.0,2,3,66.7,0,0.0,0.0,1,2,0,0,2,22
106.0,4,12,True,Kevin Schade,7,de GER,LW,23-052,25,2,8,25.0,37,30,1,2,50.0,1,3,33.3,0,0,,0,0.0,0.0,0,1,1,0,1,22
101.0,4,12,True,Christian Nørgaard,6,dk DEN,DM,30-314,90,36,40,90.0,640,319,18,18,100.0,15,17,88.2,3,4,75.0,0,0.0,0.1,1,2,3,0,7,22
98.0,4,12,True,Keane Lewis-Potter,23,eng ENG,LB,23-331,90,21,33,63.6,394,132,10,14,71.4,8,14,57.1,3,4,75.0,0,0.0,0.0,1,1,0,0,0,22
338.0,4,12,True,Sepp van den Berg,4,nl NED,CB,23-029,90,27,29,93.1,394,64,15,16,93.8,12,13,92.3,0,0,,0,0.0,0.0,0,0,0,0,0,22
88.0,4,12,True,Nathan Collins,22,ie IRL,CB,23-263,90,32,38,84.2,637,233,7,9,77.8,22,23,95.7,2,4,50.0,0,0.0,0.0,0,1,0,0,0,22
105.0,4,12,True,Mads Roerslev,30,dk DEN,RB,25-208,90,20,25,80.0,332,121,9,11,81.8,10,13,76.9,1,1,100.0,0,0.3,0.6,1,2,1,0,2,22
91.0,4,12,True,Mark Flekken,1,nl NED,GK,31-219,90,42,55,76.4,1221,913,8,8,100.0,20,20,100.0,14,26,53.8,0,0.0,0.0,0,1,0,0,0,22
327.0,12,4,False,Luis Díaz,7,co COL,FW,28-005,64,21,25,84.0,299,88,12,12,100.0,9,11,81.8,0,0,,0,0.0,0.2,1,0,4,1,5,22
316.0,12,4,False,Darwin Núñez,9,uy URU,FW,25-208,26,2,4,50.0,24,0,2,3,66.7,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,22
321.0,12,4,False,Cody Gakpo,18,nl NED,LW,25-256,86,28,37,75.7,391,136,21,24,87.5,6,11,54.5,1,1,100.0,0,0.3,0.2,4,1,2,0,7,22
636.0,12,4,False,Federico Chiesa,14,it ITA,LW,27-085,4,6,8,75.0,82,23,4,4,100.0,1,2,50.0,1,1,100.0,0,0.0,0.0,0,1,0,0,1,22
328.0,12,4,False,Mohamed Salah,11,eg EGY,RW,32-217,90,26,38,68.4,434,129,13,15,86.7,9,12,75.0,3,3,100.0,0,0.7,0.4,7,2,2,0,6,22
336.0,12,4,False,Dominik Szoboszlai,8,hu HUN,AM,24-085,79,31,35,88.6,560,142,13,16,81.3,13,13,100.0,5,6,83.3,0,0.0,0.0,1,6,0,0,7,22
319.0,12,4,False,Harvey Elliott,19,eng ENG,AM,21-289,11,6,8,75.0,105,52,2,3,66.7,4,4,100.0,0,1,0.0,1,0.6,0.2,1,0,1,0,2,22
329.0,12,4,False,Alexis Mac Allister,10,ar ARG,DM,26-025,79,44,49,89.8,727,192,20,20,100.0,20,23,87.0,3,4,75.0,0,0.2,0.1,3,6,2,0,9,22
324.0,12,4,False,Curtis Jones,17,eng ENG,DM,23-354,11,15,16,93.8,208,61,11,12,91.7,4,4,100.0,0,0,,0,0.0,0.0,1,3,0,0,3,22
323.0,12,4,False,Ryan Gravenberch,38,nl NED,DM,22-247,90,42,47,89.4,609,217,19,20,95.0,20,22,90.9,1,2,50.0,0,0.2,0.2,2,3,3,0,8,22
337.0,12,4,False,Kostas Tsimikas,21,gr GRE,LB,28-251,64,37,43,86.0,544,171,21,21,100.0,12,12,100.0,2,7,28.6,0,0.1,0.1,2,3,0,0,5,22
335.0,12,4,False,Andrew Robertson,26,sct SCO,LB,30-313,26,22,26,84.6,316,132,12,13,92.3,7,10,70.0,2,2,100.0,0,0.2,0.3,3,4,1,1,4,22
339.0,12,4,False,Virgil van Dijk,4,nl NED,CB,33-194,90,46,50,92.0,883,266,14,15,93.3,26,26,100.0,5,8,62.5,0,0.1,0.1,1,5,0,0,3,22
326.0,12,4,False,Ibrahima Konaté,5,fr FRA,CB,25-238,90,46,50,92.0,785,277,17,18,94.4,27,30,90.0,1,1,100.0,0,0.4,0.4,2,4,3,0,7,22
311.0,12,4,False,Trent Alexander-Arnold,66,eng ENG,RB,26-103,90,56,70,80.0,1044,476,24,24,100.0,24,31,77.4,7,11,63.6,1,0.4,0.7,5,5,5,2,10,22
,12,4,False,Alisson,1,br BRA,GK,32-108,90,21,26,80.8,607,505,4,4,100.0,9,10,90.0,8,12,66.7,0,0.0,0.0,0,0,0,0,0,22
4.0,1,2,True,Kai Havertz,29,de GER,FW,25-221,90,17,20,85.0,237,43,11,11,100.0,4,5,80.0,1,1,100.0,0,0.0,0.0,1,1,0,0,3,22
23.0,1,2,True,Leandro Trossard,19,be BEL,LW,30-045,90,26,42,61.9,454,153,11,13,84.6,9,17,52.9,4,6,66.7,2,0.5,0.4,3,3,4,2,6,22
9.0,1,2,True,Gabriel Martinelli,11,br BRA,RW,23-214,81,10,19,52.6,118,13,8,11,72.7,2,5,40.0,0,1,0.0,0,0.0,0.1,0,0,0,0,1,22
186.0,1,2,True,Raheem Sterling,30,eng ENG,RW,30-041,9,12,13,92.3,134,16,6,6,100.0,4,5,80.0,0,0,,0,0.0,0.0,0,0,1,0,2,22
633.0,1,2,True,Mikel Merino,23,es ESP,LM,28-210,90,33,41,80.5,427,93,22,25,88.0,9,11,81.8,1,4,25.0,0,0.0,0.0,1,1,0,0,5,22
16.0,1,2,True,Declan Rice,41,eng ENG,CM,26-004,90,56,65,86.2,979,294,25,28,89.3,23,24,95.8,7,11,63.6,0,0.1,0.2,1,8,4,1,10,22
13.0,1,2,True,Martin Ødegaard,8,no NOR,RM,26-032,90,39,52,75.0,590,135,21,21,100.0,15,17,88.2,2,10,20.0,0,0.1,0.1,1,6,1,0,6,22
597.0,1,2,True,Myles Lewis-Skelly,49,eng ENG,LB,18-114,90,42,47,89.4,702,191,20,23,87.0,18,19,94.7,3,3,100.0,0,0.0,0.0,0,8,0,0,5,22
3.0,1,2,True,Gabriel Magalhães,6,br BRA,CB,27-030,90,72,77,93.5,1491,570,22,22,100.0,41,42,97.6,9,13,69.2,0,0.0,0.1,2,14,2,0,15,22
6.0,1,2,True,Jurriën Timber,12,nl NED,CB,23-215,90,65,67,97.0,1117,342,26,27,96.3,36,37,97.3,3,3,100.0,0,0.0,0.0,0,7,0,0,5,22
20.0,1,2,True,Thomas Partey,5,gh GHA,RB,31-219,90,59,76,77.6,854,255,37,42,88.1,19,25,76.0,2,4,50.0,0,0.1,0.3,2,5,4,0,10,22
15.0,1,2,True,David Raya,22,es ESP,GK,29-125,90,20,24,83.3,476,317,6,6,100.0,11,11,100.0,3,7,42.9,0,0.0,0.0,0,2,0,0,1,22
58.0,2,1,False,Ollie Watkins,11,eng ENG,FW,29-019,79,7,10,70.0,100,46,4,5,80.0,3,3,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,22
38.0,2,1,False,Jáder Durán,9,co COL,FW,21-036,11,1,5,20.0,9,1,1,5,20.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,22
53.0,2,1,False,Jacob Ramsey,41,eng ENG,LW,23-235,84,15,18,83.3,274,37,7,8,87.5,6,7,85.7,2,2,100.0,0,0.0,0.0,0,1,0,0,2,22
28.0,2,1,False,Leon Bailey,31,jm JAM,RW,27-162,6,1,2,50.0,8,0,1,2,50.0,0,0,,0,0,,0,0.0,0.0,1,0,0,0,0,22
54.0,2,1,False,Morgan Rogers,27,eng ENG,"RW,LW",22-176,90,8,16,50.0,140,78,4,9,44.4,3,4,75.0,1,1,100.0,0,0.0,0.0,1,2,2,0,4,22
