Team,vs Team,Home?,Gameweek,Shots,SoT,SiB,xG,npxG,G,npG,CC,xA,A,xGC,GC,xCS,CS,xGI,npxGI,xP,P,P vs xP,T,TPA,C 1/3,C PA
Liverpool,Arsenal,false,9,9,4,5,0.9,0.9,2,2,6,0.7,2,1.1,2,0.3,0,1.6,1.6,42.7,39,−3.7,595,23,7,2
Leicester,Nottingham Forest,true,9,11,1,5,0.6,0.6,1,1,10,0.4,1,1.8,3,0.0,0,1.0,1.0,24.8,24,−0.8,721,24,19,6
Manchester City,Southampton,true,9,22,7,13,3.0,3.0,1,1,19,2.9,1,0.2,0,0.7,1,5.9,5.9,67.2,62,−5.2,735,52,20,16
Brentford,Ipswich,true,9,20,9,14,4.0,3.2,4,3,17,3.2,2,1.4,3,0.1,0,7.2,6.4,63.3,50,−13.3,718,30,10,7
Bournemouth,Aston Villa,false,9,11,3,5,0.1,0.1,1,1,9,0.3,1,1.8,1,0.1,0,0.4,0.4,26.4,35,8.6,484,17,14,5
Arsenal,Liverpool,true,9,9,3,5,1.1,1.1,2,2,8,1.0,2,0.9,2,0.2,0,2.1,2.1,35.0,40,5.0,514,30,12,8
Brighton,Wolverhampton Wanderers,true,9,19,6,13,1.3,1.3,2,2,12,1.1,2,1.2,2,0.3,0,2.4,2.4,45.5,42,−3.5,637,32,25,8
Aston Villa,Bournemouth,true,9,18,8,13,1.8,1.8,1,1,13,1.4,1,0.1,1,0.7,0,3.2,3.2,53.2,33,−20.2,562,33,9,6
Crystal Palace,Tottenham,true,9,14,6,7,0.9,0.9,1,1,8,0.6,1,0.7,0,0.3,1,1.5,1.5,40.1,63,22.9,450,20,6,5
Wolverhampton Wanderers,Brighton,false,9,14,7,14,1.2,1.2,2,2,12,1.2,1,1.3,2,0.2,0,2.4,2.4,39.7,37,−2.7,601,28,8,8
Southampton,Manchester City,false,9,5,2,5,0.2,0.2,0,0,5,0.2,0,3.0,1,0.0,0,0.4,0.4,19.8,24,4.2,600,14,10,5
West Ham,Manchester United,true,9,12,3,11,2.9,2.2,2,1,10,2.0,1,2.1,1,0.0,0,4.9,4.2,42.2,39,−3.2,557,30,12,6
Tottenham,Crystal Palace,false,9,11,3,8,0.7,0.7,0,0,6,0.3,0,0.9,1,0.3,0,1.0,1.0,38.4,23,−15.4,677,25,15,3
Chelsea,Newcastle United,true,9,17,7,12,1.7,1.7,2,2,14,1.6,2,1.7,1,0.0,0,3.3,3.3,35.2,42,6.8,613,30,7,10
Ipswich,Brentford,false,9,11,5,8,1.4,1.4,3,3,8,0.7,3,4.0,4,0.0,0,2.1,2.1,23.9,36,12.1,456,20,6,4
Manchester United,West Ham,false,9,18,5,10,2.1,2.1,1,1,14,1.8,1,2.9,2,0.0,0,3.9,3.9,35.9,30,−5.9,701,32,15,6
Nottingham Forest,Leicester,false,9,20,5,12,1.8,1.8,3,3,10,0.8,1,0.6,1,0.3,0,2.6,2.6,48.9,47,−1.9,460,30,14,11
Everton,Fulham,true,9,10,5,8,0.8,0.8,1,1,9,0.7,1,1.2,1,0.2,0,1.5,1.5,34.6,35,0.4,530,17,10,1
Newcastle United,Chelsea,false,9,11,2,9,1.7,1.7,1,1,9,1.7,1,1.7,2,0.1,0,3.4,3.4,46.1,27,−19.1,563,25,6,2
Fulham,Everton,false,9,14,3,7,1.2,1.2,1,1,12,1.2,1,0.8,1,0.3,0,2.4,2.4,51.7,43,−8.7,742,22,13,3
