Team,vs Team,Home?,Gameweek,Shots,SoT,SiB,xG,npxG,G,npG,CC,xA,A,xGC,GC,xCS,CS,xGI,npxGI,xP,P,P vs xP,T,TPA,C 1/3,C PA
Liverpool,Nottingham Forest,false,21,23,6,14,2.0,2.0,1,1,16,1.5,1,0.3,1,0.5,0,3.5,3.5,58.1,33,−25.1,728,49,20,8
Manchester City,Brentford,false,21,21,8,15,2.1,2.1,2,2,20,1.8,1,2.5,2,0.0,0,3.9,3.9,39.7,43,3.3,657,43,28,12
Leicester,Crystal Palace,true,21,21,4,13,1.3,1.3,0,0,17,1.2,0,1.8,2,0.0,0,2.5,2.5,36.9,21,−15.9,755,27,15,8
Fulham,West Ham,false,21,21,4,12,1.6,1.6,2,2,16,1.4,2,1.2,3,0.3,0,3.0,3.0,46.2,37,−9.2,655,26,14,1
Manchester United,Southampton,true,21,23,9,17,3.1,3.1,3,3,18,1.9,1,1.6,1,0.2,0,5.0,5.0,53.8,46,−7.8,735,44,12,15
Ipswich,Brighton,true,21,5,3,3,0.2,0.2,0,0,4,0.1,0,1.0,2,0.3,0,0.3,0.3,34.0,20,−14.0,536,8,6,4
Newcastle United,Wolverhampton Wanderers,true,21,17,5,11,2.0,2.0,3,3,13,1.7,2,1.4,0,0.2,1,3.7,3.7,54.2,79,24.8,727,30,21,6
Tottenham,Arsenal,false,21,10,2,8,0.8,0.8,1,1,8,0.7,0,1.3,2,0.1,0,1.5,1.5,31.1,23,−8.1,546,18,5,6
Everton,Aston Villa,true,21,10,2,7,1.1,1.1,0,0,6,1.0,0,1.3,1,0.2,0,2.1,2.1,37.3,22,−15.3,579,14,12,2
Nottingham Forest,Liverpool,true,21,6,3,2,0.3,0.3,1,1,3,0.3,1,2.0,1,0.0,0,0.6,0.6,25.0,39,14.0,420,15,4,8
Brighton,Ipswich,false,21,11,5,10,1.0,1.0,2,2,10,0.9,1,0.2,0,0.8,1,1.9,1.9,58.5,70,11.5,584,23,11,4
Chelsea,Bournemouth,true,21,26,10,17,2.5,2.5,2,2,18,1.9,1,1.2,2,0.2,0,4.4,4.4,46.7,39,−7.7,563,36,6,6
Southampton,Manchester United,false,21,13,5,7,1.6,1.6,1,1,10,0.7,0,3.1,3,0.0,0,2.3,2.3,31.8,26,−5.8,562,15,18,6
Crystal Palace,Leicester,false,21,9,4,8,1.8,1.8,2,2,7,1.6,2,1.3,0,0.1,1,3.4,3.4,48.3,79,30.7,583,18,16,4
Brentford,Manchester City,true,21,18,5,16,2.5,2.5,2,2,17,2.5,2,2.1,2,0.0,0,5.0,5.0,46.8,39,−7.8,550,40,5,8
Bournemouth,Chelsea,false,21,7,3,6,1.2,0.4,2,1,6,0.4,1,2.5,2,0.0,0,1.6,0.8,30.0,38,8.0,462,18,12,6
West Ham,Fulham,true,21,4,3,3,1.2,1.2,3,3,3,1.1,2,1.6,2,0.0,0,2.3,2.3,34.8,42,7.2,538,7,4,0
Aston Villa,Everton,false,21,11,3,6,1.3,1.3,1,1,7,1.0,1,1.1,0,0.2,1,2.3,2.3,40.5,61,20.5,573,21,11,3
Tottenham,Everton,false,22,11,5,7,1.1,1.1,2,2,6,0.6,1,2.0,3,0.0,0,1.7,1.7,26.8,33,6.2,750,22,8,9
Everton,Tottenham,true,22,12,6,9,2.0,2.0,3,3,11,1.8,2,1.1,2,0.2,0,3.8,3.8,48.7,38,−10.7,503,23,11,9
