Team,vs Team,Home?,Gameweek,Shots,SoT,SiB,xG,npxG,G,npG,CC,xA,A,xGC,GC,xCS,CS,xGI,npxGI,xP,P,P vs xP,T,TPA,C 1/3,C PA
Newcastle United,Brighton,false,35,13,5,7,1.8,1.0,1,0,7,0.6,0,0.6,1,0.5,0,2.4,1.6,51.0,39,−12.0,587,30,14,7
Manchester United,Brentford,false,35,14,5,9,1.5,1.5,3,3,12,1.3,3,2.8,4,0.0,0,2.8,2.8,30.2,39,8.8,637,21,17,5
Chelsea,Liverpool,true,35,17,6,14,3.1,2.3,3,2,14,2.1,1,1.1,1,0.2,0,5.2,4.4,54.9,55,0.1,501,35,11,17
Everton,Ipswich,true,35,8,3,6,0.4,0.4,2,2,5,0.5,2,0.8,2,0.2,0,0.9,0.9,36.5,42,5.5,626,21,14,2
Crystal Palace,Nottingham Forest,true,35,20,3,14,2.5,1.7,1,0,11,0.8,0,0.7,1,0.5,0,3.3,2.5,58.7,44,−14.7,560,38,8,1
Liverpool,Chelsea,false,35,11,2,9,1.1,1.1,1,1,8,0.9,1,3.1,3,0.0,0,2.0,2.0,28.2,27,−1.2,788,33,12,7
Ipswich,Everton,false,35,12,5,6,0.8,0.8,2,2,8,0.5,1,0.4,2,0.4,0,1.3,1.3,40.0,41,1.0,495,16,6,4
Leicester,Southampton,true,35,14,4,9,1.3,1.3,2,2,11,1.1,1,0.5,0,0.5,1,2.4,2.4,55.1,80,24.9,571,18,9,7
Fulham,Aston Villa,false,35,11,3,8,0.7,0.7,0,0,10,0.5,0,0.8,1,0.2,0,1.2,1.2,30.8,21,−9.8,540,23,11,1
Tottenham,West Ham,false,35,7,2,4,0.7,0.7,1,1,4,0.8,1,0.7,1,0.2,0,1.5,1.5,33.9,36,2.1,529,10,10,1
Southampton,Leicester,false,35,8,2,6,0.5,0.5,0,0,8,0.5,0,1.3,2,0.2,0,1.0,1.0,27.4,14,−13.4,579,19,9,1
Nottingham Forest,Crystal Palace,false,35,12,4,7,0.7,0.7,1,1,7,0.5,1,2.5,1,0.0,0,1.2,1.2,18.0,33,15.0,601,15,9,4
Wolverhampton Wanderers,Manchester City,false,35,6,0,4,0.4,0.4,0,0,2,0.1,0,0.7,1,0.3,0,0.5,0.5,41.9,27,−14.9,531,13,5,4
Arsenal,Bournemouth,true,35,13,4,12,1.4,1.4,1,1,8,1.0,1,1.1,2,0.2,0,2.4,2.4,45.7,36,−9.7,546,28,12,8
Manchester City,Wolverhampton Wanderers,true,35,9,2,5,0.7,0.7,1,1,8,0.6,1,0.4,0,0.5,1,1.3,1.3,42.5,67,24.5,810,35,20,11
Bournemouth,Arsenal,false,35,9,2,6,1.1,1.1,2,2,8,0.8,1,1.4,1,0.1,0,1.9,1.9,34.5,60,25.5,528,9,18,2
Brentford,Manchester United,true,35,12,6,11,2.8,2.8,4,4,9,2.2,2,1.5,3,0.3,0,5.0,5.0,58.7,61,2.3,572,27,11,5
Brighton,Newcastle United,true,35,5,2,4,0.6,0.6,1,1,5,0.6,1,1.8,1,0.1,0,1.2,1.2,31.9,46,14.1,514,16,7,6
Aston Villa,Fulham,true,35,10,3,7,0.8,0.8,1,1,10,0.9,1,0.7,0,0.5,1,1.7,1.7,50.8,74,23.2,563,16,7,5
West Ham,Tottenham,true,35,11,2,6,0.7,0.7,1,1,6,0.6,1,0.7,1,0.4,0,1.3,1.3,44.7,41,−3.7,607,19,4,3
