Team,vs Team,Home?,Gameweek,Shots,SoT,SiB,xG,npxG,G,npG,CC,xA,A,xGC,GC,xCS,CS,xGI,npxGI,xP,P,P vs xP,T,TPA,C 1/3,C PA,team_id,vs_team_id
Aston Villa,Brentford,true,14,20,10,16,2.2,1.5,3,2,15,1.2,1,1.1,1,0.3,0,3.4,2.7,50.8,47,−3.8,534,40,6,10,2,4
West Ham,Leicester,false,14,31,8,24,3.1,3.1,1,1,24,2.6,1,1.6,3,0.0,0,5.7,5.7,52.8,28,−24.8,771,53,10,6,19,11
Bournemouth,Tottenham,true,14,21,8,17,3.8,3.8,1,1,18,2.3,1,0.8,0,0.5,1,6.1,6.1,70.5,66,−4.5,436,28,8,8,3,18
Fulham,Brighton,true,14,6,2,6,1.1,1.1,3,3,4,0.4,1,1.5,1,0.3,0,1.5,1.5,41.8,45,3.2,531,16,2,4,9,5
Everton,Wolverhampton Wanderers,true,14,13,4,8,1.1,1.1,4,4,7,0.3,0,0.7,0,0.3,1,1.4,1.4,39.5,77,37.5,536,15,9,5,8,20
Nottingham Forest,Manchester City,false,14,12,3,9,1.0,1.0,0,0,9,0.5,0,2.5,3,0.0,0,1.5,1.5,25.6,18,−7.6,411,16,12,3,16,13
Liverpool,Newcastle United,false,14,16,5,14,2.1,2.1,3,3,10,1.2,3,2.0,3,0.2,0,3.3,3.3,37.9,43,5.1,677,31,18,8,12,15
Tottenham,Bournemouth,false,14,12,4,7,0.8,0.8,0,0,9,0.7,0,3.8,1,0.0,0,1.5,1.5,27.4,25,−2.4,679,25,25,6,18,3
Manchester City,Nottingham Forest,true,14,17,6,12,2.5,2.5,3,3,14,2.2,3,1.0,0,0.4,1,4.7,4.7,59.5,76,16.5,679,38,24,15,13,16
Southampton,Chelsea,true,14,6,4,6,1.5,1.5,1,1,5,1.2,1,5.3,5,0.0,0,2.7,2.7,24.0,20,−4.0,549,19,10,4,17,6
Crystal Palace,Ipswich,false,14,13,3,9,1.5,1.5,1,1,9,1.2,1,0.5,0,0.6,1,2.7,2.7,54.3,61,6.7,563,23,6,6,7,10
Arsenal,Manchester United,true,14,14,6,13,2.6,2.6,2,2,10,1.9,2,0.3,0,0.8,1,4.5,4.5,68.5,73,4.5,582,33,11,7,1,14
Brighton,Fulham,false,14,13,3,8,1.5,1.5,1,1,6,0.9,1,1.1,3,0.5,0,2.4,2.4,50.0,28,−22.0,665,20,15,7,5,9
Manchester United,Arsenal,false,14,5,2,3,0.3,0.3,0,0,3,0.2,0,2.6,2,0.0,0,0.5,0.5,19.4,17,−2.4,587,6,12,1,14,1
Chelsea,Southampton,false,14,26,11,22,5.3,5.3,5,5,17,3.6,5,1.5,1,0.1,0,8.9,8.9,72.1,73,0.9,643,44,13,13,6,17
Ipswich,Crystal Palace,true,14,9,2,5,0.5,0.5,0,0,7,0.5,0,1.5,1,0.1,0,1.0,1.0,31.4,24,−7.3,666,12,9,1,10,7
Leicester,West Ham,true,14,8,6,8,1.6,1.6,3,3,7,1.4,3,3.1,1,0.0,0,3.0,3.0,34.1,55,20.9,543,19,8,9,11,19
Brentford,Aston Villa,false,14,9,1,7,1.1,1.1,1,1,7,0.7,0,2.2,3,0.0,0,1.8,1.8,29.7,32,2.3,545,21,16,2,4,2
Wolverhampton Wanderers,Everton,false,14,6,2,2,0.7,0.7,0,0,5,0.8,0,1.1,4,0.2,0,1.5,1.5,39.0,11,−28.0,611,15,11,7,20,8
Newcastle United,Liverpool,true,14,17,6,9,2.0,2.0,3,3,13,1.6,3,2.1,3,0.1,0,3.6,3.6,38.6,46,7.3,510,19,12,8,15,12
