Team,vs Team,Home?,Gameweek,Shots,SoT,SiB,xG,npxG,G,npG,CC,xA,A,xGC,GC,xCS,CS,xGI,npxGI,xP,P,P vs xP,T,TPA,C 1/3,C PA
Arsenal,Wolverhampton Wanderers,true,1,18,6,12,1.2,1.2,2,2,17,1.1,2,0.5,0,0.5,1,2.3,2.3,52.5,70,17.5,567,43,9,11
Aston Villa,West Ham,false,1,15,3,10,2.0,2.0,2,2,12,1.4,2,2.3,1,0.0,0,3.4,3.4,38.0,47,9.0,558,21,12,4
Brentford,Crystal Palace,true,1,9,5,8,1.5,1.5,2,2,7,0.5,1,1.0,1,0.3,0,2.0,2.0,48.7,47,−1.7,531,11,12,3
Wolverhampton Wanderers,Arsenal,false,1,9,3,6,0.5,0.5,0,0,4,0.2,0,1.2,2,0.2,0,0.7,0.7,31.8,20,−11.8,492,16,9,4
Brighton,Everton,false,1,10,5,9,1.5,1.5,3,3,10,1.6,3,0.3,0,0.7,1,3.1,3.1,56.3,74,17.7,704,27,13,11
Tottenham,Leicester,false,1,15,6,12,1.2,1.2,1,1,13,1.2,1,1.1,1,0.3,0,2.4,2.4,45.1,37,−8.1,830,56,13,11
Liverpool,Ipswich,false,1,19,5,13,2.7,2.7,2,2,13,2.1,1,0.5,0,0.7,1,4.8,4.8,65.6,69,3.4,718,46,13,13
Leicester,Tottenham,true,1,7,3,6,1.1,1.1,1,1,5,0.9,1,1.2,1,0.2,0,2.0,2.0,41.8,37,−4.8,445,10,3,2
Southampton,Newcastle United,false,1,19,3,13,1.9,1.9,0,0,15,1.4,0,0.2,1,0.6,0,3.3,3.3,55.2,22,−33.2,773,46,19,9
Ipswich,Liverpool,true,1,7,2,5,0.5,0.5,0,0,4,0.3,0,2.7,2,0.0,0,0.8,0.8,22.7,18,−4.7,495,16,7,5
Nottingham Forest,Bournemouth,true,1,14,8,8,1.4,1.4,1,1,11,0.4,0,1.6,1,0.1,0,1.8,1.8,35.0,38,3.0,669,27,16,2
Crystal Palace,Brentford,false,1,14,6,6,1.0,1.0,1,1,9,0.6,0,1.5,2,0.1,0,1.6,1.6,32.6,19,−13.6,629,19,13,4
Manchester City,Chelsea,false,1,11,5,6,0.7,0.7,2,2,8,0.6,1,1.1,0,0.3,1,1.3,1.3,35.4,65,29.6,650,25,27,12
Chelsea,Manchester City,true,1,10,3,6,1.1,1.1,0,0,9,1.2,0,0.7,2,0.2,0,2.3,2.3,43.2,21,−22.2,617,24,7,2
Manchester United,Fulham,true,1,14,5,7,2.4,2.4,1,1,10,2.0,1,0.4,0,0.7,1,4.4,4.4,65.8,65,−0.8,639,23,16,3
West Ham,Aston Villa,true,1,14,3,11,2.3,1.5,1,0,10,1.0,0,2.0,2,0.0,0,3.3,2.5,41.0,29,−12.0,552,21,12,6
Fulham,Manchester United,false,1,10,2,6,0.4,0.4,0,0,9,0.3,0,2.4,1,0.1,0,0.7,0.7,25.0,27,2.0,538,21,18,7
Everton,Brighton,true,1,9,1,6,0.3,0.3,0,0,4,0.1,0,1.5,3,0.1,0,0.4,0.4,24.7,16,−8.7,486,18,4,3
Bournemouth,Nottingham Forest,false,1,13,4,6,1.6,1.6,1,1,7,0.6,0,1.4,1,0.2,0,2.2,2.2,46.2,32,−14.2,623,22,14,6
Newcastle United,Southampton,true,1,3,1,3,0.2,0.2,1,1,3,0.2,1,1.9,0,0.1,1,0.4,0.4,23.4,58,34.6,316,13,5,0
