Team,vs Team,Home?,Gameweek,Shots,SoT,SiB,xG,npxG,G,npG,CC,xA,A,xGC,GC,xCS,CS,xGI,npxGI,xP,P,P vs xP,T,TPA,C 1/3,C PA
Fulham,Tottenham,false,13,14,6,12,1.6,1.6,1,1,9,0.9,1,0.8,1,0.3,0,2.5,2.5,46.9,32,−14.9,605,35,14,10
Southampton,Brighton,false,13,10,2,8,0.9,0.9,1,1,7,0.8,0,1.7,1,0.1,0,1.7,1.7,32.6,33,0.4,560,18,5,5
Everton,Manchester United,false,13,8,2,4,0.7,0.7,0,0,5,0.4,0,0.9,4,0.1,0,1.1,1.1,31.2,14,−17.2,525,12,12,4
Bournemouth,Wolverhampton Wanderers,false,13,12,8,10,3.3,0.9,4,1,8,0.8,1,0.4,2,0.4,0,4.1,1.7,58.6,57,−1.6,510,16,11,4
Liverpool,Manchester City,true,13,18,7,11,3.5,2.7,2,1,14,2.1,1,0.8,0,0.4,1,5.6,4.8,65.9,73,7.1,571,26,10,11
Aston Villa,Chelsea,false,13,10,3,8,1.2,1.2,0,0,8,1.1,0,1.7,3,0.1,0,2.3,2.3,37.5,20,−17.5,460,19,4,4
Manchester City,Liverpool,false,13,8,2,7,0.8,0.8,0,0,6,0.3,0,3.5,2,0.0,0,1.1,1.1,20.8,16,−4.8,686,27,12,12
Brentford,Leicester,true,13,13,6,10,2.3,2.3,4,4,10,2.0,3,1.1,1,0.3,0,4.3,4.3,52.0,58,6.0,741,28,16,6
Leicester,Brentford,false,13,7,3,3,1.1,1.1,1,1,4,1.0,1,2.3,4,0.1,0,2.1,2.1,32.1,22,−10.1,528,15,14,2
Brighton,Southampton,true,13,22,5,15,1.7,1.7,1,1,16,1.1,1,0.9,1,0.3,0,2.8,2.8,50.6,38,−12.6,620,45,21,6
Nottingham Forest,Ipswich,true,13,12,5,8,1.6,0.8,1,0,9,0.7,0,0.5,0,0.6,1,2.3,1.5,56.9,64,7.1,468,25,11,3
Crystal Palace,Newcastle United,true,13,16,3,12,1.8,1.8,1,1,13,1.5,1,0.0,1,1.0,0,3.3,3.3,69.8,33,−36.8,563,21,11,4
Tottenham,Fulham,true,13,8,3,4,0.8,0.8,1,1,5,0.5,1,1.6,1,0.2,0,1.3,1.3,36.7,40,3.3,641,15,19,5
Ipswich,Nottingham Forest,false,13,7,2,5,0.5,0.5,0,0,7,0.6,0,1.6,1,0.1,0,1.1,1.1,31.5,25,−6.5,531,17,13,5
Chelsea,Aston Villa,true,13,17,8,12,1.7,1.7,3,3,10,0.7,2,1.2,0,0.4,1,2.4,2.4,46.1,72,25.9,737,28,17,8
Manchester United,Everton,true,13,11,5,9,0.9,0.9,4,4,8,1.0,4,0.7,0,0.4,1,1.9,1.9,43.5,76,32.5,740,19,14,5
Newcastle United,Crystal Palace,false,13,1,0,1,0.0,0.0,1,1,1,0.0,0,1.8,1,0.1,0,0.0,0.0,23.3,29,5.7,575,11,10,2
West Ham,Arsenal,true,13,12,5,8,1.5,1.5,2,2,6,0.5,1,3.6,5,0.0,0,2.0,2.0,26.0,30,4.0,459,15,7,4
Arsenal,West Ham,false,13,16,7,13,3.6,2.0,5,3,12,2.0,3,1.5,2,0.2,0,5.6,4.0,58.7,66,7.3,613,30,18,11
Wolverhampton Wanderers,Bournemouth,true,13,10,3,5,0.4,0.4,2,2,6,0.3,2,3.3,4,0.0,0,0.7,0.7,19.8,30,10.2,706,17,20,5
