Team,vs Team,Home?,Gameweek,Shots,SoT,SiB,xG,npxG,G,npG,CC,xA,A,xGC,GC,xCS,CS,xGI,npxGI,xP,P,P vs xP,T,TPA,C 1/3,C PA
Brighton,Everton,true,23,16,1,9,0.9,0.9,0,0,9,0.3,0,0.8,1,0.2,0,1.2,1.2,32.2,22,−10.2,815,31,30,7
Chelsea,Manchester City,false,23,10,4,7,1.7,1.7,1,1,8,1.6,1,2.4,3,0.1,0,3.3,3.3,37.4,30,−7.4,544,21,11,11
Nottingham Forest,Bournemouth,false,23,18,4,11,0.9,0.9,0,0,12,0.8,0,1.7,5,0.0,0,1.7,1.7,33.9,14,−19.9,499,30,12,3
Brentford,Crystal Palace,false,23,13,6,7,1.7,0.9,2,1,10,0.9,1,0.9,1,0.2,0,2.6,1.8,44.7,55,10.3,522,31,11,2
West Ham,Aston Villa,false,23,14,3,9,1.5,1.5,1,1,8,0.9,1,0.7,1,0.4,0,2.4,2.4,52.0,45,−7.0,635,37,11,5
Bournemouth,Nottingham Forest,true,23,16,10,11,1.7,1.7,5,5,9,0.7,4,0.9,0,0.3,1,2.4,2.4,46.5,106,59.5,523,27,16,11
Manchester United,Fulham,false,23,4,1,1,0.3,0.3,1,1,1,0.2,0,0.8,0,0.6,1,0.5,0.5,39.7,69,29.3,611,8,12,2
Tottenham,Leicester,true,23,14,6,7,1.0,1.0,1,1,10,0.9,1,1.5,2,0.1,0,1.9,1.9,32.8,28,−4.8,683,19,14,4
Everton,Brighton,false,23,3,1,2,0.8,0.0,1,0,1,0.0,0,0.9,0,0.5,1,0.8,0.0,43.6,75,31.4,461,6,5,1
Manchester City,Chelsea,true,23,15,6,9,2.4,2.4,3,3,11,2.2,3,1.7,1,0.2,0,4.6,4.6,46.0,59,13.0,696,25,14,5
Aston Villa,West Ham,true,23,14,4,9,0.7,0.7,1,1,11,0.7,1,1.5,1,0.1,0,1.4,1.4,32.3,41,8.7,552,24,13,5
Arsenal,Wolverhampton Wanderers,false,23,9,3,6,0.9,0.9,1,1,7,0.8,0,0.7,0,0.6,1,1.7,1.7,42.1,60,17.9,564,19,12,5
Liverpool,Ipswich,true,23,16,6,10,2.2,2.2,4,4,12,1.7,3,0.5,1,0.4,0,3.9,3.9,57.0,77,20.0,886,36,23,10
Fulham,Manchester United,true,23,9,2,8,0.8,0.8,0,0,7,0.4,0,0.3,1,0.8,0,1.2,1.2,55.4,25,−30.4,615,21,17,5
Leicester,Tottenham,false,23,12,3,6,1.5,1.5,2,2,9,1.2,2,1.0,1,0.2,0,2.7,2.7,42.1,51,8.8,500,15,10,4
Ipswich,Liverpool,false,23,3,3,2,0.5,0.5,1,1,2,0.5,1,2.2,4,0.0,0,1.0,1.0,25.0,24,−1.0,454,7,4,3
Newcastle United,Southampton,false,23,17,8,11,3.0,2.2,3,2,14,1.7,2,0.5,1,0.4,0,4.7,3.9,61.7,61,−0.7,570,31,7,12
Wolverhampton Wanderers,Arsenal,true,23,9,4,4,0.7,0.7,0,0,7,0.6,0,0.9,1,0.4,0,1.3,1.3,39.5,23,−16.5,590,12,16,3
Aston Villa,Wolverhampton Wanderers,false,24,10,3,4,0.4,0.4,0,0,8,0.4,0,1.5,2,0.1,0,0.8,0.8,25.4,19,−6.4,678,18,6,4
Wolverhampton Wanderers,Aston Villa,true,24,8,5,6,1.5,1.5,2,2,3,1.0,1,0.4,0,0.4,1,2.5,2.5,53.2,95,41.8,410,11,6,4
