Team,vs Team,Home?,Gameweek,Shots,SoT,SiB,xG,npxG,G,npG,CC,xA,A,xGC,GC,xCS,CS,xGI,npxGI,xP,P,P vs xP,T,TPA,C 1/3,C PA,team_id,vs_team_id
Newcastle United,Leicester,true,16,27,11,20,3.7,3.7,4,4,22,2.7,3,0.3,0,0.8,1,6.4,6.4,76.1,86,9.9,788,50,14,11,15,11
Wolverhampton Wanderers,Ipswich,true,16,16,6,11,1.3,1.3,1,1,11,1.1,1,1.1,2,0.1,0,2.4,2.4,33.8,24,−9.8,662,24,13,3,20,10
Brentford,Chelsea,false,16,9,4,7,1.6,1.6,1,1,7,1.5,1,2.1,2,0.0,0,3.1,3.1,38.7,33,−5.7,481,17,3,1,4,6
Leicester,Newcastle United,false,16,4,1,2,0.3,0.3,0,0,3,0.3,0,3.7,4,0.0,0,0.6,0.6,20.3,13,−7.3,576,10,10,2,11,15
Brighton,Crystal Palace,true,16,17,5,9,1.0,1.0,1,1,13,0.8,0,2.3,3,0.0,0,1.8,1.8,28.9,20,−8.9,715,32,17,7,5,7
Arsenal,Everton,true,16,13,5,11,1.1,1.1,0,0,13,1.3,0,0.1,0,0.9,1,2.4,2.4,61.3,52,−9.3,847,46,18,6,1,8
Ipswich,Wolverhampton Wanderers,false,16,10,3,7,1.1,1.1,2,2,8,0.9,1,1.3,1,0.3,0,2.0,2.0,42.0,38,−4.0,574,27,12,9,10,20
Manchester United,Manchester City,false,16,10,3,7,2.0,1.3,2,1,8,1.2,1,1.0,1,0.5,0,3.2,2.5,59.9,48,−11.9,617,19,11,4,14,13
Bournemouth,West Ham,true,16,29,9,16,1.9,1.9,1,1,19,1.2,0,1.9,1,0.1,0,3.1,3.1,42.9,40,−2.9,622,39,13,5,3,19
Fulham,Liverpool,false,16,12,3,7,1.2,1.2,2,2,10,1.2,2,2.0,2,0.1,0,2.4,2.4,31.0,34,3.0,481,17,12,6,9,12
West Ham,Bournemouth,false,16,16,3,14,1.9,1.1,1,0,14,1.2,0,1.9,1,0.1,0,3.1,2.3,44.9,38,−6.9,579,24,13,6,19,3
Everton,Arsenal,false,16,2,0,1,0.1,0.1,0,0,1,0.1,0,1.1,0,0.2,1,0.2,0.2,28.3,49,20.7,354,8,7,1,8,1
Liverpool,Fulham,true,16,16,4,16,2.0,2.0,2,2,12,1.8,2,1.2,2,0.2,0,3.8,3.8,41.3,34,−7.3,678,32,11,6,12,9
Nottingham Forest,Aston Villa,true,16,17,6,12,1.8,1.8,2,2,13,1.5,2,0.3,1,0.7,0,3.3,3.3,62.8,49,−13.8,620,25,14,7,16,2
Crystal Palace,Brighton,false,16,13,5,11,2.3,2.3,3,3,12,2.2,3,1.0,1,0.2,0,4.5,4.5,52.3,56,3.7,468,23,6,4,7,5
Southampton,Tottenham,true,16,9,3,5,0.7,0.7,0,0,6,0.6,0,2.7,5,0.0,0,1.3,1.3,25.0,14,−11.0,531,15,10,3,17,18
Manchester City,Manchester United,true,16,10,3,5,1.0,1.0,1,1,5,0.8,0,2.0,2,0.0,0,1.8,1.8,32.8,31,−1.8,625,15,14,5,13,14
Aston Villa,Nottingham Forest,false,16,8,2,7,0.3,0.3,1,1,7,0.3,1,1.8,2,0.1,0,0.6,0.6,29.9,30,0.1,595,30,17,4,2,16
Aston Villa,Manchester City,true,17,11,6,10,1.6,1.6,2,2,9,1.2,2,1.0,1,0.3,0,2.8,2.8,44.6,42,−2.6,533,16,7,2,2,13
Manchester City,Aston Villa,false,17,12,6,7,1.0,1.0,1,1,11,0.6,0,1.6,2,0.1,0,1.6,1.6,31.9,25,−6.9,651,20,18,9,13,2
