Team,vs Team,Home?,Gameweek,Shots,SoT,SiB,xG,npxG,G,npG,CC,xA,A,xGC,GC,xCS,CS,xGI,npxGI,xP,P,P vs xP,T,TPA,C 1/3,C PA
Liverpool,Bournemouth,false,24,19,7,12,2.5,1.7,2,1,14,1.3,1,1.6,0,0.1,1,3.8,3.0,48.2,81,32.8,594,31,13,10
Manchester City,Arsenal,false,24,7,4,5,0.9,0.9,1,1,5,0.8,1,0.8,5,0.2,0,1.7,1.7,34.3,24,−10.3,590,14,17,2
Bournemouth,Liverpool,true,24,14,3,8,1.6,1.6,0,0,8,1.0,0,2.5,2,0.0,0,2.6,2.6,32.5,19,−13.5,574,24,13,4
Nottingham Forest,Brighton,true,24,14,9,11,3.5,2.7,7,6,12,2.6,4,0.9,0,0.4,1,6.1,5.3,69.4,123,53.6,495,26,7,8
Brentford,Tottenham,true,24,20,3,14,2.1,2.1,0,0,11,1.5,0,0.9,2,0.4,0,3.6,3.6,53.1,21,−32.1,650,45,11,9
Crystal Palace,Manchester United,false,24,11,3,9,2.6,2.6,2,2,9,1.8,1,1.1,0,0.2,1,4.4,4.4,52.5,83,30.5,450,21,7,2
Chelsea,West Ham,true,24,22,3,15,1.7,1.7,2,2,17,1.3,0,1.2,1,0.3,0,3.0,3.0,43.2,45,1.8,749,34,19,9
Southampton,Ipswich,false,24,9,4,6,0.9,0.9,2,2,5,0.1,0,1.6,1,0.1,0,1.0,1.0,30.6,48,17.4,559,15,10,4
Brighton,Nottingham Forest,false,24,10,5,6,0.9,0.9,0,0,6,0.6,0,3.5,7,0.0,0,1.5,1.5,22.1,4,−18.1,689,28,20,8
Arsenal,Manchester City,true,24,12,7,8,0.8,0.8,5,5,9,0.8,4,0.9,1,0.4,0,1.6,1.6,46.0,78,32.0,509,16,12,5
Everton,Liverpool,true,24,10,3,7,0.9,0.9,2,2,9,0.9,2,0.5,2,0.3,0,1.8,1.8,40.6,44,3.4,497,15,5,2
Everton,Leicester,true,24,13,7,11,2.2,2.2,4,4,11,1.8,3,0.3,0,0.6,1,4.0,4.0,62.5,94,31.5,588,32,4,3
Tottenham,Brentford,false,24,13,2,8,0.9,0.9,2,2,12,0.9,1,2.1,0,0.1,1,1.8,1.8,30.2,71,40.8,611,17,11,8
Newcastle United,Fulham,true,24,11,4,9,0.8,0.8,1,1,9,0.7,0,1.6,2,0.1,0,1.5,1.5,34.3,26,−8.3,537,31,12,7
Ipswich,Southampton,true,24,15,6,8,1.6,1.6,1,1,9,0.8,0,0.9,2,0.2,0,2.4,2.4,45.6,29,−16.6,691,25,19,6
Fulham,Newcastle United,false,24,15,4,10,1.6,1.6,2,2,13,1.6,2,0.8,1,0.2,0,3.2,3.2,44.6,60,15.4,585,29,15,10
Liverpool,Everton,false,24,6,4,4,0.5,0.5,2,2,5,0.4,1,0.9,2,0.4,0,0.9,0.9,35.7,44,8.3,705,15,14,1
Manchester United,Crystal Palace,true,24,17,2,12,1.1,1.1,0,0,12,1.1,0,2.6,2,0.0,0,2.2,2.2,27.6,19,−8.6,720,53,8,13
Leicester,Everton,false,24,9,1,5,0.3,0.3,0,0,5,0.3,0,2.2,4,0.0,0,0.6,0.6,24.8,17,−7.8,625,16,6,0
West Ham,Chelsea,false,24,14,5,9,1.2,1.2,1,1,7,0.9,0,1.7,2,0.2,0,2.1,2.1,47.2,30,−17.2,443,24,5,2
