Team,vs Team,Home?,Gameweek,Shots,SoT,SiB,xG,npxG,G,npG,CC,xA,A,xGC,GC,xCS,CS,xGI,npxGI,xP,P,P vs xP,T,TPA,C 1/3,C PA
Manchester United,Tottenham,false,25,16,6,14,1.5,1.5,0,0,13,0.9,0,2.2,1,0.1,0,2.4,2.4,29.3,23,−6.3,605,32,7,5
Liverpool,Aston Villa,false,25,17,3,14,2.7,2.7,2,2,16,2.5,2,0.6,2,0.3,0,5.2,5.2,60.0,45,−15.0,554,41,10,9
Everton,Crystal Palace,false,25,11,6,6,0.7,0.7,2,2,9,0.6,1,1.7,1,0.1,0,1.3,1.3,30.5,52,21.5,549,18,9,0
Newcastle United,Manchester City,false,25,3,1,3,0.4,0.4,0,0,3,0.4,0,1.9,4,0.1,0,0.8,0.8,29.5,16,−13.5,482,10,11,3
Tottenham,Manchester United,true,25,22,7,19,2.2,2.2,1,1,18,1.2,0,1.5,0,0.2,1,3.4,3.4,54.0,77,23.0,712,43,30,6
Aston Villa,Liverpool,true,25,9,3,5,0.6,0.6,2,2,5,0.4,1,2.7,2,0.1,0,1.0,1.0,28.2,50,21.8,602,25,18,4
Nottingham Forest,Fulham,false,25,8,2,6,0.4,0.4,1,1,5,0.2,1,2.2,2,0.1,0,0.6,0.6,26.6,32,5.4,551,15,10,5
Chelsea,Brighton,false,25,8,0,6,0.6,0.6,0,0,6,0.4,0,1.8,3,0.1,0,1.0,1.0,31.2,20,−11.2,851,23,12,2
West Ham,Brentford,true,25,13,3,6,0.6,0.6,0,0,6,0.4,0,1.6,1,0.1,0,1.0,1.0,29.0,23,−6.0,669,23,14,3
Bournemouth,Southampton,false,25,14,7,10,1.1,1.1,3,3,13,1.1,3,0.5,1,0.3,0,2.2,2.2,46.0,61,15.0,652,24,15,11
Brighton,Chelsea,true,25,13,5,8,1.8,1.8,3,3,9,1.5,3,0.6,0,0.5,1,3.3,3.3,58.2,102,43.8,458,20,5,5
Brentford,West Ham,false,25,14,5,10,1.6,1.6,1,1,10,0.9,0,0.6,0,0.5,1,2.5,2.5,51.4,64,12.6,511,32,6,4
Southampton,Bournemouth,true,25,11,4,7,0.5,0.5,1,1,11,0.5,1,1.1,3,0.0,0,1.0,1.0,28.7,30,1.3,557,22,18,6
Crystal Palace,Everton,true,25,17,6,9,1.7,1.7,1,1,14,1.2,1,0.7,2,0.3,0,2.9,2.9,49.6,29,−20.6,683,22,9,1
Arsenal,Leicester,false,25,11,5,6,1.3,1.3,2,2,8,1.3,2,0.1,0,0.8,1,2.6,2.6,59.5,80,20.5,635,28,13,8
Leicester,Arsenal,true,25,6,2,4,0.1,0.1,0,0,4,0.1,0,1.3,2,0.1,0,0.2,0.2,27.1,20,−7.1,450,25,7,7
Liverpool,Wolverhampton Wanderers,true,25,10,3,8,1.7,0.9,2,1,4,0.2,0,1.3,1,0.3,0,1.9,1.1,46.3,53,6.7,587,21,16,3
Manchester City,Newcastle United,true,25,11,7,7,1.9,1.9,4,4,11,1.9,4,0.4,0,0.8,1,3.8,3.8,67.7,98,30.3,721,23,22,8
Ipswich,Aston Villa,false,25,4,3,2,0.4,0.4,1,1,2,0.3,1,1.8,1,0.0,0,0.7,0.7,24.1,39,14.9,372,7,3,2
Wolverhampton Wanderers,Liverpool,false,25,16,4,6,1.3,1.3,1,1,11,1.0,1,1.7,2,0.1,0,2.3,2.3,33.7,28,−5.7,612,21,10,5
