Team,vs Team,Home?,Gameweek,Shots,SoT,SiB,xG,npxG,G,npG,CC,xA,A,xGC,GC,xCS,CS,xGI,npxGI,xP,P,P vs xP,T,TPA,C 1/3,C PA
Brighton,Arsenal,true,20,11,4,6,1.5,0.7,1,0,6,0.6,0,1.0,1,0.1,0,2.1,1.3,37.9,29,−8.9,545,15,14,4
Manchester United,Liverpool,false,20,13,4,11,1.0,1.0,2,2,8,0.7,1,2.9,2,0.0,0,1.7,1.7,24.1,35,10.9,541,31,14,4
Fulham,Ipswich,true,20,15,4,10,2.1,0.6,2,0,10,0.6,0,1.7,2,0.1,0,2.7,1.2,40.1,34,−6.1,834,30,17,12
Everton,Bournemouth,false,20,9,0,5,0.7,0.7,0,0,6,0.3,0,1.8,1,0.0,0,1.0,1.0,28.0,23,−5.0,485,16,11,2
Bournemouth,Everton,true,20,19,8,12,1.8,1.8,1,1,14,1.4,1,0.7,0,0.5,1,3.2,3.2,56.6,63,6.4,600,34,13,5
West Ham,Manchester City,false,20,17,4,14,1.1,1.1,1,1,15,1.1,1,2.0,4,0.1,0,2.2,2.2,29.9,19,−10.9,559,23,8,4
Tottenham,Newcastle United,true,20,13,4,9,1.0,1.0,1,1,9,0.7,1,2.3,2,0.0,0,1.7,1.7,28.5,30,1.5,622,24,19,3
Arsenal,Brighton,false,20,9,3,6,1.0,1.0,1,1,9,1.1,1,1.5,1,0.1,0,2.1,2.1,31.3,32,0.7,632,23,7,7
Southampton,Brentford,true,20,8,1,3,0.3,0.3,0,0,7,0.2,0,4.3,5,0.0,0,0.5,0.5,12.1,10,−2.1,584,18,15,4
Crystal Palace,Chelsea,true,20,13,6,10,0.8,0.8,1,1,10,0.9,1,1.2,1,0.2,0,1.7,1.7,38.2,33,−5.2,494,20,6,2
Leicester,Aston Villa,false,20,4,2,3,0.9,0.9,1,1,2,0.4,0,1.3,2,0.0,0,1.3,1.3,36.3,31,−5.3,522,10,11,3
Ipswich,Fulham,false,20,7,3,5,1.7,0.9,2,1,4,0.5,0,2.1,2,0.0,0,2.2,1.4,30.0,28,−2.0,417,12,9,2
Aston Villa,Leicester,true,20,13,5,8,1.3,1.3,2,2,7,0.9,1,0.9,1,0.3,0,2.2,2.2,43.3,44,0.7,740,23,11,7
Manchester City,West Ham,true,20,10,7,7,2.0,2.0,4,4,9,2.0,3,1.1,1,0.2,0,4.0,4.0,50.8,61,10.2,671,26,20,6
Liverpool,Manchester United,true,20,19,6,15,2.9,2.1,2,1,12,1.6,1,1.0,2,0.1,0,4.5,3.7,51.2,35,−16.2,607,31,15,9
Brentford,Southampton,false,20,20,10,17,4.3,3.5,5,4,16,2.8,3,0.3,0,0.8,1,7.1,6.3,76.6,89,12.4,580,32,10,4
Nottingham Forest,Wolverhampton Wanderers,false,20,11,3,8,2.1,2.1,3,3,8,1.9,3,1.5,0,0.0,1,4.0,4.0,43.6,78,34.4,515,23,11,3
Wolverhampton Wanderers,Nottingham Forest,true,20,13,5,11,1.5,1.5,0,0,9,0.8,0,2.1,3,0.0,0,2.3,2.3,31.5,18,−13.5,698,32,18,6
Wolverhampton Wanderers,Newcastle United,false,21,13,7,8,1.4,1.4,0,0,12,1.3,0,2.0,3,0.1,0,2.7,2.7,31.0,19,−12.0,534,21,8,5
Arsenal,Tottenham,true,21,14,4,11,1.3,1.3,2,2,9,1.1,1,0.8,1,0.4,0,2.4,2.4,46.8,36,−10.8,574,44,11,12
