Team,vs Team,Home?,Gameweek,Shots,SoT,SiB,xG,npxG,G,npG,CC,xA,A,xGC,GC,xCS,CS,xGI,npxGI,xP,P,P vs xP,T,TPA,C 1/3,C PA
Crystal Palace,Wolverhampton Wanderers,false,10,19,6,17,2.6,2.6,2,2,12,2.1,1,1.6,2,0.1,0,4.7,4.7,52.1,33,−19.1,546,28,8,4
Ipswich,Leicester,true,10,14,2,8,1.0,1.0,1,1,9,0.8,1,1.4,1,0.0,0,1.8,1.8,31.9,37,5.1,487,24,6,7
Manchester United,Chelsea,true,10,11,4,8,2.0,1.2,1,0,7,0.7,0,1.0,1,0.2,0,2.7,1.9,40.3,31,−9.3,554,19,9,5
Chelsea,Manchester United,false,10,12,3,8,1.0,1.0,1,1,8,0.8,0,2.0,1,0.0,0,1.8,1.8,29.2,31,1.8,616,28,13,7
Brentford,Fulham,false,10,5,2,3,0.6,0.6,1,1,4,0.5,1,1.5,2,0.2,0,1.1,1.1,41.8,36,−5.8,467,9,5,3
Aston Villa,Tottenham,false,10,12,1,7,1.9,1.9,1,1,11,1.1,0,2.4,4,0.1,0,3.0,3.0,37.8,24,−13.8,525,15,11,3
Bournemouth,Manchester City,true,10,12,6,9,2.3,2.3,2,2,10,1.2,2,1.5,1,0.0,0,3.5,3.5,46.1,48,1.9,480,22,12,8
Arsenal,Newcastle United,false,10,10,0,7,1.0,1.0,0,0,9,1.0,0,0.5,1,0.4,0,2.0,2.0,46.3,24,−22.3,659,29,17,5
Leicester,Ipswich,false,10,20,5,15,1.4,1.4,1,1,14,1.2,1,1.0,1,0.2,0,2.6,2.6,42.6,33,−9.6,596,40,12,12
Liverpool,Brighton,true,10,16,8,14,1.5,1.5,2,2,12,1.2,2,0.9,1,0.3,0,2.7,2.7,49.1,47,−2.1,602,28,7,6
Manchester City,Bournemouth,false,10,19,4,14,1.5,1.5,1,1,14,0.8,1,2.3,2,0.0,0,2.3,2.3,31.1,28,−3.1,748,44,14,12
Brighton,Liverpool,false,10,13,5,7,0.9,0.9,1,1,10,0.8,1,1.5,2,0.1,0,1.7,1.7,39.2,31,−8.2,635,23,12,8
Southampton,Everton,true,10,9,2,8,0.7,0.7,1,1,8,0.7,1,1.5,0,0.1,1,1.4,1.4,29.6,57,27.4,736,21,17,5
West Ham,Nottingham Forest,false,10,4,1,2,0.1,0.1,0,0,2,0.0,0,2.3,3,0.1,0,0.1,0.1,14.9,12,−2.9,529,9,11,2
Tottenham,Aston Villa,true,10,16,6,8,2.4,2.4,4,4,10,2.2,3,1.9,1,0.0,0,4.6,4.6,44.3,57,12.7,560,22,14,2
Newcastle United,Arsenal,true,10,9,4,7,0.5,0.5,1,1,7,0.4,1,1.0,0,0.3,1,0.9,0.9,33.0,59,26.0,425,16,6,5
Fulham,Brentford,true,10,26,12,16,1.5,1.5,2,2,19,0.8,2,0.6,1,0.4,0,2.3,2.3,47.8,45,−2.8,803,41,23,12
Nottingham Forest,West Ham,true,10,19,6,9,2.3,2.3,3,3,14,1.5,2,0.1,0,0.9,1,3.8,3.8,69.5,78,8.5,606,31,12,9
Everton,Southampton,false,10,16,5,10,1.5,1.5,0,0,9,1.3,0,0.7,1,0.6,0,2.8,2.8,53.4,23,−30.4,437,24,17,5
Wolverhampton Wanderers,Crystal Palace,true,10,11,6,7,1.6,1.6,2,2,9,1.5,2,2.6,2,0.0,0,3.1,3.1,33.2,41,7.8,654,20,7,1
