Team,vs Team,Home?,Gameweek,Shots,SoT,SiB,xG,npxG,G,npG,CC,xA,A,xGC,GC,xCS,CS,xGI,npxGI,xP,P,P vs xP,T,TPA,C 1/3,C PA
Liverpool,Newcastle United,true,27,12,3,9,1.5,1.5,2,2,12,1.3,2,0.2,0,0.6,1,2.8,2.8,58.9,85,26.1,733,26,12,8
Manchester City,Tottenham,false,27,12,5,8,2.1,2.1,1,1,8,1.6,0,1.1,0,0.2,1,3.7,3.7,53.7,69,15.3,564,26,13,7
West Ham,Newcastle United,true,28,9,2,4,0.4,0.4,0,0,6,0.0,0,1.5,1,0.1,0,0.4,0.4,33.1,28,−5.1,609,17,9,4
Liverpool,Southampton,true,28,28,7,23,3.9,2.4,3,1,22,2.2,1,0.3,1,0.6,0,6.1,4.6,66.3,59,−7.3,813,51,22,16
Arsenal,Manchester United,false,28,17,6,9,1.7,1.7,1,1,12,1.2,1,1.7,1,0.2,0,2.9,2.9,42.7,39,−3.7,736,30,23,7
Leicester,Chelsea,false,28,3,3,1,0.1,0.1,0,0,2,0.0,0,1.8,1,0.1,0,0.1,0.1,31.7,35,3.3,565,4,10,1
Wolverhampton Wanderers,Everton,true,28,11,3,5,0.6,0.6,1,1,8,0.3,1,1.3,1,0.2,0,0.9,0.9,34.2,40,5.8,742,16,12,1
Fulham,Brighton,false,28,6,1,6,0.9,0.9,1,1,5,0.9,1,1.5,2,0.1,0,1.8,1.8,34.4,28,−6.4,598,12,10,3
Manchester City,Nottingham Forest,false,28,14,3,6,1.0,1.0,0,0,10,0.6,0,0.7,1,0.6,0,1.6,1.6,49.7,29,−20.7,752,24,19,13
Manchester United,Arsenal,true,28,10,6,6,1.7,1.7,1,1,8,1.0,0,1.7,1,0.1,0,2.7,2.7,41.9,44,2.1,417,17,7,3
Aston Villa,Brentford,false,28,12,4,10,1.3,1.3,1,1,7,1.0,1,0.4,0,0.5,1,2.3,2.3,51.4,70,18.6,459,18,11,4
Crystal Palace,Ipswich,true,28,19,4,14,3.4,3.4,1,1,14,2.3,0,1.2,0,0.1,1,5.7,5.7,54.4,72,17.6,604,24,15,5
Southampton,Liverpool,false,28,6,4,3,0.3,0.3,1,1,5,0.2,0,3.9,3,0.0,0,0.5,0.5,25.1,29,3.9,405,7,7,2
Brentford,Aston Villa,true,28,13,3,7,0.4,0.4,0,0,9,0.5,0,1.3,1,0.2,0,0.9,0.9,31.4,23,−8.4,619,33,10,10
Nottingham Forest,Manchester City,true,28,9,4,6,0.7,0.7,1,1,9,0.7,1,1.0,0,0.5,1,1.4,1.4,42.1,72,29.9,409,19,6,4
Tottenham,Bournemouth,true,28,12,4,8,1.5,0.7,2,1,10,0.7,1,2.8,2,0.1,0,2.2,1.4,31.1,46,14.9,698,22,13,9
Newcastle United,West Ham,false,28,9,3,6,1.5,1.5,1,1,8,1.0,1,0.4,0,0.3,1,2.5,2.5,48.8,72,23.2,602,27,15,7
Everton,Wolverhampton Wanderers,false,28,12,4,7,1.3,1.3,1,1,10,1.1,1,0.6,1,0.4,0,2.4,2.4,48.5,39,−9.5,462,16,6,3
Ipswich,Crystal Palace,false,28,15,7,9,1.2,1.2,0,0,11,0.5,0,3.4,1,0.0,0,1.7,1.7,29.1,28,−1.1,522,16,9,3
Brighton,Fulham,true,28,9,4,8,1.5,0.8,2,1,6,0.6,1,0.9,1,0.4,0,2.1,1.4,48.1,52,3.9,675,29,17,5
