Team,vs Team,Home?,Gameweek,Shots,SoT,SiB,xG,npxG,G,npG,CC,xA,A,xGC,GC,xCS,CS,xGI,npxGI,xP,P,P vs xP,T,TPA,C 1/3,C PA,team_id,vs_team_id
Tottenham,Aston Villa,false,37,3,1,2,0.3,0.3,0,0,2,0.3,0,1.7,2,0.1,0,0.6,0.6,30.9,20,−10.9,408,8,10,6,18,2
Brighton,Liverpool,true,37,25,12,17,2.3,2.3,3,3,19,2.1,2,2.2,2,0.0,0,4.4,4.4,41.3,69,27.7,597,58,18,17,5,12
Southampton,Everton,false,37,6,2,5,1.2,1.2,0,0,3,0.8,0,2.7,2,0.0,0,2.0,2.0,25.5,17,−8.5,661,15,7,4,17,8
Fulham,Brentford,false,37,16,7,9,0.9,0.9,3,3,9,0.4,1,3.0,2,0.0,0,1.3,1.3,23.4,56,32.6,517,16,10,0,9,4
Crystal Palace,Wolverhampton Wanderers,true,37,14,10,11,1.5,1.5,4,4,12,1.6,3,1.4,2,0.2,0,3.1,3.1,45.4,64,18.6,437,19,8,5,7,20
Chelsea,Manchester United,true,37,11,3,6,0.8,0.8,1,1,6,0.6,1,0.3,0,0.7,1,1.4,1.4,53.3,73,19.7,551,16,13,6,6,14
Ipswich,Leicester,false,37,20,2,16,1.6,1.6,0,0,17,1.4,0,0.7,2,0.4,0,3.0,3.0,55.9,22,−33.9,576,29,19,4,10,11
Leicester,Ipswich,true,37,9,3,8,0.7,0.7,2,2,7,0.6,2,1.6,0,0.2,1,1.3,1.3,36.7,83,46.3,569,11,6,3,11,10
Liverpool,Brighton,false,37,18,5,12,2.2,2.2,2,2,14,2.0,2,2.3,3,0.1,0,4.2,4.2,48.7,45,−3.7,609,38,15,12,12,5
Nottingham Forest,West Ham,false,37,10,5,7,1.9,1.9,2,2,7,0.9,1,0.7,1,0.4,0,2.8,2.8,53.6,55,1.4,518,27,7,5,16,19
Arsenal,Newcastle United,true,37,12,4,7,0.6,0.6,1,1,12,0.5,1,1.5,0,0.1,1,1.1,1.1,28.5,65,36.5,569,32,21,10,1,15
Wolverhampton Wanderers,Crystal Palace,false,37,12,3,8,1.4,1.4,2,2,11,1.4,2,1.5,4,0.1,0,2.8,2.8,41.1,35,−6.1,743,19,14,1,20,7
Manchester United,Chelsea,false,37,5,1,5,0.3,0.3,0,0,5,0.3,0,0.8,1,0.2,0,0.6,0.6,28.3,22,−6.3,587,11,4,6,14,6
Newcastle United,Arsenal,false,37,14,5,10,1.5,1.5,0,0,11,1.2,0,0.6,1,0.2,0,2.7,2.7,47.9,24,−23.9,533,30,17,8,15,1
Manchester City,Bournemouth,true,37,12,5,5,1.5,1.5,3,3,8,1.3,3,1.0,1,0.3,0,2.8,2.8,46.2,63,16.8,725,18,15,6,13,3
Everton,Southampton,true,37,13,4,13,2.7,2.7,2,2,9,2.5,1,1.2,0,0.2,1,5.2,5.2,56.2,78,21.8,658,31,14,1,8,17
Aston Villa,Tottenham,true,37,18,7,11,1.7,1.7,2,2,12,1.2,2,0.3,0,0.5,1,2.9,2.9,55.6,82,26.4,689,37,26,5,2,18
West Ham,Nottingham Forest,true,37,16,5,13,0.7,0.7,1,1,10,0.6,0,1.9,2,0.1,0,1.3,1.3,25.0,20,−5.0,685,29,9,3,19,16
Brentford,Fulham,true,37,11,5,10,3.0,2.2,2,2,6,1.2,1,0.9,3,0.1,0,4.2,3.4,49.6,36,−13.6,502,31,13,7,4,9
Bournemouth,Manchester City,false,37,8,2,6,1.0,1.0,1,1,5,0.8,0,1.5,3,0.1,0,1.8,1.8,29.6,20,−9.6,553,16,17,3,3,13
