team,wins,draws,losses,goals_for,goals_against,goal_difference,points,points_per_match,xGA,xGD,xGD/90,npxG,progressive_carries,progressive_passes,goals/90,xG/90,xAG/90,xG_plus_xAG/90,npxG/90,npxG_plus_xAG/90,shots,shots_on_target,shots_on_target_percentage,shots/90,shots_on_target/90,goals/shots,goals/shots_on_target,npxG/shot,goals_minus_xG,shot_creating_actions,shot_creating_actions/90,passes_led_to_shot,passes_dead_led_to_shot,takeons_led_to_shot,shots_led_to_shot,fouls_drawn_led_to_shot,defensive_actions_led_to_shot,goal_creating_actions,goal_creating_actions/90,passes_led_to_goal,passes_dead_led_to_goal,takeons_led_to_goal,shots_led_to_goal,fouls_drawn_led_to_goal,defensive_actions_led_to_goal,players_tackled,tackles_won,tackles_in_defensive_3rd,tackles_in_mid_3rd,tackles_in_attacking_3rd,dribblers_tackled,dribblers_tackles_attempted,dribblers_tackles_percentage,dribblers_tackles_lost,blocks,shots_blocked,passes_blocked,interceptions,tackles_plus_interceptions,clearances,errors,touches,touches_in_defensive_penalty_area,touches_in_defensive_third,touches_in_midfield_third,touches_in_attacking_third,touches_in_attacking_penalty_area,live,takeons_attempted,takeons_successful,takeons_successful_percentage,tackled_during_takeon,tackled_during_takeon_percentage,carries,total_distance_carried,progressive_carry_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received
Brighton,12,12,14,55,62,-7,48,1.26,55.4,+1.4,+0.04,52.2,864,1780,1.32,1.49,1.09,2.59,1.37,2.47,781,263,33.7,20.55,6.92,0.09,0.28,0.11,-7.8,1388,36.53,1045,116,66,101,43,17,131,3.45,96,8,9,10,7,1,677,418,274,290,113,341,768,44.4,427,475,108,367,292,969,583,19,28764,2193,7390,13756,7869,1422,28755,737,331,44.9,331,44.9,17894,92424,48244,694,295,574,407,20230,2091
Bournemouth,13,9,16,54,67,-13,48,1.26,58.1,-2.2,-0.06,53.6,709,1314,1.37,1.47,1.06,2.54,1.41,2.47,427,134,31.4,11.24,3.53,0.10,0.33,0.09,+6.6,749,19.71,504,73,59,55,46,12,81,2.13,46,7,6,16,6,0,654,368,330,236,88,299,616,48.5,317,493,183,310,325,979,916,21,19655,2630,7028,7905,4964,780,19650,771,354,45.9,331,42.9,10069,59965,29815,480,169,580,385,10911,1094
Fulham,13,8,17,55,61,-6,47,1.24,62.9,-12.1,-0.32,49.2,670,1467,1.42,1.34,0.99,2.33,1.30,2.29,683,264,38.7,17.97,6.95,0.12,0.32,0.11,+13.5,1259,33.13,991,65,65,67,54,17,169,4.45,125,5,14,10,13,2,517,305,183,221,113,222,458,48.5,236,353,75,278,233,750,457,17,31414,2162,7012,14348,10260,1466,31404,731,377,51.6,282,38.6,20210,105397,58071,867,415,441,356,24343,2032
Wolves,13,7,18,50,65,-15,46,1.21,67.7,-21.0,-0.55,43.6,671,1180,1.24,1.23,0.84,2.07,1.15,1.98,543,182,33.5,14.29,4.79,0.09,0.28,0.10,+0.5,989,26.03,743,79,55,52,38,22,98,2.58,68,4,8,7,6,5,676,409,334,240,102,349,715,48.8,366,534,207,327,313,989,884,12,23998,2938,8197,9856,6146,1025,23991,697,311,44.6,303,43.5,13979,75358,39599,523,274,484,342,15597,1468
Everton,13,9,16,40,51,-11,40,1.05,55.2,-1.2,-0.03,51.6,495,1129,1.05,1.42,1.00,2.43,1.36,2.36,542,196,36.2,14.26,5.16,0.14,0.38,0.13,+7.0,983,25.87,713,69,72,67,46,16,144,3.79,90,7,18,13,13,3,661,391,316,254,91,302,681,44.3,379,497,151,346,285,946,682,16,24004,2447,8084,10144,6004,1094,23996,730,355,48.6,288,39.5,13650,73461,36585,507,243,506,400,15994,1545
Brentford,10,9,19,56,65,-9,39,1.03,56.0,+2.2,+0.06,56.0,505,1283,1.42,1.53,1.12,2.66,1.47,2.60,450,143,31.8,11.84,3.76,0.11,0.34,0.11,-0.9,783,20.61,566,67,49,56,32,13,90,2.37,70,5,7,3,3,2,728,430,437,219,72,326,609,53.5,283,489,168,321,331,1059,968,13,20126,2493,7339,8320,4686,785,20125,604,275,45.5,268,44.4,10217,54749,29182,394,155,527,286,11784,1123
Nott'ham Forest,9,9,20,49,67,-18,32,0.84,53.3,-3.4,-0.09,49.1,601,1141,1.29,1.31,1.00,2.31,1.29,2.29,360,117,32.5,9.47,3.08,0.07,0.22,0.10,-7.3,601,15.82,425,59,39,45,22,11,48,1.26,32,2,4,6,3,1,709,405,375,248,86,299,635,47.1,336,514,180,334,348,1057,1042,18,17951,2817,7156,7145,3830,646,17946,581,251,43.2,286,49.2,8332,43412,20412,287,128,489,322,9458,875
Luton Town,6,8,24,52,85,-33,26,0.68,78.0,-35.5,-0.94,38.6,675,1113,1.29,1.12,0.78,1.89,1.02,1.79,582,207,35.6,15.32,5.45,0.12,0.32,0.12,+0.8,1053,27.71,818,60,60,61,31,23,122,3.21,96,7,7,5,3,4,724,451,335,264,125,360,691,52.1,331,445,132,313,355,1079,707,24,28529,2791,8520,12260,8010,1316,28527,812,359,44.2,363,44.7,18087,92824,46598,634,349,559,375,20484,2097
Burnley,5,9,24,41,78,-37,24,0.63,70.4,-29.7,-0.78,38.3,727,1181,1.05,1.07,0.78,1.85,1.01,1.79,445,146,32.8,11.71,3.84,0.12,0.37,0.11,+5.7,782,20.58,518,91,58,43,47,25,104,2.74,70,11,8,8,4,3,684,426,350,254,80,307,607,50.6,300,487,180,307,361,1045,906,9,20875,2605,7301,9100,4692,750,20869,745,353,47.4,321,43.1,11184,60658,28802,369,168,515,397,12459,1192
Sheffield Utd,3,7,28,35,104,-69,16,0.42,76.6,-38.3,-1.01,34.5,346,884,0.82,1.01,0.68,1.69,0.91,1.59,425,153,36.0,11.18,4.03,0.10,0.28,0.11,+0.3,743,19.55,519,67,53,47,42,15,81,2.13,52,7,7,6,7,2,739,430,415,247,77,312,607,51.4,295,506,173,333,284,1023,828,16,23487,2823,8674,10264,4804,739,23483,823,415,50.4,324,39.4,13055,71341,36731,519,168,536,389,15352,1163
