goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocked_shots,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,team_id,opponent_team_id,was_home,shots_against,shots_on_target_against,goals_conceded,sca_against,gca_against,xGC,npxGC,key_passes_against,passes_into_penalty_area_against,gw
4,4,0,0,24,7,0,0,870,16,2,5,2.5,2.5,1.9,42,7,707,790,89.5,79,583,34,8,2,11341,3017,367,384,95.6,286,319,89.7,42,60,70.0,2.2,20,50,29,2,12,3,7,6,8,13,61.5,5,2,3,18,7,0,33,142,315,416,68,870,25.0,5,62.5,2766,1517,21,16,9,10,703,79,1,10,False,4,0,0,8,0,0.2,0.2,3,4,33
0,0,0,0,12,2,2,0,707,30,7,9,1.3,1.3,1.1,24,0,512,603,84.9,45,398,26,17,9,8089,2413,272,298,91.3,184,203,90.6,38,66,57.6,1.1,7,42,9,1,19,17,10,3,16,26,61.5,10,1,8,37,16,0,47,210,267,236,25,707,52.9,8,47.1,2032,1115,19,8,19,13,510,44,14,20,True,4,2,1,8,2,0.2,0.2,3,3,33
1,0,0,0,4,2,3,0,528,21,7,9,0.2,0.2,0.1,8,2,332,415,80.0,15,310,9,27,10,5086,1819,177,195,90.8,105,118,89.0,25,54,46.3,0.3,3,14,3,0,10,6,13,2,8,17,47.1,9,4,5,28,28,0,71,186,242,107,7,528,37.0,16,59.3,1436,535,12,2,13,14,328,15,20,14,False,12,2,0,24,0,1.3,1.3,7,9,33
0,0,0,0,5,0,1,0,534,17,7,11,0.3,0.3,0.2,9,0,313,413,75.8,12,317,11,12,2,4863,1748,170,188,90.4,111,128,86.7,20,72,27.8,0.2,3,15,2,1,14,7,8,2,8,18,44.4,10,8,3,24,42,1,106,248,221,66,13,534,16.7,8,66.7,1277,493,4,4,10,8,313,12,11,12,True,28,8,1,50,1,2.6,2.6,20,17,33
1,0,0,0,28,8,2,0,675,16,10,6,2.6,2.6,1.6,50,1,467,562,83.1,63,376,22,20,10,8175,2694,206,228,90.4,207,240,86.3,43,77,55.8,2.0,20,46,17,6,12,7,8,1,8,10,80.0,2,1,5,26,22,0,36,142,322,219,45,675,50.0,8,40.0,1963,1053,13,5,14,9,463,63,12,11,False,5,0,0,9,0,0.3,0.3,3,2,33
1,1,0,0,22,5,1,0,721,14,7,3,2.1,2.1,1.6,43,2,508,607,83.7,64,421,43,29,8,9576,2788,179,206,86.9,283,314,90.1,44,73,60.3,1.7,15,52,17,8,10,7,4,3,5,11,45.5,6,0,3,21,18,1,22,132,338,256,42,721,27.6,19,65.5,2567,1678,21,4,16,11,505,64,18,16,True,4,3,2,7,3,0.5,0.5,4,2,33
2,2,0,0,4,3,4,0,422,30,9,10,0.5,0.5,0.5,7,3,185,275,67.3,11,162,7,11,6,3516,1434,73,86,84.9,76,104,73.1,26,65,40.0,0.4,4,20,2,1,17,21,7,2,19,27,70.4,8,5,5,39,58,1,93,200,158,69,3,422,54.5,5,45.5,803,391,4,1,12,9,184,11,16,18,False,22,5,1,43,2,2.1,2.1,15,17,33
2,1,0,0,14,6,3,0,635,12,4,16,1.3,1.3,1.0,25,4,466,536,86.9,35,413,24,16,7,8090,2347,217,234,92.7,209,227,92.1,38,67,56.7,1.4,11,46,8,3,7,4,8,0,4,10,40.0,6,1,15,16,15,0,56,150,287,204,24,635,43.8,7,43.8,2592,1346,22,5,14,8,462,34,13,2,True,6,2,1,12,1,1.8,1.0,5,5,33
1,0,1,1,6,2,3,0,429,15,4,4,1.8,1.0,0.9,12,1,272,342,79.5,23,185,13,11,6,5207,1987,112,120,93.3,123,140,87.9,34,61,55.7,0.5,5,13,5,1,11,8,5,2,7,14,50.0,7,2,2,19,24,0,97,220,136,75,23,428,54.5,4,36.4,1325,695,8,4,20,8,266,22,2,13,False,14,6,2,25,4,1.3,1.3,11,8,33
2,2,0,0,12,4,1,0,834,7,8,11,1.2,1.2,0.6,21,4,678,745,91.0,46,544,16,11,4,11485,2642,276,293,94.2,379,403,94.0,22,40,55.0,0.8,9,52,6,1,5,2,4,1,3,10,30.0,7,5,6,15,19,3,52,200,480,157,23,834,36.4,5,45.5,2963,1684,17,4,12,11,678,46,1,7,True,15,4,2,26,3,1.8,1.8,12,9,33
2,1,0,0,15,4,1,0,464,16,9,9,1.8,1.8,1.6,26,3,297,367,80.9,23,278,10,10,7,5600,2146,132,150,88.0,123,140,87.9,38,63,60.3,1.4,12,24,9,2,10,6,8,2,5,9,55.6,4,3,6,25,25,0,58,165,203,101,25,464,70.0,3,30.0,1215,562,8,2,10,4,295,23,7,1,False,12,4,2,21,4,1.2,1.2,9,6,33
