goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocked_shots,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,team_id,opponent_team_id,was_home,shots_against,shots_on_target_against,goals_conceded,sca_against,gca_against,xGC,npxGC,key_passes_against,passes_into_penalty_area_against,gw
1,1,0,0,9,4,4,0,425,23,6,9,0.5,0.5,0.4,18,2,218,321,67.9,24,208,10,10,6,3658,1497,106,122,86.9,91,115,79.1,17,67,25.4,0.7,7,16,5,1,15,13,8,2,10,13,76.9,3,4,5,29,26,0,64,185,145,96,16,425,60.0,3,30.0,1108,512,6,5,9,14,215,24,15,1,True,10,0,0,19,0,1.1,1.1,9,13,10
0,0,0,0,10,0,4,0,659,17,6,16,1.1,1.1,1.1,19,0,463,554,83.6,55,372,15,17,3,7662,2338,220,242,90.9,198,222,89.2,33,64,51.6,1.7,9,38,13,3,10,5,8,4,3,9,33.3,6,3,13,23,18,0,45,159,293,213,29,659,17.6,10,58.8,2036,1022,17,5,13,13,460,55,1,15,False,9,4,1,18,2,0.5,0.5,7,5,10
2,2,0,0,16,8,1,0,602,28,10,12,1.6,1.6,1.3,30,4,389,483,80.5,37,315,17,16,8,6831,2530,174,197,88.3,176,202,87.1,33,66,50.0,1.0,12,30,11,2,19,15,10,3,17,25,68.0,8,4,8,38,15,0,62,203,287,116,28,602,50.0,8,50.0,1627,826,7,6,13,10,387,37,12,5,True,13,5,1,22,2,1.0,1.0,10,8,10
1,1,0,0,13,5,1,0,635,18,9,12,1.0,1.0,0.8,22,2,429,505,85.0,42,321,19,26,8,7227,2337,211,227,93.0,169,187,90.4,38,66,57.6,1.0,10,31,8,3,13,6,10,2,8,16,50.0,8,6,6,27,27,0,85,231,270,139,23,635,30.8,17,65.4,1892,1048,12,8,17,11,427,42,5,12,False,16,8,2,30,4,1.6,1.6,12,11,10
1,1,0,0,9,2,4,0,736,14,7,6,0.7,0.7,0.7,17,2,559,626,89.3,42,522,18,26,12,9582,3336,249,265,94.0,257,281,91.5,40,58,69.0,0.8,9,43,8,2,8,8,5,1,4,15,26.7,11,3,3,21,25,2,101,301,292,149,21,736,46.2,12,46.2,2116,1159,17,5,16,9,554,42,17,8,True,16,5,0,28,0,1.6,1.6,9,5,10
0,0,0,0,16,5,2,0,437,21,8,6,1.6,1.6,1.4,28,0,263,340,77.4,24,202,17,17,11,4987,1871,113,129,87.6,116,131,88.5,31,70,44.3,0.9,9,21,5,3,8,12,6,3,12,24,50.0,12,2,4,29,17,0,47,142,181,123,24,437,64.7,4,23.5,1088,580,17,5,11,10,261,24,8,17,False,9,2,1,17,2,0.7,0.7,9,8,10
3,2,0,0,19,6,1,0,606,18,6,7,2.2,2.2,1.7,34,5,397,489,81.2,45,369,23,12,6,6312,2296,225,249,90.4,122,148,82.4,34,63,54.0,1.5,14,32,8,0,12,10,6,2,7,17,41.2,10,1,6,24,25,0,36,169,209,231,31,606,50.0,4,33.3,1640,926,12,9,17,9,396,45,16,19,True,4,1,0,5,0,0.1,0.1,2,3,10
0,0,0,0,4,1,4,1,529,13,11,9,0.1,0.1,0.0,5,0,326,423,77.1,20,300,17,20,10,5783,1864,139,166,83.7,160,177,90.4,23,62,37.1,0.3,2,17,3,1,11,9,2,2,4,10,40.0,6,3,6,24,32,1,73,212,214,112,9,529,50.0,7,35.0,1696,896,11,2,9,11,323,20,19,16,False,19,6,3,34,5,2.2,2.2,14,8,10
1,1,0,0,14,2,6,1,487,16,9,16,1.0,1.0,0.9,26,2,266,359,74.1,23,222,13,20,8,4291,1574,141,158,89.2,102,122,83.6,17,57,29.8,0.9,10,25,3,0,7,6,8,2,12,24,50.0,12,9,7,25,23,0,71,179,166,145,24,487,40.0,11,55.0,1304,566,6,7,16,10,265,23,10,11,True,20,5,1,33,2,1.5,1.5,14,8,10
1,1,0,0,20,5,2,0,596,21,4,13,1.5,1.5,1.2,33,2,372,475,78.3,37,352,25,26,12,6774,2007,147,168,87.5,183,203,90.1,36,83,43.4,1.6,14,28,8,2,11,16,2,3,11,19,57.9,8,6,7,25,18,1,72,192,274,139,40,596,46.2,12,46.2,1858,986,12,12,14,4,369,37,11,10,False,14,2,1,26,2,1.0,1.0,10,3,10
2,2,0,0,12,6,2,0,480,16,12,8,2.1,2.1,1.2,20,4,297,362,82.0,26,273,19,20,11,5904,2390,126,139,90.6,119,132,90.2,45,73,61.6,1.0,10,33,7,3,12,9,7,0,6,12,50.0,6,4,4,28,39,0,82,172,197,119,22,480,55.0,5,25.0,1555,754,12,8,13,9,295,25,3,13,True,18,4,1,34,2,1.6,1.6,13,13,10
