goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocked_shots,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,team_id,opponent_team_id,was_home,shots_against,shots_on_target_against,goals_conceded,sca_against,gca_against,xGC,npxGC,key_passes_against,passes_into_penalty_area_against,gw
1,1,0,0,13,4,1,0,622,25,9,17,0.9,0.9,0.7,22,2,397,512,77.5,46,381,23,18,5,6215,2133,212,240,88.3,147,182,80.8,25,55,45.5,1.0,9,33,14,3,20,9,13,3,10,17,58.8,7,7,10,34,17,3,63,179,262,191,24,622,27.8,6,33.3,2180,1042,19,3,4,11,394,46,18,15,True,14,4,2,25,3,2.5,2.5,12,10,20
2,2,0,0,14,4,4,0,521,17,9,9,2.5,2.5,2.3,25,3,308,400,77.0,40,292,23,21,7,4781,1970,179,206,86.9,90,114,78.9,28,54,51.9,1.0,12,24,10,0,10,5,8,4,6,11,54.5,5,3,6,26,35,0,57,172,211,146,27,521,33.3,10,47.6,1555,767,12,8,5,15,307,40,15,18,False,13,4,1,22,2,0.9,0.9,9,14,20
2,1,0,0,13,5,0,0,751,19,10,7,1.6,1.6,1.0,23,4,574,657,87.4,43,461,14,15,6,9605,2549,285,305,93.4,249,270,92.2,33,53,62.3,1.1,7,34,10,3,11,3,14,2,10,15,66.7,5,0,7,29,15,1,47,159,424,174,23,751,40.0,9,60.0,2505,1142,14,5,6,13,566,43,2,11,True,4,2,1,5,1,0.4,0.4,2,3,20
1,0,0,0,4,2,1,0,538,22,11,11,0.4,0.4,0.2,5,1,352,430,81.9,25,315,10,18,5,5419,1840,194,211,91.9,133,153,86.9,18,47,38.3,0.4,2,18,3,2,12,9,12,1,9,15,60.0,6,5,6,33,20,1,60,197,265,79,10,538,27.8,10,55.6,1506,692,11,3,15,9,349,24,11,2,False,13,5,2,23,4,1.6,1.6,7,10,20
1,1,0,0,19,8,2,0,623,15,10,6,1.8,1.8,1.4,30,2,369,502,73.5,48,308,24,11,7,6648,2542,151,184,82.1,162,197,82.2,43,89,48.3,1.2,14,32,16,5,12,7,6,2,5,18,27.8,13,0,6,25,35,0,62,181,274,174,35,623,63.6,4,36.4,1607,913,13,6,10,12,365,48,3,8,True,9,0,0,12,0,0.7,0.7,6,6,20
0,0,0,0,9,0,2,0,505,16,13,10,0.7,0.7,0.3,12,0,239,371,64.4,21,193,6,20,13,4295,2022,119,145,82.1,75,114,65.8,33,85,38.8,0.2,6,18,6,1,10,8,6,2,4,11,36.4,7,4,6,29,32,1,71,175,194,148,16,505,65.0,5,25.0,1030,438,10,2,19,10,237,20,8,3,False,19,8,1,30,2,1.8,1.8,14,16,20
1,1,0,0,13,6,0,0,501,26,7,17,1.1,1.1,1.0,25,2,283,385,73.5,24,243,10,10,4,5800,2314,112,132,84.8,120,148,81.1,46,82,56.1,0.5,10,23,9,2,16,16,7,3,11,17,64.7,6,4,13,33,18,0,79,232,186,88,20,501,40.0,5,50.0,1163,531,5,1,7,7,282,24,7,6,True,15,1,1,27,2,1.2,1.2,13,12,20
1,1,0,0,15,1,2,0,710,12,8,12,1.2,1.2,1.2,27,2,516,608,84.9,50,450,25,18,6,9538,3031,211,234,90.2,227,245,92.7,66,99,66.7,0.8,13,42,12,2,5,5,3,4,5,9,55.6,4,5,7,20,15,2,56,179,349,188,28,710,33.3,11,61.1,2772,1583,18,7,14,15,513,50,6,7,False,13,6,1,25,2,1.1,1.1,10,9,20
0,0,0,0,8,1,2,0,592,15,4,11,0.3,0.3,0.3,16,0,412,494,83.4,41,331,18,24,12,7056,2411,208,228,91.2,167,191,87.4,34,64,53.1,0.4,7,29,8,1,8,5,9,1,7,12,58.3,5,3,8,19,22,5,67,182,250,163,19,592,50.0,11,45.8,1641,852,17,4,12,9,409,41,17,4,True,19,9,5,35,7,4.4,3.7,16,14,20
5,3,1,1,19,9,0,0,582,20,5,6,4.4,3.7,3.0,35,7,409,487,84.0,38,370,21,14,5,6502,2439,206,227,90.7,158,178,88.8,27,53,50.9,1.6,16,35,14,0,11,11,7,2,11,23,47.8,12,2,4,25,17,0,68,196,217,175,35,581,35.7,7,50.0,1906,1001,11,8,7,8,399,38,4,17,False,8,1,0,16,0,0.3,0.3,7,8,20
3,3,0,0,10,7,2,0,673,12,6,9,1.9,1.9,1.9,19,5,510,583,87.5,41,391,21,12,6,8479,2521,244,267,91.4,238,259,91.9,27,47,57.4,1.1,9,30,7,1,8,5,5,2,9,15,60.0,6,3,6,18,18,0,65,192,330,157,26,673,50.0,3,25.0,2357,1163,19,5,17,10,500,40,13,19,True,17,4,1,33,2,1.4,1.4,15,13,20
1,1,0,0,17,4,1,0,567,13,7,11,1.4,1.4,1.3,33,2,394,465,84.7,31,286,19,17,6,7031,2368,188,207,90.8,162,183,88.5,40,59,67.8,1.1,15,24,13,6,9,7,4,2,3,9,33.3,6,3,8,20,18,2,89,254,204,111,23,567,35.3,9,52.9,1234,610,8,4,16,3,394,31,19,13,False,10,7,3,19,5,1.9,1.9,9,7,20
1,0,1,1,10,3,2,0,547,11,8,8,1.5,0.7,0.6,19,1,379,451,84.0,32,346,18,24,12,6935,1821,139,155,89.7,202,229,88.2,29,52,55.8,0.6,6,23,4,1,10,8,2,1,6,13,46.2,7,2,6,19,23,0,74,219,227,114,16,546,50.0,9,37.5,2030,1095,14,4,13,5,375,31,5,1,True,9,3,1,18,2,0.9,0.9,9,7,20
1,1,0,0,9,3,3,0,638,14,5,4,0.9,0.9,0.9,18,2,473,555,85.2,39,378,24,15,7,7791,2702,248,263,94.3,187,207,90.3,35,64,54.7,0.9,9,39,7,0,7,7,6,1,9,21,42.9,12,3,1,19,9,1,63,236,263,142,22,638,46.7,6,40.0,1836,878,7,8,17,5,468,38,1,5,False,10,3,1,19,1,1.5,0.7,6,4,20
2,0,2,2,13,2,1,0,834,17,2,5,2.2,0.7,0.6,30,4,633,745,85.0,45,519,24,26,12,9988,2707,357,380,93.9,245,281,87.2,26,66,39.4,0.9,10,48,6,2,9,8,6,3,7,13,53.8,6,1,4,19,13,1,60,217,337,286,30,832,46.2,7,26.9,2655,1343,18,12,8,4,627,44,9,10,True,6,2,2,12,3,1.6,0.8,4,5,20
2,0,1,1,6,2,5,0,417,11,15,13,1.6,0.8,0.5,12,3,206,282,73.0,17,174,11,16,6,3702,1513,93,104,89.4,85,103,82.5,20,56,35.7,0.8,4,14,5,2,6,4,6,1,7,19,36.8,12,7,6,26,48,0,91,189,155,79,12,416,37.5,7,43.8,1165,551,9,2,12,10,205,17,10,9,False,13,2,2,30,4,2.2,0.7,10,6,20
2,1,1,1,18,5,2,0,625,6,14,16,2.8,2.0,1.5,35,3,388,477,81.3,43,323,24,23,13,6512,2289,187,205,91.2,166,194,85.6,27,61,44.3,1.2,12,39,7,0,2,1,5,0,5,15,33.3,10,8,8,20,26,0,60,170,285,175,31,624,56.5,9,39.1,1777,1057,15,10,19,11,386,43,12,14,True,13,4,2,20,3,1.1,1.1,8,9,20
2,1,0,0,13,4,4,0,547,20,13,9,1.1,1.1,0.7,20,3,307,427,71.9,31,260,21,17,10,5375,1988,147,175,84.0,109,132,82.6,40,81,49.4,1.2,8,15,9,3,8,10,6,4,9,22,40.9,13,4,5,33,26,0,65,185,240,131,31,547,58.8,5,29.4,1475,770,14,4,15,1,304,31,14,12,False,18,5,2,35,3,2.8,2.0,12,7,20
0,0,0,0,13,5,1,0,698,13,10,8,1.6,1.6,0.7,20,0,491,600,81.8,68,372,33,14,4,8919,2942,190,223,85.2,260,295,88.1,39,69,56.5,1.0,9,50,16,5,6,5,5,3,7,11,63.6,4,2,6,23,24,1,54,175,320,212,32,698,28.6,9,64.3,2438,1557,18,6,13,9,484,67,20,16,True,11,3,3,19,6,2.1,2.1,8,7,20
3,3,0,0,11,3,2,0,515,18,10,10,2.1,2.1,1.9,19,6,299,393,76.1,22,206,14,14,4,5331,2182,145,163,89.0,119,146,81.5,29,63,46.0,1.3,8,21,7,1,12,11,6,1,9,13,69.2,4,6,4,28,33,2,79,186,212,124,23,515,28.6,7,50.0,1313,684,11,3,13,6,298,22,16,20,False,13,5,0,20,0,1.6,1.6,9,16,20
