goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocked_shots,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,team_id,opponent_team_id,was_home,shots_against,shots_on_target_against,goals_conceded,sca_against,gca_against,xGC,npxGC,key_passes_against,passes_into_penalty_area_against,gw
3,2,0,0,4,3,3,0,547,13,7,14,1.0,1.0,0.8,4,2,356,442,80.5,20,238,6,16,10,6446,2544,169,197,85.8,143,158,90.5,41,70,58.6,0.2,2,19,1,0,9,4,9,0,4,8,50.0,4,6,8,20,30,1,87,250,249,50,7,547,62.5,3,18.8,1034,368,5,0,11,10,355,20,19,9,True,21,4,2,38,4,2.0,2.0,17,17,21
2,2,0,0,21,4,3,0,662,13,10,6,2.0,2.0,1.6,38,4,478,573,83.4,52,471,21,9,4,8739,2743,209,234,89.3,215,241,89.2,46,75,61.3,1.8,17,49,17,5,7,3,10,0,3,13,23.1,10,0,6,23,10,2,38,187,295,189,25,662,44.4,4,44.4,2314,1160,12,1,11,9,475,52,9,19,False,4,3,3,4,2,1.0,1.0,2,1,21
2,1,0,0,26,10,2,0,570,11,5,6,2.5,2.5,2.1,48,4,382,470,81.3,36,303,19,32,14,7186,2555,151,171,88.3,183,216,84.7,47,73,64.4,1.6,19,29,9,2,7,6,5,0,7,12,58.3,5,1,5,16,10,1,59,192,225,156,33,570,43.8,14,43.8,1775,930,6,9,16,2,378,35,6,3,True,6,2,2,14,4,1.2,0.4,6,3,21
2,1,1,1,6,2,3,0,468,16,10,11,1.2,0.4,0.4,14,4,273,358,76.3,24,252,17,15,5,5077,1615,98,114,86.0,134,152,88.2,31,71,43.7,0.5,6,20,3,1,9,8,8,0,14,28,50.0,14,9,2,26,28,2,69,191,190,92,19,467,33.3,7,46.7,1559,819,12,6,14,4,272,24,3,6,False,26,10,2,48,4,2.5,2.5,19,9,21
2,2,0,0,18,5,0,0,558,10,9,8,2.6,2.6,2.5,35,4,354,456,77.6,42,270,18,9,4,6409,2404,157,182,86.3,150,170,88.2,40,75,53.3,1.7,17,32,10,3,6,6,3,1,5,11,45.5,6,2,6,19,22,1,96,230,178,152,40,558,44.4,5,55.6,1593,895,8,9,11,7,346,42,4,13,True,21,8,2,38,3,2.2,2.2,20,19,21
2,1,0,0,21,8,0,0,669,12,9,11,2.2,2.2,2.0,38,3,472,557,84.7,38,419,33,12,6,7600,2657,259,287,90.2,156,178,87.6,38,61,62.3,1.5,20,22,19,3,6,4,6,2,5,9,55.6,4,4,7,21,32,0,88,205,176,297,44,669,50.0,5,41.7,2443,1381,28,12,11,5,462,37,13,4,False,18,5,2,35,4,2.6,2.6,17,10,21
1,1,0,0,6,3,2,0,428,20,9,18,0.3,0.3,0.2,9,2,168,268,62.7,15,119,18,18,6,3209,1637,80,99,80.8,59,87,67.8,24,66,36.4,0.2,3,11,2,0,15,14,4,2,13,17,76.5,4,7,11,29,59,0,94,206,138,92,15,428,33.3,7,38.9,879,538,5,8,17,3,165,15,16,12,True,23,6,1,42,2,2.0,2.0,17,23,21
1,1,0,0,23,6,1,0,745,10,2,5,2.0,2.0,1.6,42,2,508,617,82.3,90,395,28,19,4,8448,3083,254,278,91.4,197,239,82.4,45,71,63.4,2.0,17,60,23,4,4,4,5,1,7,13,53.8,6,2,3,12,32,0,40,128,339,285,50,745,21.1,13,68.4,2312,1477,20,7,17,7,485,90,12,16,False,6,3,1,9,2,0.3,0.3,3,2,21
0,0,0,0,21,4,0,0,763,18,9,4,1.7,1.7,1.5,36,0,549,656,83.7,42,368,24,19,10,9091,3230,261,283,92.2,246,281,87.5,33,64,51.6,1.4,17,40,12,4,11,7,10,1,8,20,40.0,12,1,3,27,19,1,62,222,375,172,28,763,52.6,7,36.8,2042,1025,17,8,13,10,547,42,11,7,True,9,4,2,13,4,1.8,1.8,7,8,21
2,2,0,0,9,4,0,0,593,17,9,10,1.8,1.8,1.7,13,4,375,485,77.3,29,335,14,22,12,6937,2493,163,198,82.3,175,205,85.4,36,69,52.2,0.8,7,24,8,1,12,5,10,2,7,17,41.2,10,6,4,26,28,2,79,214,276,112,18,593,54.5,8,36.4,1743,831,16,3,11,10,372,29,7,11,False,21,4,0,36,0,1.7,1.7,17,12,21
