goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocked_shots,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,team_id,opponent_team_id,was_home,shots_against,shots_on_target_against,goals_conceded,sca_against,gca_against,xGC,npxGC,key_passes_against,passes_into_penalty_area_against,gw
1,1,0,0,13,5,1,0,674,15,9,12,1.0,1.0,0.9,25,2,446,550,81.1,45,413,14,9,6,7746,2670,216,246,87.8,166,192,86.5,51,83,61.4,1.5,11,38,13,6,9,7,5,3,5,15,33.3,10,1,11,24,28,0,56,163,285,228,29,674,66.7,2,22.2,2073,1019,13,2,16,15,443,44,8,19,True,10,5,1,18,2,0.8,0.8,9,4,29
1,1,0,0,10,5,2,0,600,17,10,8,0.8,0.8,0.6,18,2,377,474,79.5,26,334,21,17,10,6007,2178,196,213,92.0,145,168,86.3,26,67,38.8,0.7,9,22,4,0,6,9,7,1,2,8,25.0,6,4,4,27,35,0,70,259,224,126,21,600,58.8,5,29.4,1618,766,13,5,16,10,377,26,19,8,False,13,5,1,25,2,1.0,1.0,11,13,29
1,0,0,0,10,3,0,0,739,14,4,8,1.4,1.4,0.7,19,1,564,645,87.4,49,531,27,37,18,9257,2378,263,284,92.6,255,273,93.4,30,58,51.7,1.1,9,41,7,1,10,7,6,1,7,11,63.6,4,0,8,18,10,0,29,154,392,203,23,739,48.6,12,32.4,3077,1585,20,4,11,15,563,49,17,20,True,5,3,2,10,4,0.4,0.4,5,7,29
2,2,0,0,5,3,0,0,557,27,9,9,0.4,0.4,0.4,10,4,368,437,84.2,24,324,18,13,4,5491,2007,193,208,92.8,132,147,89.8,20,44,45.5,0.3,5,22,7,2,17,15,11,1,12,30,40.0,18,4,5,36,35,0,57,200,281,86,12,557,30.8,7,53.8,1496,839,13,4,15,7,366,24,20,17,False,10,3,1,19,1,1.4,1.4,9,7,29
2,2,0,0,11,3,1,0,581,10,4,12,0.4,0.4,0.3,19,4,391,480,81.5,31,262,18,17,9,7212,2214,134,155,86.5,215,239,90.0,31,69,44.9,0.4,7,24,2,1,8,5,4,1,4,8,50.0,4,1,11,14,22,1,52,176,287,120,12,581,52.9,6,35.3,1756,1043,6,4,12,9,378,31,10,16,True,11,6,4,19,7,1.5,1.5,7,10,29
4,3,0,0,11,6,1,0,499,15,3,4,1.5,1.5,1.3,19,7,298,392,76.0,32,247,19,8,4,4957,1964,140,152,92.1,111,133,83.5,29,71,40.8,0.6,7,32,10,1,11,5,10,0,6,15,40.0,9,3,1,18,36,1,47,136,224,146,19,499,50.0,4,50.0,1340,660,14,6,20,6,297,31,16,10,False,11,3,2,19,4,0.4,0.4,7,2,29
2,1,1,1,10,2,2,0,657,17,4,14,1.7,0.9,0.8,18,3,443,535,82.8,36,379,24,42,21,7591,2270,211,234,90.2,202,224,90.2,26,54,48.1,0.9,8,31,12,2,11,8,9,0,6,12,50.0,6,2,12,21,29,2,68,183,308,172,31,656,50.0,14,33.3,2174,1134,17,8,8,13,438,36,13,5,True,15,3,1,28,2,2.0,2.0,11,11,29
1,0,0,0,15,3,5,0,495,27,10,5,2.0,2.0,1.7,28,2,272,363,74.9,23,187,12,18,6,4894,1752,121,135,89.6,106,129,82.2,34,68,50.0,0.9,11,10,11,3,15,18,7,2,14,35,40.0,21,1,4,37,28,2,74,214,173,112,26,495,33.3,6,33.3,869,476,11,5,13,11,269,23,5,13,False,10,2,2,18,3,1.7,0.9,8,12,29
0,0,0,0,17,5,3,0,666,16,9,5,1.7,1.7,1.6,33,0,422,539,78.3,43,359,22,16,6,7108,2250,195,217,89.9,183,214,85.5,34,81,42.0,1.8,16,37,19,8,11,11,4,1,10,17,58.8,7,1,4,25,35,0,52,191,241,240,42,666,37.5,10,62.5,1968,1163,23,9,10,8,414,42,3,4,True,10,4,2,17,2,0.8,0.8,7,8,29
2,1,0,0,10,4,0,0,519,18,8,14,0.8,0.8,0.6,17,2,261,386,67.6,34,187,12,18,7,4701,2380,117,157,74.5,91,118,77.1,36,75,48.0,0.8,7,27,8,0,10,7,7,4,10,16,62.5,6,5,9,26,39,0,76,209,165,147,26,519,38.9,10,55.6,955,424,6,5,12,6,255,34,4,3,False,17,5,0,33,0,1.7,1.7,16,19,29
