goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocked_shots,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,team_id,opponent_team_id,was_home,shots_against,shots_on_target_against,goals_conceded,sca_against,gca_against,xGC,npxGC,key_passes_against,passes_into_penalty_area_against,gw
2,2,0,0,16,4,3,1,678,15,9,7,2.1,2.1,1.9,27,4,498,586,85.0,49,419,18,23,12,8763,2920,233,244,95.5,198,236,83.9,54,77,70.1,1.4,12,52,10,3,9,2,8,5,9,16,56.3,7,4,3,24,8,0,52,178,330,176,32,678,52.2,10,43.5,2199,1252,11,6,15,5,496,49,12,9,True,12,3,2,24,4,1.2,1.2,10,6,16
2,2,0,0,12,3,4,0,481,15,7,11,1.2,1.2,1.1,24,4,295,371,79.5,30,243,22,19,7,5677,2106,127,139,91.4,119,140,85.0,43,75,57.3,0.7,10,17,6,2,8,11,3,1,10,22,45.5,12,5,6,22,30,1,85,223,184,82,17,481,36.8,9,47.4,1553,909,12,6,10,6,292,29,9,12,False,16,4,2,27,4,2.1,2.1,12,10,16
1,1,0,0,16,6,2,1,662,20,6,8,1.3,1.3,1.1,24,2,443,549,80.7,39,359,19,22,15,7589,2578,215,239,90.0,179,207,86.5,41,83,49.4,0.9,13,37,15,3,13,11,6,3,8,19,42.1,11,5,3,26,19,0,64,187,323,161,24,662,68.2,3,13.6,2363,1228,13,3,14,9,442,38,20,10,True,10,3,1,19,2,1.2,1.2,8,6,16
1,1,0,0,10,3,3,0,574,12,12,9,1.2,1.2,1.0,19,2,371,460,80.7,29,314,21,25,11,6784,2636,149,169,88.2,187,211,88.6,32,65,49.2,1.2,8,22,6,2,4,5,7,0,3,18,16.7,15,5,4,24,31,2,98,259,214,108,27,574,44.0,8,32.0,2009,985,12,9,15,12,368,28,10,20,False,16,6,1,24,2,1.3,1.3,13,15,16
4,3,0,0,27,11,3,0,788,8,6,17,3.8,3.8,2.8,52,8,578,668,86.5,61,525,20,25,11,9893,3294,272,302,90.1,256,291,88.0,44,61,72.1,2.2,22,43,13,2,5,3,2,3,4,12,33.3,8,3,14,14,15,0,44,237,337,224,50,788,44.0,11,44.0,2325,1093,14,11,12,12,573,60,15,11,True,4,1,0,8,0,0.2,0.2,3,6,16
0,0,0,0,4,1,3,0,576,23,13,10,0.2,0.2,0.2,8,0,361,466,77.5,25,353,11,12,8,5395,2017,210,234,89.7,116,139,83.5,23,57,40.4,0.3,3,15,6,0,6,8,11,4,11,22,50.0,11,7,3,36,25,2,81,216,256,104,10,576,66.7,4,33.3,1555,744,10,2,12,4,359,25,11,15,False,27,11,4,52,8,3.8,3.8,22,13,16
0,0,0,0,13,5,0,0,847,18,0,5,1.2,1.2,1.2,25,0,666,746,89.3,77,576,31,29,13,10614,2982,342,367,93.2,277,293,94.5,37,66,56.1,1.7,13,62,12,4,10,7,7,4,7,17,41.2,10,2,3,18,7,0,30,157,397,300,46,847,44.8,13,44.8,2903,1729,18,6,18,16,665,77,1,8,True,2,0,0,4,0,0.1,0.1,1,1,16
0,0,0,0,2,0,3,0,354,29,7,6,0.1,0.1,0.1,4,0,162,239,67.8,11,133,13,18,10,2942,1286,79,95,83.2,64,78,82.1,17,56,30.4,0.1,1,13,1,0,20,17,8,4,13,26,50.0,13,5,1,36,38,0,95,191,119,54,8,354,55.6,7,38.9,930,461,7,1,15,11,160,11,8,1,False,13,5,0,25,0,1.2,1.2,13,12,16
2,2,0,0,17,6,0,0,620,19,8,7,1.8,1.8,1.5,33,4,441,501,88.0,38,389,21,15,10,6455,2292,265,280,94.6,125,146,85.6,28,41,68.3,1.7,13,43,6,1,14,13,3,3,10,15,66.7,5,2,5,27,25,0,53,183,239,201,25,620,66.7,5,33.3,2137,1073,14,7,19,6,439,38,16,2,True,8,2,1,14,2,0.4,0.4,7,12,16
1,1,0,0,8,2,1,0,595,11,6,9,0.4,0.4,0.4,14,2,431,501,86.0,52,352,19,16,5,8044,2545,155,176,88.1,242,267,90.6,33,43,76.7,1.1,7,36,12,1,5,8,1,2,5,15,33.3,10,5,4,17,22,2,58,159,286,154,30,595,31.3,10,62.5,2219,1341,17,4,16,9,413,52,2,16,False,17,6,2,33,4,1.8,1.8,13,6,16
0,0,0,0,17,5,1,0,715,22,5,9,1.0,1.0,0.9,30,0,528,613,86.1,43,435,29,30,16,8964,2835,237,262,90.5,242,261,92.7,34,64,53.1,1.2,13,52,4,2,16,5,10,7,9,14,64.3,5,3,6,27,10,1,48,172,337,216,32,715,53.3,13,43.3,2698,1477,17,7,15,12,521,43,5,7,True,13,5,3,24,6,2.3,2.3,12,4,16
3,3,0,0,13,5,4,0,468,25,8,15,2.3,2.3,2.2,24,6,247,339,72.9,21,219,10,16,5,4423,1718,108,120,90.0,116,135,85.9,20,67,29.9,1.0,12,11,4,1,16,14,9,2,13,29,44.8,16,8,7,33,29,0,89,233,165,74,23,468,31.3,9,56.3,1080,471,6,4,9,13,243,19,7,5,False,17,5,0,30,0,1.0,1.0,13,4,16
1,0,0,0,10,3,1,0,625,14,10,11,1.0,1.0,0.8,16,2,453,538,84.2,30,322,20,22,9,7540,2474,236,252,93.7,175,203,86.2,36,65,55.4,0.7,5,42,5,1,10,9,3,2,7,15,46.7,8,3,8,24,10,0,52,147,292,187,15,625,40.9,12,54.5,1620,822,14,5,7,12,449,30,13,14,True,9,2,2,17,4,2.1,1.3,8,8,16
2,1,1,1,9,2,1,0,617,24,17,14,2.1,1.3,1.3,17,4,431,499,86.4,27,394,19,16,8,7390,2184,206,218,94.5,178,197,90.4,37,59,62.7,0.9,8,24,8,3,11,12,8,4,12,21,57.1,9,3,11,41,19,1,72,237,262,121,19,616,50.0,7,43.8,2223,1066,11,4,15,7,428,26,14,13,False,10,3,1,16,2,1.0,1.0,5,5,16
0,0,0,0,9,3,1,0,533,15,11,9,0.8,0.8,0.8,14,0,392,458,85.6,18,309,16,10,2,6739,1850,187,201,93.0,172,193,89.1,27,50,54.0,0.9,6,22,4,2,10,6,7,2,9,22,40.9,13,4,5,26,15,1,60,195,245,97,17,533,20.0,3,30.0,1589,795,11,3,13,11,388,17,17,18,True,18,9,5,32,9,2.4,2.4,13,12,16
5,3,0,0,18,9,3,0,724,14,16,6,2.4,2.4,1.9,32,9,566,632,89.6,36,532,24,22,13,9267,2596,244,257,94.9,269,292,92.1,32,52,61.5,1.0,13,28,12,3,8,4,9,1,3,5,60.0,2,2,4,30,12,1,69,257,332,145,25,724,59.1,9,40.9,2894,1493,18,5,9,6,560,36,18,17,False,9,3,0,14,0,0.8,0.8,6,4,16
2,2,0,0,26,8,2,1,697,15,8,8,2.2,2.2,1.8,45,4,483,585,82.6,47,431,32,17,5,8411,2672,213,238,89.5,201,225,89.3,50,87,57.5,1.5,19,51,19,5,8,9,4,2,7,11,63.6,4,2,6,23,22,0,63,194,254,254,48,697,29.4,11,64.7,2161,1241,15,14,17,6,481,47,6,4,True,9,4,1,17,2,1.6,1.6,7,11,16
1,1,0,0,9,4,2,0,481,17,6,17,1.6,1.6,1.6,17,2,263,363,72.5,38,170,8,14,4,4877,2159,114,133,85.7,115,144,79.9,30,70,42.9,1.4,7,23,11,2,12,9,6,2,11,16,68.8,5,8,9,23,37,1,113,239,161,87,17,481,28.6,7,50.0,820,372,3,1,15,8,260,38,4,6,False,26,8,2,45,4,2.2,2.2,19,19,16
1,0,0,0,29,9,0,0,622,13,10,10,2.0,2.0,1.2,50,2,362,491,73.7,50,299,22,11,3,6941,2716,137,167,82.0,170,206,82.5,47,99,47.5,1.2,19,32,13,1,8,7,4,2,10,20,50.0,10,7,3,23,26,1,69,200,253,178,39,622,27.3,6,54.5,1795,1050,13,5,19,6,359,50,3,19,True,15,2,1,27,0,2.1,1.3,13,5,16
1,0,1,1,15,2,2,0,579,12,8,16,2.1,1.3,1.2,27,0,326,461,70.7,34,285,19,21,10,6066,2454,136,162,84.0,147,191,77.0,39,96,40.6,1.2,13,29,5,3,6,6,5,1,6,9,66.7,3,14,2,20,31,2,85,219,243,126,24,578,47.6,10,47.6,1572,854,13,6,13,3,320,34,19,3,False,29,9,1,50,2,2.0,2.0,19,13,16
