goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocked_shots,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,team_id,opponent_team_id,was_home,shots_against,shots_on_target_against,goals_conceded,sca_against,gca_against,xGC,npxGC,key_passes_against,passes_into_penalty_area_against,gw
1,1,0,0,10,7,0,0,656,23,7,4,0.9,0.9,0.5,19,2,464,554,83.8,41,372,21,29,17,8126,2620,211,234,90.2,206,226,91.2,41,79,51.9,0.3,8,35,5,2,14,7,12,4,9,14,64.3,5,2,2,30,20,0,60,188,342,134,16,656,58.6,9,31.0,1969,1082,6,7,16,8,461,41,6,8,True,6,3,0,11,0,0.4,0.4,3,6,34
0,0,0,0,6,3,0,0,564,17,7,7,0.4,0.4,0.3,11,0,378,460,82.2,30,298,14,15,5,7085,2507,162,174,93.1,164,190,86.3,47,80,58.8,0.3,3,24,6,5,13,9,8,0,9,26,34.6,17,1,6,24,23,3,68,207,274,86,11,564,33.3,9,60.0,1839,994,14,1,14,14,372,29,8,6,False,10,7,1,19,2,0.9,0.9,8,5,34
3,3,0,0,16,9,1,0,674,24,4,11,1.3,1.3,1.1,29,6,466,565,82.5,48,467,30,12,6,7569,2183,236,264,89.4,186,215,86.5,33,60,55.0,0.9,12,37,8,1,18,9,8,7,12,25,48.0,13,3,8,28,22,1,64,168,270,242,37,674,50.0,5,41.7,2491,1298,21,18,14,4,464,48,5,19,True,12,4,2,22,4,1.3,1.3,10,9,34
2,2,0,0,12,4,1,0,632,9,8,10,1.3,1.3,1.2,22,4,441,511,86.3,36,424,15,27,13,8121,2566,189,200,94.5,203,225,90.2,45,68,66.2,1.2,10,34,9,1,1,7,1,1,5,11,45.5,6,5,5,17,41,1,99,233,265,143,23,632,48.1,12,44.4,1952,872,13,6,12,12,438,36,19,5,False,16,9,3,29,6,1.3,1.3,12,8,34
3,3,0,0,20,5,1,0,757,22,3,11,2.0,2.0,1.9,36,6,567,651,87.1,31,398,21,21,12,9752,3077,259,281,92.2,237,257,92.2,52,81,64.2,1.7,18,25,11,5,14,10,8,4,11,21,52.4,10,3,8,25,11,0,62,276,342,144,28,757,57.1,9,42.9,2215,1154,15,4,10,13,563,31,20,11,True,7,1,0,13,0,1.1,0.4,5,5,34
0,0,0,1,7,1,4,0,611,22,7,17,1.1,0.4,0.3,13,0,424,510,83.1,35,373,11,22,10,7430,2575,182,203,89.7,185,207,89.4,43,66,65.2,0.7,5,27,5,2,15,8,9,5,9,21,42.9,12,7,10,29,20,1,70,215,301,96,13,610,45.5,11,50.0,1624,703,9,4,9,11,423,35,11,20,False,20,5,3,36,6,2.0,2.0,18,11,34
1,1,0,0,7,3,1,0,468,9,6,11,0.6,0.6,0.5,12,2,255,338,75.4,18,214,12,19,8,4322,1645,127,144,88.2,96,113,85.0,23,63,36.5,0.3,5,17,2,0,4,2,3,4,8,12,66.7,4,5,6,15,49,0,100,220,163,87,11,468,42.1,8,42.1,1097,564,5,4,18,10,251,18,17,9,True,26,5,2,51,4,2.4,2.4,20,18,34
2,2,0,0,26,5,1,0,735,18,1,9,2.4,2.4,1.8,51,4,517,622,83.1,71,428,30,15,4,8515,2740,245,275,89.1,238,276,86.2,30,52,57.7,1.9,20,50,18,9,11,6,6,6,8,16,50.0,8,4,5,19,30,0,39,186,244,313,39,735,26.7,8,53.3,2737,1618,25,5,11,1,512,70,9,17,False,7,3,1,12,2,0.6,0.6,5,2,34
3,2,1,1,24,3,1,0,813,12,2,9,2.8,2.1,2.0,48,6,609,698,87.2,91,428,28,20,7,10239,2937,290,307,94.5,253,281,90.0,45,68,66.2,2.3,22,62,29,4,3,8,3,1,7,11,63.6,4,3,6,14,18,1,31,128,294,393,63,812,35.0,11,55.0,2093,1212,13,12,16,5,603,91,15,10,True,4,0,0,4,0,0.1,0.1,2,2,34
0,0,0,0,4,0,4,1,344,16,1,17,0.1,0.1,0.0,4,0,134,206,65.0,12,95,3,14,4,2811,1548,59,66,89.4,45,66,68.2,25,60,41.7,0.1,2,14,2,1,8,12,2,2,11,18,61.1,7,9,8,17,51,1,100,176,113,59,6,344,28.6,7,50.0,542,276,3,0,13,5,130,11,10,15,False,24,3,3,48,6,2.8,2.1,22,29,34
