goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocked_shots,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,team_id,opponent_team_id,was_home,shots_against,shots_on_target_against,goals_conceded,sca_against,gca_against,xGC,npxGC,key_passes_against,passes_into_penalty_area_against,gw
1,1,0,0,12,5,1,0,619,21,5,9,0.8,0.8,0.5,21,2,421,509,82.7,33,391,15,19,9,7366,2300,189,206,91.7,181,206,87.9,38,70,54.3,0.5,10,30,3,2,7,9,11,1,9,16,56.3,7,4,5,26,23,1,78,165,302,156,14,619,47.4,8,42.1,1993,916,15,4,8,11,420,33,17,15,True,16,7,3,32,6,2.9,2.1,14,8,23
3,2,1,1,16,7,0,0,570,19,11,7,2.9,2.1,1.8,32,6,371,457,81.2,40,320,22,16,7,5524,2122,204,225,90.7,137,157,87.3,15,42,35.7,1.5,14,23,8,1,12,5,11,3,8,17,47.1,9,3,4,30,21,0,47,165,267,148,31,569,43.8,9,56.3,1535,769,7,12,12,12,371,40,15,17,False,12,5,1,21,2,0.8,0.8,10,3,23
0,0,0,0,16,1,4,0,815,23,7,6,0.7,0.7,0.3,31,0,587,696,84.3,61,507,37,20,8,10003,2720,276,301,91.7,252,287,87.8,48,82,58.5,0.7,9,58,15,4,10,9,10,4,10,15,66.7,5,0,6,30,18,0,26,166,371,285,31,815,40.0,11,55.0,2829,1658,30,7,15,15,581,61,5,8,True,2,0,1,5,1,0.8,0.1,1,1,23
1,0,1,1,2,0,4,0,461,26,11,8,0.8,0.1,0.0,5,1,234,320,73.1,16,196,4,16,5,4444,1718,105,126,83.3,99,114,86.8,29,69,42.0,0.1,1,15,1,0,15,16,8,2,11,19,57.9,8,4,4,37,56,0,95,254,158,54,6,460,31.3,10,62.5,968,457,5,1,15,13,234,16,8,5,False,16,1,0,31,0,0.7,0.7,9,15,23
4,3,0,0,16,6,0,0,886,16,3,10,2.2,2.2,1.6,31,7,696,790,88.1,77,591,28,24,16,11259,3020,337,367,91.8,312,342,91.2,35,53,66.0,1.5,12,75,15,4,9,5,7,4,8,16,50.0,8,0,10,19,8,0,33,124,381,385,36,886,66.7,7,29.2,3074,1573,23,10,12,15,692,76,12,10,True,3,3,1,5,1,0.5,0.5,2,1,23
1,1,0,0,3,3,2,0,454,22,13,10,0.5,0.5,0.4,5,1,254,337,75.4,9,202,8,17,8,4492,1908,135,157,86.0,96,108,88.9,22,53,41.5,0.3,2,8,1,1,12,10,7,5,7,23,30.4,16,3,7,35,37,0,116,252,151,54,7,454,47.1,8,47.1,1154,494,4,3,14,8,254,9,10,12,False,16,6,4,31,7,2.2,2.2,12,15,23
5,4,0,0,16,10,2,0,523,22,9,14,1.7,1.7,0.8,30,9,301,391,77.0,33,305,33,17,11,5332,2075,132,145,91.0,133,160,83.1,31,64,48.4,0.9,9,35,8,1,12,9,10,3,6,14,42.9,8,5,9,31,34,0,69,187,194,153,27,523,64.7,3,17.6,2136,1238,16,11,19,8,290,33,3,16,True,18,4,0,32,0,1.0,1.0,12,13,23
0,0,0,0,18,4,3,0,499,11,5,13,1.0,1.0,0.8,32,0,278,386,72.0,49,232,17,16,8,4901,2402,133,163,81.6,103,130,79.2,28,59,47.5,0.9,12,27,13,2,6,7,3,1,3,14,21.4,11,3,10,16,25,2,49,140,204,158,30,499,50.0,6,37.5,1464,695,12,3,14,16,276,49,16,3,False,16,10,5,30,9,1.7,1.7,9,8,23
0,0,0,0,9,4,2,1,590,27,7,9,0.7,0.7,0.7,17,0,384,466,82.4,34,318,18,21,7,6545,2002,180,191,94.2,163,186,87.6,31,65,47.7,0.2,7,35,3,2,20,14,11,2,17,25,68.0,8,2,7,34,30,0,69,234,254,110,12,590,33.3,12,57.1,2073,1189,16,3,13,10,379,33,20,1,True,9,3,1,16,2,1.0,1.0,7,5,23
1,0,0,0,9,3,1,1,564,22,8,7,1.0,1.0,0.7,16,2,359,451,79.6,29,285,21,28,8,5762,1982,179,202,88.6,152,176,86.4,21,54,38.9,0.6,7,33,5,3,11,6,9,7,12,19,63.2,7,1,6,30,15,0,52,142,231,195,19,564,28.6,17,60.7,1617,845,12,5,9,10,352,29,1,20,False,9,4,0,17,0,0.7,0.7,7,3,23
3,3,0,0,15,6,3,0,695,13,6,10,2.5,2.5,2.2,27,5,514,603,85.2,33,461,17,16,9,8790,2592,248,278,89.2,225,242,93.0,37,66,56.1,0.5,11,24,5,2,9,4,7,2,8,19,42.1,11,3,7,19,17,1,85,283,285,136,25,695,56.3,7,43.8,2731,1329,14,5,7,5,508,32,13,6,True,10,4,1,18,1,1.8,1.8,8,0,23
1,1,0,0,10,4,2,0,544,12,4,10,1.8,1.8,1.7,18,1,375,466,80.5,26,273,19,20,11,6779,1949,156,173,90.2,182,198,91.9,35,77,45.5,1.2,8,22,0,0,8,5,2,5,7,16,43.8,9,3,7,16,12,2,66,213,243,94,21,544,55.0,8,40.0,1567,766,11,11,13,5,371,26,6,13,False,15,6,3,27,5,2.5,2.5,11,5,23
