player_id,team_id,opponent_team_id,was_home,player_name,player_number,nation,pos,age,minutes,goals,assists,penalty_kicks_made,penalty_kicks_attempted,shots,shots_on_target,yellow_cards,red_cards,touches,tackles,interceptions,blocks,xG,npxG,xAG,shot_creating_actions,goal_creating_actions,total_completed_passes,total_attempted_passes,total_pass_completion_percentage,progressive_passes,carries,progressive_carries,attempted_takeons,successful_takeons,gw
306,11,6,True,Jamie Vardy,9,eng ENG,FW,37-317,78,0,0,0,0,0,0,0,0,13,0,0,1,0.0,0.0,0.0,1,0,6,7,85.7,1,4,0,0,0,12
289,11,6,True,Patson Daka,20,zm ZAM,FW,26-045,12,0,0,0,0,1,0,0,0,3,0,0,0,0.1,0.1,0.0,0,0,1,2,50.0,0,3,0,0,0,12
300,11,6,True,Wilfred Ndidi,6,ng NGA,FW,27-343,70,0,0,0,0,1,0,1,0,21,1,0,0,0.2,0.2,0.0,0,0,13,17,76.5,1,12,0,1,1,12
192,11,6,True,Jordan Ayew,18,gh GHA,FW,33-073,20,1,0,1,1,0,0,0,0,13,0,1,0,0.8,0.0,0.0,0,0,5,6,83.3,0,8,0,3,0,12
635,11,6,True,Bilal El Khannouss,11,ma MAR,LM,20-197,78,0,0,0,0,0,0,0,0,42,2,0,0,0.0,0.0,0.0,0,0,22,33,66.7,2,25,3,6,3,12
290,11,6,True,Bobby De Cordova-Reid,14,jm JAM,RM,31-295,12,0,0,0,0,0,0,0,0,7,1,0,0,0.0,0.0,0.0,1,1,4,6,66.7,0,5,1,0,0,12
309,11,6,True,Harry Winks,8,eng ENG,CM,28-295,10,0,0,0,0,0,0,0,0,5,0,1,0,0.0,0.0,0.0,0,0,1,2,50.0,0,4,0,0,0,12
501,11,6,True,Oliver Skipp,22,eng ENG,CM,24-068,80,0,0,0,0,0,0,1,0,36,1,0,1,0.0,0.0,0.0,1,0,24,33,72.7,3,26,2,0,0,12
285,11,6,True,Boubakary Soumaré,24,fr FRA,CM,25-270,90,0,0,0,0,0,0,1,0,62,2,0,1,0.0,0.0,0.0,1,0,45,49,91.8,2,41,0,4,0,12
299,11,6,True,Kasey McAteer,35,ie IRL,RM,23-001,70,0,0,0,0,1,0,0,0,21,0,0,0,0.0,0.0,0.0,0,0,9,12,75.0,1,14,2,2,1,12
298,11,6,True,Stephy Mavididi,10,eng ENG,"LM,RM",26-176,20,0,0,0,0,0,0,0,0,13,1,0,2,0.0,0.0,0.0,2,1,7,7,100.0,3,9,2,2,1,12
296,11,6,True,Victor Bernth Kristiansen,16,dk DEN,LB,21-343,90,0,0,0,0,0,0,0,0,50,5,0,1,0.0,0.0,0.3,2,0,31,44,70.5,2,16,0,0,0,12
301,11,6,True,Caleb Okoli,5,it ITA,CB,23-133,90,0,0,0,0,0,0,0,0,66,1,1,3,0.0,0.0,0.0,0,0,40,55,72.7,1,35,0,0,0,12
291,11,6,True,Wout Faes,3,be BEL,CB,26-234,90,0,0,0,0,0,0,1,0,49,1,2,0,0.0,0.0,0.0,0,0,24,35,68.6,1,24,0,0,0,12
