player_id,team_id,opponent_team_id,was_home,player_name,player_number,nation,pos,age,minutes,goals,assists,penalty_kicks_made,penalty_kicks_attempted,shots,shots_on_target,yellow_cards,red_cards,touches,tackles,interceptions,blocks,xG,npxG,xAG,shot_creating_actions,goal_creating_actions,total_completed_passes,total_attempted_passes,total_pass_completion_percentage,progressive_passes,carries,progressive_carries,attempted_takeons,successful_takeons,gw
129.0,5,3,True,João Pedro,9,br BRA,FW,23-152,71,1,0,1,1,0,0,0,0,30,0,0,0,0.8,0.0,0.0,3,1,12,19,63.2,5,15,1,2,1,27
148.0,5,3,True,Danny Welbeck,18,eng ENG,FW,34-091,19,1,0,0,0,1,1,0,0,7,0,0,0,0.4,0.4,0.0,0,0,5,6,83.3,1,5,2,1,1,27
136.0,5,3,True,Kaoru Mitoma,22,jp JPN,LW,27-281,90,0,0,0,0,2,0,0,0,40,2,0,1,0.6,0.6,0.0,0,0,13,21,61.9,3,17,2,10,3,27
135.0,5,3,True,Yankuba Minteh,17,gm GAM,RW,20-218,90,0,0,0,0,1,1,0,0,40,7,1,2,0.1,0.1,0.2,1,0,13,22,59.1,2,11,3,1,1,27
618.0,5,3,True,Georginio Rutter,14,fr FRA,AM,22-311,89,0,1,0,0,4,1,0,0,38,4,0,2,0.4,0.4,0.4,5,2,10,19,52.6,1,19,2,5,2,27
132.0,5,3,True,Solly March,7,eng ENG,AM,30-220,1,0,0,0,0,0,0,0,0,1,0,0,1,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,27
714.0,5,3,True,Diego Gómez,25,py PAR,DM,21-335,71,0,0,0,0,1,0,0,0,53,2,1,3,0.0,0.0,0.3,5,1,32,37,86.5,6,24,3,5,3,27
600.0,5,3,True,Yasin Ayari,26,se SWE,DM,21-142,19,0,0,0,0,0,0,0,0,12,1,0,0,0.0,0.0,0.0,0,0,5,9,55.6,0,2,0,0,0,27
115.0,5,3,True,Carlos Baleba,20,cm CMR,DM,21-053,84,0,0,0,0,0,0,0,0,48,0,0,1,0.0,0.0,0.0,2,0,38,43,88.4,6,19,0,2,2,27
149.0,5,3,True,Mats Wieffer,27,nl NED,DM,25-101,6,0,0,0,0,0,0,1,0,14,0,0,0,0.0,0.0,0.0,0,0,10,12,83.3,0,2,0,0,0,27
122.0,5,3,True,Pervis Estupiñán,30,ec ECU,LB,27-035,71,0,0,0,0,0,0,0,0,39,0,0,0,0.0,0.0,0.0,1,0,27,35,77.1,1,16,0,2,1,27
126.0,5,3,True,Jack Hinshelwood,41,eng ENG,LB,19-320,19,0,0,0,0,0,0,0,0,14,0,0,1,0.0,0.0,0.0,0,0,5,11,45.5,0,1,0,0,0,27
